Id,Product Name,Energy (kcal),Fat Level (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
35.0,Soy Milk,53.0,1.38,2.85,11.2,6.64,1.0,6.04,0.65,136.0
36.0,Oat Milk,44.0,3.49,2.44,4.89,0.82,0.65,7.39,0.99,143.0
37.0,Almond Milk,,1.35,2.65,1.92,0.67,0.13,2.02,0.97,102.0
38.0,Skim Milk,73.0,6.82,1.09,7.48,6.38,0.83,8.0,0.81,145.0
39.0,Soy Milk,57.0,6.32,4.24,6.45,8.65,0.83,7.07,0.02,114.0
40.0,Soy Milk,,0.66,3.47,11.27,5.66,0.53,5.99,0.9,98.0
41.0,Oat Milk,,6.16,3.23,3.18,2.14,0.43,2.22,0.77,149.0
42.0,Almond Milk,47.0,4.94,4.47,10.42,4.26,0.02,4.63,0.76,108.0
43.0,2% Milk,47.0,4.12,0.22,1.77,0.56,0.97,,0.18,97.0
44.0,Oat Milk,57.0,5.04,3.63,5.86,9.1,,7.92,0.57,140.0
45.0,Cashew Milk,78.0,7.7,1.36,6.55,7.98,0.96,6.28,0.24,108.0
46.0,Oat Milk,72.0,3.54,4.98,3.37,9.86,0.24,2.73,0.6,134.0
47.0,Almond Milk,68.0,7.61,0.26,1.15,2.63,0.42,6.2,0.71,106.0
48.0,Oat Milk,65.0,1.33,2.71,4.29,4.2,0.51,3.36,,142.0
49.0,Whole Milk,61.0,6.09,3.12,,,0.93,6.01,0.08,
,,79.0,7.79,1.19,,8.9,0.54,2.04,0.53,94.0
51.0,Almond Milk,46.0,4.91,0.71,6.03,0.98,0.64,2.53,0.22,139.0
52.0,Coconut Milk,74.0,7.91,,1.08,2.06,,6.95,0.52,141.0
53.0,,50.0,1.73,3.39,5.35,8.83,,6.83,0.65,111.0
54.0,Soy Milk,67.0,2.82,4.96,2.05,7.43,0.37,4.57,0.28,133.0
55.0,Oat Milk,66.0,2.09,4.28,11.04,5.69,0.1,1.08,0.1,107.0
56.0,Skim Milk,65.0,3.25,1.33,7.3,0.75,0.46,,0.3,145.0
57.0,Soy Milk,55.0,3.93,4.49,4.9,6.95,0.04,,0.36,88.0
58.0,Coconut Milk,59.0,6.03,1.13,8.17,6.82,0.74,3.85,0.65,111.0
59.0,Skim Milk,41.0,1.82,1.4,,6.92,0.4,1.78,0.55,115.0
60.0,Oat Milk,44.0,7.0,4.66,5.22,2.19,0.11,4.45,0.57,93.0
61.0,Coconut Milk,,4.11,4.94,8.33,1.61,0.93,3.42,0.38,144.0
62.0,Whole Milk,68.0,5.07,3.44,10.89,9.0,0.32,7.89,0.53,82.0
,Skim Milk,63.0,2.43,4.27,6.34,7.76,0.07,5.65,0.89,140.0
64.0,Soy Milk,,,0.76,11.62,2.11,0.8,6.26,0.57,150.0
65.0,Skim Milk,79.0,5.37,1.6,,7.54,0.11,7.52,0.81,140.0
66.0,Oat Milk,42.0,6.11,,1.07,5.09,0.64,2.18,0.43,
67.0,Whole Milk,47.0,,2.15,8.19,6.81,0.43,1.1,0.27,123.0
68.0,Almond Milk,76.0,7.99,,11.79,6.78,0.25,7.94,0.38,139.0
69.0,,66.0,7.36,1.94,11.19,3.79,0.51,5.32,0.14,105.0
70.0,Soy Milk,67.0,4.99,1.25,2.34,1.51,0.43,5.29,0.69,
71.0,Whole Milk,52.0,2.22,1.55,9.73,7.06,0.93,3.14,0.49,105.0
72.0,Almond Milk,52.0,2.15,4.65,9.74,2.76,0.27,4.28,0.4,81.0
73.0,,57.0,2.74,1.8,8.4,0.65,0.61,4.97,0.49,119.0
74.0,Whole Milk,58.0,2.41,1.43,7.44,9.76,0.63,2.55,0.79,134.0
75.0,2% Milk,70.0,1.77,2.8,11.45,4.79,0.27,,0.15,87.0
76.0,Skim Milk,78.0,4.09,1.22,10.74,0.71,0.04,,0.86,97.0
77.0,,44.0,6.3,4.98,2.65,7.69,0.01,4.16,,92.0
78.0,Whole Milk,66.0,0.76,2.62,10.33,5.86,0.26,2.5,0.12,133.0
79.0,Cashew Milk,,5.38,4.28,10.33,,0.32,1.48,0.86,100.0
80.0,Skim Milk,,4.9,2.25,8.39,7.32,0.53,1.8,0.13,
81.0,,54.0,4.3,4.44,11.88,,0.35,6.9,0.25,115.0
82.0,Whole Milk,47.0,3.02,3.69,9.27,7.72,0.77,7.21,0.21,98.0
,Almond Milk,54.0,4.62,,3.71,,0.48,7.5,0.85,
84.0,Coconut Milk,45.0,2.46,4.77,8.81,,0.22,1.35,0.72,
85.0,,42.0,4.4,,3.63,5.74,0.39,7.16,0.33,
86.0,Almond Milk,67.0,2.51,2.47,9.83,0.62,,3.95,0.88,148.0
87.0,Cashew Milk,60.0,6.03,2.78,5.39,9.78,0.26,6.2,,90.0
88.0,Oat Milk,62.0,0.78,4.55,3.38,9.88,0.2,3.93,0.84,111.0
89.0,,44.0,1.47,2.75,,7.64,0.64,5.42,0.8,87.0
90.0,Oat Milk,53.0,7.49,1.53,7.42,7.43,0.3,6.24,0.24,89.0
91.0,2% Milk,57.0,7.03,1.92,9.38,2.3,,1.47,0.94,100.0
92.0,Whole Milk,69.0,3.65,3.07,8.82,1.42,0.38,,0.1,92.0
93.0,Coconut Milk,59.0,4.89,2.8,10.39,6.68,0.83,3.68,0.66,101.0
94.0,Skim Milk,76.0,3.39,3.04,6.95,7.76,,2.25,0.96,
95.0,Whole Milk,,6.93,2.48,6.36,7.05,,7.66,0.58,111.0
96.0,Coconut Milk,51.0,6.6,3.63,8.02,,0.38,4.3,0.63,150.0
97.0,Cashew Milk,72.0,5.0,4.85,4.57,5.98,,7.88,0.11,89.0
98.0,Skim Milk,46.0,4.49,3.14,7.21,0.7,0.49,3.55,0.73,92.0
99.0,Soy Milk,52.0,1.49,1.28,10.04,8.23,0.8,6.96,0.97,89.0
100.0,Oat Milk,49.0,7.86,,3.99,1.78,0.68,6.95,0.58,95.0
101.0,Almond Milk,72.0,7.18,0.84,,2.12,0.57,1.84,0.94,132.0
102.0,Skim Milk,68.0,7.98,0.18,4.99,0.91,0.45,6.21,0.51,120.0
,Whole Milk,57.0,2.82,2.93,7.03,2.33,0.48,2.67,0.73,142.0
104.0,Whole Milk,77.0,4.4,0.99,1.23,7.93,0.43,2.26,0.52,150.0
105.0,,80.0,4.98,4.63,8.37,5.9,0.08,2.5,0.34,88.0
106.0,Whole Milk,55.0,3.35,3.85,8.54,3.34,0.25,5.04,0.2,123.0
107.0,Skim Milk,54.0,6.13,4.45,7.91,8.61,0.11,,0.64,139.0
108.0,2% Milk,78.0,1.73,2.87,11.47,5.64,,,0.44,103.0
109.0,Oat Milk,53.0,1.34,0.26,3.37,9.16,0.99,6.32,,99.0
110.0,Skim Milk,51.0,6.37,4.97,5.52,8.9,0.51,7.26,0.53,94.0
111.0,Skim Milk,43.0,6.02,1.47,4.2,4.37,0.19,3.68,0.83,90.0
112.0,Coconut Milk,65.0,5.6,,7.27,4.9,0.02,5.22,0.14,117.0
113.0,,67.0,3.76,3.5,2.19,2.19,0.57,1.95,0.65,136.0
114.0,Oat Milk,48.0,5.93,4.82,1.91,,0.92,3.91,0.93,85.0
115.0,Coconut Milk,51.0,2.13,0.37,9.86,3.86,0.76,6.94,0.74,128.0
116.0,Coconut Milk,,3.05,1.32,5.6,8.03,0.9,1.68,0.66,
,Cashew Milk,62.0,2.21,2.54,5.28,3.83,0.82,3.63,0.29,134.0
118.0,,,3.13,4.24,4.01,7.65,0.78,2.61,0.85,129.0
119.0,Cashew Milk,53.0,,1.97,10.36,4.68,0.3,3.79,0.43,97.0
120.0,2% Milk,43.0,5.5,1.56,7.99,,0.31,,0.51,110.0
,Cashew Milk,73.0,5.94,,10.97,6.48,0.68,7.77,0.74,119.0
122.0,2% Milk,40.0,5.56,2.69,7.85,7.21,0.71,7.03,0.43,97.0
123.0,Coconut Milk,70.0,4.66,1.91,1.25,2.49,0.56,7.36,0.74,149.0
124.0,Almond Milk,48.0,0.66,1.06,9.14,8.71,0.82,2.87,0.19,148.0
125.0,Skim Milk,65.0,1.63,2.04,2.52,8.41,,4.89,0.41,84.0
126.0,Oat Milk,50.0,2.66,2.76,1.08,6.35,0.69,1.57,0.33,105.0
127.0,Almond Milk,57.0,7.09,2.55,4.32,4.87,0.17,3.68,0.48,101.0
128.0,Cashew Milk,67.0,,3.04,10.44,8.87,0.62,7.63,0.87,144.0
129.0,2% Milk,45.0,7.36,4.7,6.8,5.01,0.79,2.48,1.0,83.0
130.0,Soy Milk,61.0,7.69,0.46,2.37,8.64,0.83,,0.26,92.0
131.0,Coconut Milk,63.0,7.96,,7.94,2.07,0.0,2.01,0.27,
132.0,Oat Milk,,7.84,2.43,9.23,3.3,0.21,5.57,0.3,125.0
133.0,2% Milk,76.0,,0.82,,3.18,0.04,3.66,0.64,83.0
134.0,Almond Milk,53.0,6.4,0.84,6.9,3.17,0.68,7.86,0.87,146.0
135.0,Skim Milk,75.0,4.75,3.39,4.94,4.07,0.95,5.4,0.81,
136.0,Whole Milk,45.0,3.72,4.15,2.9,1.15,0.7,2.88,0.41,83.0
137.0,Skim Milk,42.0,0.51,0.86,10.93,1.29,0.31,3.65,0.17,127.0
138.0,Soy Milk,67.0,6.07,,7.29,,0.28,1.83,0.9,118.0
139.0,2% Milk,61.0,7.46,4.64,8.3,,0.09,6.65,0.75,148.0
140.0,Oat Milk,71.0,3.71,2.74,1.41,9.37,0.27,4.31,0.65,150.0
141.0,,66.0,0.66,0.33,5.34,7.44,0.61,3.94,0.03,90.0
142.0,Oat Milk,78.0,1.29,0.89,4.25,6.94,0.28,3.39,0.49,86.0
,Almond Milk,72.0,6.6,4.42,11.18,7.87,0.6,5.32,,150.0
144.0,2% Milk,76.0,1.78,2.65,,1.44,0.13,,0.78,95.0
145.0,Soy Milk,46.0,2.37,4.69,2.29,7.21,0.83,,,93.0
146.0,,63.0,7.89,4.53,6.9,8.61,0.81,4.89,0.95,86.0
147.0,Whole Milk,47.0,,2.01,10.61,1.32,0.62,2.77,0.79,142.0
148.0,Almond Milk,52.0,1.27,3.14,8.47,0.66,0.43,6.38,,107.0
149.0,Whole Milk,,7.36,2.45,,2.7,0.45,4.51,0.6,149.0
,Almond Milk,75.0,5.1,1.69,4.14,7.33,0.34,,0.78,129.0
151.0,2% Milk,64.0,1.46,1.86,7.89,4.68,,5.22,0.35,106.0
152.0,Cashew Milk,49.0,5.54,3.95,7.47,8.17,0.22,7.98,0.83,134.0
153.0,Coconut Milk,43.0,5.19,0.43,4.65,9.2,0.75,5.0,0.54,125.0
154.0,2% Milk,,6.04,2.55,5.02,,,5.78,0.62,124.0
155.0,2% Milk,79.0,3.06,,8.18,4.76,0.55,6.52,0.06,139.0
156.0,,40.0,5.94,4.75,11.38,8.53,0.57,4.16,0.3,87.0
157.0,,75.0,4.01,,9.4,0.6,0.7,7.09,0.81,123.0
158.0,Cashew Milk,53.0,4.21,1.5,4.73,1.93,0.6,7.61,0.51,
159.0,Cashew Milk,61.0,7.49,2.91,2.71,8.76,0.98,2.72,0.15,
160.0,Almond Milk,48.0,7.1,0.94,4.34,7.99,,7.33,0.39,98.0
161.0,Oat Milk,67.0,,0.27,10.09,3.77,0.56,7.14,,143.0
162.0,Cashew Milk,70.0,6.36,2.34,2.94,,0.64,7.24,0.67,100.0
163.0,,79.0,4.89,0.52,10.49,7.94,0.08,1.03,0.74,133.0
164.0,Cashew Milk,56.0,1.95,,11.66,8.83,0.48,5.76,0.71,
165.0,Whole Milk,74.0,6.88,3.6,7.77,9.63,0.18,,0.37,141.0
166.0,2% Milk,61.0,4.66,1.83,1.27,5.93,0.21,,0.67,119.0
167.0,Cashew Milk,65.0,5.13,2.25,9.27,5.19,0.21,3.84,0.54,98.0
168.0,Almond Milk,76.0,,3.29,4.69,3.67,0.77,4.66,0.44,131.0
169.0,Soy Milk,79.0,,3.94,7.66,7.36,0.63,2.31,0.63,110.0
170.0,2% Milk,58.0,3.85,4.5,6.27,7.24,0.23,5.63,0.06,93.0
171.0,Almond Milk,43.0,5.96,,1.19,,0.7,1.4,0.15,127.0
172.0,Oat Milk,71.0,4.46,4.1,11.92,4.53,0.2,3.88,0.32,
173.0,Whole Milk,45.0,6.91,3.72,5.34,5.99,0.03,4.57,0.23,
174.0,Oat Milk,70.0,5.24,3.03,6.08,5.6,0.26,4.95,0.51,106.0
175.0,2% Milk,40.0,0.64,1.77,10.46,1.72,0.68,1.61,0.96,135.0
,Cashew Milk,68.0,3.96,3.2,8.23,5.27,0.15,2.73,0.73,142.0
177.0,Whole Milk,50.0,3.61,4.45,6.49,3.67,0.75,6.95,0.41,114.0
178.0,,78.0,5.99,0.91,,6.14,0.96,6.93,0.36,108.0
179.0,Skim Milk,,6.84,4.41,7.95,3.43,0.92,,0.76,
180.0,Oat Milk,53.0,1.26,1.03,10.57,4.7,0.53,7.28,0.96,
181.0,Almond Milk,56.0,6.95,3.32,3.79,0.82,0.26,7.95,0.15,
182.0,Oat Milk,74.0,6.97,0.74,5.85,8.46,0.69,,,94.0
183.0,,75.0,7.49,3.3,1.85,8.09,0.72,3.05,0.63,
184.0,Skim Milk,46.0,,4.78,7.53,7.13,0.0,4.2,0.17,
185.0,2% Milk,56.0,7.72,0.15,8.59,5.92,0.37,5.65,0.13,92.0
186.0,Soy Milk,46.0,0.63,0.11,9.95,3.65,0.93,1.35,0.89,125.0
187.0,,59.0,3.74,1.54,7.0,2.36,0.14,5.75,,89.0
,Skim Milk,49.0,2.7,3.41,8.01,6.85,0.38,1.16,0.85,
189.0,Almond Milk,76.0,4.62,0.88,,4.27,0.53,7.06,0.19,110.0
190.0,Oat Milk,45.0,3.13,2.45,3.89,4.22,0.99,1.25,0.65,85.0
191.0,Almond Milk,76.0,6.18,,3.24,4.71,0.47,4.83,,
,Skim Milk,,3.34,4.86,7.29,1.19,0.0,3.13,,106.0
193.0,Whole Milk,77.0,5.21,3.92,8.31,7.54,0.27,7.49,0.43,127.0
194.0,Coconut Milk,64.0,1.26,1.03,2.57,,,1.77,,132.0
195.0,2% Milk,44.0,6.93,4.51,7.81,7.61,,2.46,0.56,112.0
196.0,Soy Milk,,1.79,,5.62,3.01,,4.72,0.84,117.0
197.0,Skim Milk,65.0,5.04,0.51,8.48,7.19,0.85,7.54,0.53,
198.0,Almond Milk,48.0,5.22,,10.0,,0.98,3.73,0.63,100.0
199.0,2% Milk,,2.03,0.15,10.47,7.78,0.63,7.6,0.85,137.0
200.0,Coconut Milk,76.0,2.96,4.45,2.24,2.67,0.63,5.09,0.26,145.0
201.0,Almond Milk,55.0,1.38,4.68,11.46,4.26,0.82,3.44,0.92,130.0
202.0,Almond Milk,69.0,4.75,3.34,10.82,1.22,0.28,,0.82,123.0
203.0,Whole Milk,48.0,5.71,4.79,6.26,6.35,0.02,5.28,0.94,142.0
204.0,,68.0,,4.53,5.93,2.78,,4.01,0.63,117.0
205.0,,59.0,3.74,,10.49,7.74,0.83,6.27,0.89,114.0
206.0,Cashew Milk,,5.94,4.58,9.11,3.77,0.58,1.49,0.13,133.0
207.0,Skim Milk,69.0,3.31,2.76,8.16,8.29,0.76,5.45,1.0,132.0
208.0,,48.0,,1.27,7.92,0.55,0.49,3.93,0.52,125.0
209.0,Whole Milk,58.0,2.98,3.31,,8.23,0.57,6.56,0.94,150.0
210.0,Coconut Milk,67.0,4.14,0.87,7.94,0.67,0.25,,0.95,93.0
211.0,Whole Milk,69.0,4.29,3.78,5.06,2.51,,1.44,,
212.0,Oat Milk,46.0,7.85,4.16,7.13,5.62,0.86,1.58,0.43,114.0
,Skim Milk,54.0,6.68,4.97,7.51,3.82,0.44,2.73,0.83,109.0
214.0,2% Milk,40.0,5.94,,11.13,6.67,,1.3,0.85,117.0
215.0,Skim Milk,65.0,7.24,2.81,7.25,,0.26,2.4,0.68,82.0
216.0,Coconut Milk,80.0,2.01,4.79,3.18,7.81,0.49,3.02,0.16,135.0
,2% Milk,55.0,2.46,2.59,9.43,4.96,0.75,4.52,0.53,
218.0,Whole Milk,45.0,4.6,1.0,11.18,4.73,0.07,2.14,0.87,134.0
219.0,2% Milk,69.0,,3.4,3.18,1.07,0.1,4.43,0.94,91.0
220.0,,45.0,5.07,2.59,7.86,1.65,0.32,3.96,0.65,92.0
221.0,,52.0,3.25,2.43,3.87,7.93,0.02,7.54,0.13,145.0
,Cashew Milk,44.0,4.55,4.77,9.05,9.54,0.57,3.29,0.36,88.0
,Cashew Milk,58.0,,1.61,6.74,1.92,0.39,,0.22,146.0
224.0,Almond Milk,45.0,2.99,4.57,,8.32,0.68,3.49,0.96,115.0
225.0,Whole Milk,41.0,4.37,2.23,11.66,,0.73,3.68,0.8,102.0
,Cashew Milk,73.0,7.81,0.51,9.58,7.78,0.25,1.22,0.42,114.0
227.0,Coconut Milk,62.0,7.74,0.31,7.08,9.95,0.05,2.19,0.81,125.0
228.0,Skim Milk,46.0,5.63,3.17,1.87,7.95,0.6,5.11,0.61,127.0
229.0,Skim Milk,73.0,3.94,0.16,4.92,3.46,0.36,2.37,0.65,115.0
230.0,Almond Milk,73.0,7.03,,1.05,6.63,0.09,3.28,0.14,146.0
231.0,Oat Milk,71.0,0.55,2.6,7.31,6.56,0.17,7.19,0.84,99.0
232.0,Oat Milk,58.0,4.74,2.83,,6.79,,3.83,0.82,
233.0,2% Milk,65.0,3.81,2.23,6.52,2.77,0.36,5.63,0.88,96.0
234.0,Almond Milk,59.0,,4.09,5.53,,0.61,4.61,,104.0
235.0,Skim Milk,72.0,5.67,,8.6,9.38,0.82,5.76,0.56,116.0
236.0,,51.0,2.98,3.65,3.09,,0.27,6.51,0.01,145.0
,2% Milk,62.0,6.09,3.89,5.41,3.45,0.77,,0.04,138.0
,Cashew Milk,,1.1,2.71,9.05,7.95,0.19,4.43,0.68,101.0
239.0,2% Milk,47.0,,2.12,4.98,,0.26,,0.12,92.0
240.0,,80.0,3.74,2.42,2.08,1.9,0.05,4.48,0.62,82.0
,Coconut Milk,80.0,7.84,0.63,11.53,4.16,0.42,3.74,0.45,135.0
242.0,Almond Milk,,4.27,1.3,5.62,9.35,0.08,2.75,0.53,109.0
243.0,Almond Milk,69.0,1.52,3.45,5.5,6.62,0.71,7.57,0.2,
244.0,Skim Milk,53.0,7.6,4.91,4.33,6.23,0.49,3.87,0.12,87.0
245.0,2% Milk,60.0,5.79,0.94,3.06,3.06,0.99,1.95,0.99,
246.0,Skim Milk,44.0,6.62,,11.2,4.24,0.4,1.98,0.18,127.0
247.0,Skim Milk,53.0,,1.03,5.91,0.54,0.87,5.47,0.77,121.0
248.0,Soy Milk,62.0,5.38,1.08,10.34,2.63,0.8,3.24,0.38,147.0
249.0,Whole Milk,75.0,1.03,2.15,7.01,6.64,0.93,1.01,0.28,102.0
250.0,Almond Milk,50.0,4.16,2.63,8.41,9.58,0.58,,,87.0
251.0,,67.0,4.4,2.03,7.68,8.75,0.05,2.56,0.97,91.0
252.0,Soy Milk,79.0,3.39,4.1,1.55,0.87,0.38,3.79,0.82,138.0
253.0,Cashew Milk,48.0,1.35,2.88,1.22,6.42,0.26,2.26,0.14,95.0
254.0,Almond Milk,72.0,,3.07,3.93,7.82,0.53,6.08,0.65,127.0
255.0,Cashew Milk,48.0,4.75,4.21,4.85,3.14,0.63,1.65,0.7,106.0
,Cashew Milk,,5.21,3.15,1.05,2.88,,,0.17,98.0
,Oat Milk,44.0,6.04,1.47,4.82,1.38,0.28,7.97,0.78,95.0
258.0,Oat Milk,42.0,5.97,1.17,4.18,9.67,0.65,7.46,0.24,
259.0,Cashew Milk,72.0,4.78,3.35,2.68,,0.8,3.38,0.69,113.0
260.0,Coconut Milk,59.0,5.13,,9.68,4.12,0.75,1.42,0.68,
261.0,Coconut Milk,57.0,2.32,0.37,7.48,6.6,0.09,1.01,0.57,109.0
262.0,Almond Milk,64.0,3.33,4.52,10.79,7.86,0.59,7.43,,112.0
263.0,Oat Milk,57.0,0.98,2.77,5.72,2.32,,6.9,0.37,137.0
264.0,Cashew Milk,56.0,2.8,3.25,11.54,5.37,0.4,7.44,0.79,83.0
265.0,Whole Milk,46.0,4.74,2.2,3.55,,0.95,4.84,0.94,110.0
,Whole Milk,63.0,1.76,3.22,10.13,1.79,0.77,5.88,0.83,87.0
267.0,Cashew Milk,71.0,0.54,4.93,6.24,1.78,0.42,3.16,0.57,123.0
268.0,Almond Milk,43.0,4.08,4.28,9.22,,0.43,3.27,0.93,143.0
,2% Milk,51.0,5.17,3.12,9.47,9.8,0.65,1.14,,123.0
,2% Milk,66.0,1.04,1.59,4.62,9.69,,7.04,0.07,127.0
,Almond Milk,78.0,1.84,2.36,2.05,6.09,0.12,4.95,,134.0
272.0,Almond Milk,,2.76,1.62,8.06,9.92,0.33,2.5,0.48,80.0
273.0,Skim Milk,80.0,1.44,4.88,6.72,3.74,0.79,2.46,0.31,144.0
274.0,,,6.02,,9.79,1.92,0.18,3.9,0.25,121.0
275.0,Skim Milk,53.0,3.69,0.33,7.42,8.88,0.73,3.9,0.33,99.0
276.0,Cashew Milk,73.0,7.92,3.13,11.61,3.23,0.26,2.02,0.56,142.0
277.0,Coconut Milk,72.0,3.43,4.26,11.33,1.28,0.72,6.62,0.41,92.0
278.0,Soy Milk,60.0,,3.21,8.3,2.22,,7.93,0.86,126.0
279.0,Oat Milk,69.0,5.56,4.44,,7.9,,,0.2,114.0
280.0,Skim Milk,,5.36,3.37,6.04,7.28,0.03,4.02,0.58,100.0
281.0,Cashew Milk,54.0,,2.61,4.01,7.46,0.38,5.06,0.16,144.0
282.0,Soy Milk,52.0,2.85,3.62,,6.3,0.44,7.4,0.79,150.0
283.0,Whole Milk,74.0,1.78,0.29,11.54,1.69,0.16,5.61,0.04,
284.0,2% Milk,,7.11,4.64,,9.82,0.92,5.28,0.21,135.0
285.0,Whole Milk,70.0,2.93,3.37,1.4,6.36,0.4,3.91,0.47,141.0
286.0,Soy Milk,60.0,,1.63,10.98,7.98,,,0.05,109.0
287.0,Oat Milk,,6.81,3.53,8.23,6.06,0.51,4.46,0.54,138.0
288.0,Almond Milk,57.0,2.65,4.19,1.81,4.04,0.27,3.59,0.85,149.0
289.0,Cashew Milk,62.0,4.84,3.13,8.57,8.52,0.31,2.11,0.17,133.0
290.0,Soy Milk,45.0,1.57,4.7,,4.25,0.05,1.11,0.66,
291.0,2% Milk,72.0,5.49,4.49,6.41,3.99,0.96,3.21,,107.0
,Almond Milk,77.0,0.87,0.81,2.2,4.53,0.03,,0.36,93.0
293.0,2% Milk,63.0,4.9,1.35,7.37,8.33,0.55,6.61,0.26,95.0
,Soy Milk,,2.65,2.23,11.71,5.07,0.27,5.61,0.41,111.0
295.0,2% Milk,45.0,4.72,3.87,,7.23,0.2,1.76,0.84,134.0
296.0,Coconut Milk,62.0,4.64,3.08,6.17,1.41,0.15,1.08,0.51,130.0
297.0,Cashew Milk,64.0,7.61,,10.55,2.93,0.6,5.65,0.36,124.0
298.0,,72.0,6.37,1.42,2.0,8.14,0.03,4.78,0.63,113.0
299.0,,46.0,4.4,3.2,3.68,,0.96,5.06,0.46,
300.0,Skim Milk,78.0,3.73,2.92,9.94,,0.67,1.48,0.05,112.0
,Skim Milk,67.0,3.41,0.11,2.08,8.49,0.56,7.82,0.58,88.0
,,44.0,3.58,2.4,7.38,1.36,0.54,7.59,0.91,133.0
303.0,Coconut Milk,46.0,5.63,1.46,8.54,7.82,0.5,1.68,0.27,134.0
304.0,Soy Milk,74.0,6.1,1.79,9.21,3.59,0.44,,0.41,138.0
305.0,2% Milk,58.0,6.19,0.91,,2.7,,4.76,0.59,125.0
306.0,Whole Milk,59.0,1.85,3.98,1.53,1.61,0.75,7.4,0.59,104.0
307.0,Oat Milk,71.0,6.94,2.82,3.85,4.61,0.04,3.85,0.33,124.0
308.0,Soy Milk,,5.65,4.67,5.25,6.9,0.35,1.16,0.89,
309.0,Cashew Milk,61.0,2.91,4.18,4.4,0.9,0.99,1.01,,104.0
310.0,Soy Milk,52.0,,0.86,7.48,6.75,0.75,4.77,0.45,100.0
311.0,,,2.81,4.37,6.14,4.05,0.0,5.4,0.05,
312.0,Skim Milk,55.0,0.66,1.23,8.47,5.95,0.09,4.31,0.2,87.0
313.0,2% Milk,,6.48,3.13,3.52,9.43,0.96,7.35,0.3,95.0
,Oat Milk,80.0,,3.26,8.59,6.39,0.24,7.59,0.64,
315.0,Soy Milk,73.0,,1.85,9.05,0.64,0.15,4.18,0.83,103.0
316.0,Cashew Milk,63.0,7.72,0.77,8.65,0.53,0.2,4.27,0.75,100.0
317.0,2% Milk,53.0,3.68,4.19,1.43,3.63,0.46,5.99,0.24,
318.0,Almond Milk,77.0,1.33,4.77,12.0,9.38,0.99,4.24,0.24,91.0
