Id,Product Name,Energy,Fat Percentage,Saturated Fat,Carbohydrates,Sugars,Fiber,Protein,Salt,Calcium
88.0,Soy Milk,73.0 kcal,3.19 g,0.19 g,6.14 g,nan g,0.17 g,nan g,0.62 g,129.0 mg
89.0,,77.0 kcal,nan g,0.25 g,6.68 g,1.48 g,nan g,2.12 g,0.19 g,88.0 mg
90.0,2% Milk,74.0 kcal,2.31 g,2.14 g,5.38 g,6.0 g,0.0 g,2.79 g,0.62 g,104.0 mg
91.0,Soy Milk,54.0 kcal,4.85 g,2.7 g,4.77 g,2.65 g,0.51 g,2.37 g,0.97 g,125.0 mg
92.0,Coconut Milk,63.0 kcal,3.88 g,0.6 g,9.04 g,4.12 g,0.75 g,1.28 g,0.1 g,123.0 mg
93.0,Cashew Milk,nan kcal,2.94 g,4.29 g,11.76 g,5.15 g,0.62 g,2.51 g,0.49 g,121.0 mg
,2% Milk,77.0 kcal,5.68 g,4.09 g,7.57 g,nan g,0.47 g,7.09 g,nan g,107.0 mg
95.0,,44.0 kcal,5.23 g,1.42 g,11.05 g,5.15 g,nan g,4.92 g,0.66 g,150.0 mg
96.0,Skim Milk,50.0 kcal,2.26 g,3.92 g,2.94 g,3.89 g,0.92 g,4.18 g,nan g,117.0 mg
97.0,Soy Milk,59.0 kcal,3.27 g,0.15 g,5.88 g,0.87 g,0.7 g,3.97 g,0.49 g,83.0 mg
98.0,2% Milk,46.0 kcal,0.64 g,2.45 g,5.55 g,7.93 g,nan g,1.35 g,0.22 g,145.0 mg
99.0,2% Milk,74.0 kcal,7.17 g,4.19 g,8.19 g,3.71 g,nan g,1.62 g,0.76 g,nan mg
100.0,Oat Milk,43.0 kcal,3.35 g,2.23 g,9.79 g,3.5 g,0.59 g,nan g,nan g,83.0 mg
101.0,Oat Milk,41.0 kcal,5.81 g,3.34 g,2.82 g,2.79 g,nan g,5.37 g,nan g,91.0 mg
102.0,,45.0 kcal,6.21 g,1.61 g,11.61 g,5.34 g,0.11 g,5.9 g,0.53 g,nan mg
103.0,Coconut Milk,58.0 kcal,6.77 g,nan g,4.68 g,3.96 g,0.54 g,5.19 g,0.1 g,92.0 mg
,Cashew Milk,77.0 kcal,0.51 g,1.29 g,3.43 g,9.22 g,0.12 g,4.76 g,0.68 g,nan mg
105.0,Cashew Milk,58.0 kcal,2.86 g,0.55 g,7.38 g,5.82 g,0.69 g,nan g,0.2 g,144.0 mg
,2% Milk,55.0 kcal,7.98 g,2.12 g,nan g,8.58 g,0.53 g,nan g,0.57 g,nan mg
107.0,,67.0 kcal,3.24 g,3.02 g,2.58 g,9.06 g,0.25 g,7.6 g,0.7 g,nan mg
108.0,,54.0 kcal,nan g,0.46 g,11.01 g,3.87 g,0.63 g,3.76 g,0.55 g,138.0 mg
109.0,Whole Milk,74.0 kcal,6.73 g,4.38 g,9.56 g,2.42 g,nan g,4.66 g,0.7 g,139.0 mg
110.0,Almond Milk,74.0 kcal,7.8 g,4.21 g,2.82 g,4.07 g,0.48 g,nan g,0.67 g,130.0 mg
111.0,Skim Milk,58.0 kcal,2.91 g,1.06 g,9.51 g,7.39 g,0.64 g,4.38 g,0.09 g,89.0 mg
112.0,Skim Milk,42.0 kcal,1.56 g,4.63 g,1.45 g,4.53 g,0.02 g,1.01 g,0.82 g,82.0 mg
113.0,Soy Milk,54.0 kcal,7.24 g,0.46 g,11.1 g,2.0 g,0.39 g,2.3 g,0.57 g,87.0 mg
114.0,Oat Milk,62.0 kcal,7.11 g,3.47 g,8.53 g,4.23 g,0.99 g,3.27 g,0.03 g,nan mg
115.0,Almond Milk,71.0 kcal,2.85 g,nan g,3.0 g,5.62 g,0.98 g,5.33 g,nan g,80.0 mg
116.0,Coconut Milk,62.0 kcal,nan g,3.47 g,1.44 g,9.28 g,0.08 g,6.67 g,0.84 g,119.0 mg
117.0,Cashew Milk,68.0 kcal,3.23 g,1.22 g,9.21 g,1.22 g,0.73 g,7.14 g,0.17 g,95.0 mg
118.0,Cashew Milk,nan kcal,3.27 g,nan g,nan g,3.83 g,0.4 g,4.25 g,0.75 g,110.0 mg
119.0,2% Milk,40.0 kcal,nan g,3.83 g,8.41 g,8.2 g,0.98 g,4.61 g,0.07 g,117.0 mg
120.0,Coconut Milk,42.0 kcal,7.21 g,3.23 g,10.36 g,4.95 g,0.79 g,5.58 g,0.74 g,nan mg
,Soy Milk,62.0 kcal,6.03 g,2.42 g,7.81 g,8.54 g,0.3 g,4.74 g,0.05 g,146.0 mg
122.0,Skim Milk,78.0 kcal,6.94 g,1.46 g,11.94 g,0.58 g,0.94 g,5.48 g,0.66 g,95.0 mg
123.0,2% Milk,62.0 kcal,1.55 g,2.6 g,4.17 g,7.46 g,0.68 g,nan g,0.12 g,nan mg
124.0,Oat Milk,64.0 kcal,2.78 g,4.33 g,9.11 g,3.93 g,0.45 g,2.72 g,0.66 g,86.0 mg
125.0,Skim Milk,45.0 kcal,0.72 g,0.42 g,11.59 g,5.88 g,0.68 g,5.1 g,0.22 g,85.0 mg
126.0,Cashew Milk,41.0 kcal,3.64 g,1.74 g,10.35 g,6.76 g,0.94 g,1.85 g,0.65 g,110.0 mg
127.0,,60.0 kcal,7.59 g,1.71 g,3.86 g,nan g,0.71 g,6.53 g,0.62 g,107.0 mg
128.0,Oat Milk,76.0 kcal,6.21 g,2.89 g,5.65 g,0.67 g,0.51 g,6.12 g,0.99 g,86.0 mg
,Soy Milk,57.0 kcal,5.19 g,4.77 g,9.38 g,3.61 g,0.16 g,3.02 g,0.36 g,93.0 mg
130.0,2% Milk,76.0 kcal,nan g,nan g,2.5 g,7.18 g,0.05 g,7.56 g,0.04 g,138.0 mg
131.0,2% Milk,55.0 kcal,3.82 g,4.42 g,4.49 g,6.29 g,nan g,5.62 g,0.24 g,115.0 mg
132.0,Cashew Milk,49.0 kcal,2.93 g,nan g,7.56 g,2.65 g,0.16 g,7.87 g,0.37 g,83.0 mg
133.0,,41.0 kcal,6.97 g,2.12 g,2.17 g,5.07 g,0.25 g,6.48 g,0.59 g,139.0 mg
134.0,Skim Milk,53.0 kcal,6.14 g,0.61 g,11.84 g,5.37 g,0.72 g,6.79 g,nan g,nan mg
135.0,Soy Milk,64.0 kcal,3.1 g,1.0 g,8.72 g,2.85 g,0.93 g,2.2 g,0.54 g,99.0 mg
136.0,Almond Milk,59.0 kcal,5.36 g,0.59 g,4.42 g,2.02 g,0.24 g,5.56 g,0.96 g,131.0 mg
137.0,Almond Milk,56.0 kcal,1.1 g,4.84 g,3.47 g,4.04 g,0.85 g,3.42 g,0.14 g,128.0 mg
138.0,,58.0 kcal,5.85 g,0.76 g,10.86 g,1.66 g,0.96 g,3.5 g,0.74 g,105.0 mg
139.0,Coconut Milk,54.0 kcal,2.23 g,1.78 g,nan g,4.54 g,0.82 g,2.34 g,0.91 g,96.0 mg
140.0,Cashew Milk,55.0 kcal,7.03 g,3.87 g,6.72 g,5.51 g,0.75 g,7.61 g,0.11 g,142.0 mg
141.0,Skim Milk,69.0 kcal,3.76 g,1.75 g,3.92 g,5.19 g,nan g,5.08 g,nan g,101.0 mg
142.0,2% Milk,57.0 kcal,4.05 g,4.3 g,nan g,5.57 g,0.56 g,2.62 g,0.59 g,114.0 mg
143.0,Coconut Milk,63.0 kcal,6.3 g,3.61 g,5.74 g,9.74 g,0.36 g,7.89 g,0.65 g,nan mg
144.0,Cashew Milk,57.0 kcal,0.67 g,3.79 g,6.63 g,4.99 g,0.56 g,nan g,0.12 g,144.0 mg
145.0,Soy Milk,nan kcal,3.75 g,4.09 g,nan g,3.99 g,0.99 g,4.44 g,0.13 g,110.0 mg
146.0,Skim Milk,62.0 kcal,nan g,3.52 g,nan g,5.08 g,0.11 g,3.38 g,0.9 g,89.0 mg
147.0,Soy Milk,80.0 kcal,3.36 g,0.93 g,8.16 g,9.2 g,0.47 g,5.75 g,0.25 g,136.0 mg
148.0,2% Milk,60.0 kcal,1.51 g,nan g,3.75 g,4.89 g,nan g,2.37 g,0.52 g,nan mg
149.0,Cashew Milk,75.0 kcal,6.77 g,0.91 g,6.92 g,6.66 g,0.55 g,nan g,0.1 g,123.0 mg
150.0,Oat Milk,48.0 kcal,3.89 g,nan g,8.61 g,4.65 g,0.85 g,1.58 g,0.03 g,121.0 mg
,Coconut Milk,44.0 kcal,2.15 g,3.98 g,7.16 g,nan g,0.32 g,2.19 g,0.87 g,128.0 mg
152.0,Cashew Milk,55.0 kcal,3.83 g,1.69 g,9.74 g,6.46 g,0.19 g,4.49 g,0.61 g,138.0 mg
153.0,Coconut Milk,46.0 kcal,4.01 g,nan g,3.76 g,3.58 g,0.59 g,7.46 g,0.68 g,120.0 mg
154.0,Cashew Milk,80.0 kcal,7.08 g,2.9 g,4.65 g,3.72 g,0.35 g,1.15 g,0.73 g,94.0 mg
155.0,2% Milk,47.0 kcal,6.01 g,4.51 g,11.59 g,9.35 g,0.33 g,7.01 g,0.22 g,91.0 mg
156.0,Soy Milk,67.0 kcal,6.27 g,4.94 g,1.82 g,7.22 g,0.34 g,6.36 g,0.47 g,108.0 mg
157.0,Almond Milk,43.0 kcal,5.54 g,2.3 g,10.82 g,3.4 g,1.0 g,3.42 g,0.29 g,142.0 mg
158.0,Almond Milk,52.0 kcal,nan g,2.46 g,9.88 g,7.63 g,0.14 g,1.46 g,0.41 g,147.0 mg
159.0,Soy Milk,70.0 kcal,nan g,2.5 g,1.02 g,7.8 g,0.58 g,1.18 g,0.51 g,80.0 mg
160.0,2% Milk,43.0 kcal,5.88 g,nan g,6.98 g,8.29 g,0.98 g,3.51 g,0.83 g,129.0 mg
,Whole Milk,67.0 kcal,nan g,0.42 g,10.22 g,4.83 g,0.62 g,7.63 g,0.59 g,105.0 mg
162.0,Skim Milk,53.0 kcal,7.43 g,nan g,6.22 g,8.87 g,0.35 g,3.34 g,0.84 g,139.0 mg
163.0,2% Milk,61.0 kcal,6.62 g,3.99 g,4.54 g,4.6 g,0.2 g,2.1 g,0.94 g,149.0 mg
164.0,Oat Milk,51.0 kcal,4.01 g,0.69 g,9.05 g,2.23 g,0.42 g,2.28 g,0.24 g,125.0 mg
165.0,Coconut Milk,44.0 kcal,nan g,2.49 g,9.69 g,6.26 g,0.11 g,1.9 g,0.35 g,137.0 mg
166.0,Almond Milk,80.0 kcal,2.42 g,2.0 g,2.03 g,4.01 g,0.08 g,1.09 g,0.91 g,nan mg
167.0,Cashew Milk,45.0 kcal,6.09 g,nan g,8.05 g,nan g,0.81 g,2.44 g,0.37 g,nan mg
168.0,Almond Milk,40.0 kcal,1.92 g,4.88 g,3.23 g,8.38 g,0.16 g,1.05 g,0.76 g,90.0 mg
169.0,,78.0 kcal,0.8 g,4.3 g,1.8 g,6.41 g,0.37 g,5.93 g,0.0 g,138.0 mg
170.0,Skim Milk,46.0 kcal,5.58 g,3.88 g,2.13 g,3.63 g,0.06 g,7.93 g,0.0 g,100.0 mg
171.0,Whole Milk,72.0 kcal,2.66 g,1.52 g,5.69 g,1.64 g,0.94 g,3.09 g,nan g,138.0 mg
172.0,Coconut Milk,nan kcal,5.36 g,2.31 g,1.34 g,7.79 g,0.97 g,2.95 g,0.01 g,143.0 mg
173.0,Soy Milk,63.0 kcal,2.85 g,4.48 g,11.72 g,2.91 g,0.53 g,7.74 g,0.94 g,130.0 mg
174.0,Coconut Milk,68.0 kcal,1.66 g,2.58 g,nan g,7.59 g,0.98 g,5.26 g,nan g,128.0 mg
175.0,Oat Milk,74.0 kcal,1.94 g,nan g,2.54 g,3.43 g,0.8 g,3.55 g,0.29 g,96.0 mg
176.0,,48.0 kcal,3.08 g,2.58 g,10.32 g,6.22 g,0.24 g,6.94 g,0.48 g,90.0 mg
177.0,Skim Milk,78.0 kcal,5.5 g,0.45 g,3.79 g,5.4 g,0.95 g,1.68 g,0.11 g,nan mg
178.0,,54.0 kcal,6.98 g,2.03 g,7.63 g,2.14 g,0.87 g,nan g,0.79 g,nan mg
179.0,Coconut Milk,60.0 kcal,5.15 g,nan g,9.44 g,nan g,0.62 g,1.04 g,0.03 g,135.0 mg
,Whole Milk,76.0 kcal,6.54 g,4.74 g,8.07 g,2.97 g,0.98 g,1.75 g,0.62 g,91.0 mg
181.0,Cashew Milk,47.0 kcal,nan g,1.37 g,7.18 g,9.75 g,0.7 g,6.8 g,0.71 g,93.0 mg
182.0,Cashew Milk,61.0 kcal,3.1 g,0.3 g,8.68 g,nan g,0.81 g,1.71 g,0.64 g,134.0 mg
183.0,Soy Milk,41.0 kcal,1.47 g,3.31 g,8.75 g,8.29 g,0.85 g,3.58 g,0.39 g,82.0 mg
184.0,2% Milk,42.0 kcal,7.25 g,1.72 g,7.04 g,8.56 g,nan g,7.77 g,0.38 g,91.0 mg
185.0,Almond Milk,67.0 kcal,1.66 g,nan g,2.48 g,nan g,0.39 g,1.29 g,0.09 g,nan mg
186.0,Cashew Milk,nan kcal,1.37 g,3.94 g,7.71 g,0.5 g,0.11 g,nan g,0.37 g,nan mg
187.0,,79.0 kcal,nan g,3.32 g,7.09 g,4.06 g,0.38 g,4.99 g,0.79 g,144.0 mg
188.0,Soy Milk,61.0 kcal,7.19 g,1.61 g,8.75 g,9.08 g,0.55 g,7.45 g,0.09 g,93.0 mg
189.0,Almond Milk,76.0 kcal,2.95 g,0.67 g,nan g,0.8 g,0.47 g,2.92 g,0.2 g,85.0 mg
190.0,Skim Milk,56.0 kcal,0.68 g,3.01 g,3.5 g,7.62 g,0.98 g,4.87 g,0.25 g,131.0 mg
191.0,2% Milk,74.0 kcal,1.32 g,1.98 g,5.59 g,nan g,0.54 g,3.43 g,0.9 g,145.0 mg
192.0,Almond Milk,68.0 kcal,nan g,4.42 g,10.55 g,3.75 g,0.41 g,1.35 g,0.62 g,108.0 mg
193.0,Skim Milk,64.0 kcal,0.63 g,1.44 g,nan g,2.64 g,0.08 g,nan g,0.31 g,128.0 mg
194.0,Cashew Milk,71.0 kcal,4.01 g,0.88 g,6.83 g,2.99 g,0.82 g,3.89 g,0.49 g,91.0 mg
195.0,2% Milk,52.0 kcal,2.35 g,1.41 g,4.59 g,2.7 g,0.49 g,4.5 g,0.99 g,115.0 mg
196.0,Oat Milk,44.0 kcal,1.23 g,0.83 g,10.4 g,nan g,0.45 g,4.66 g,0.64 g,121.0 mg
197.0,2% Milk,45.0 kcal,4.9 g,0.75 g,7.32 g,9.37 g,0.97 g,2.31 g,0.74 g,94.0 mg
198.0,Oat Milk,47.0 kcal,5.58 g,2.41 g,8.13 g,1.2 g,0.1 g,6.26 g,nan g,83.0 mg
,Cashew Milk,76.0 kcal,3.24 g,1.75 g,6.01 g,4.99 g,0.14 g,1.73 g,0.17 g,145.0 mg
200.0,Coconut Milk,68.0 kcal,4.2 g,0.26 g,8.67 g,nan g,nan g,3.75 g,0.86 g,110.0 mg
201.0,Coconut Milk,68.0 kcal,nan g,1.33 g,1.63 g,4.13 g,nan g,3.72 g,0.17 g,129.0 mg
202.0,Soy Milk,52.0 kcal,2.23 g,3.0 g,9.47 g,7.48 g,0.83 g,nan g,0.28 g,145.0 mg
203.0,Soy Milk,69.0 kcal,5.07 g,0.67 g,5.38 g,7.77 g,0.4 g,4.83 g,0.19 g,107.0 mg
204.0,Skim Milk,55.0 kcal,1.87 g,3.84 g,9.4 g,0.55 g,0.09 g,3.12 g,nan g,113.0 mg
205.0,Almond Milk,54.0 kcal,3.49 g,4.96 g,11.9 g,2.33 g,0.05 g,4.66 g,0.47 g,112.0 mg
206.0,Soy Milk,77.0 kcal,3.72 g,1.97 g,10.95 g,8.05 g,0.05 g,3.89 g,0.68 g,108.0 mg
207.0,Whole Milk,62.0 kcal,7.62 g,4.74 g,4.63 g,9.55 g,0.38 g,7.75 g,0.18 g,106.0 mg
208.0,,64.0 kcal,nan g,3.13 g,7.74 g,3.16 g,0.54 g,2.12 g,0.82 g,106.0 mg
209.0,Cashew Milk,46.0 kcal,4.45 g,4.68 g,6.54 g,2.71 g,0.31 g,2.22 g,0.85 g,108.0 mg
210.0,Soy Milk,55.0 kcal,3.37 g,1.49 g,11.54 g,7.4 g,0.96 g,7.5 g,0.72 g,109.0 mg
211.0,Cashew Milk,42.0 kcal,6.84 g,0.9 g,nan g,1.61 g,0.82 g,2.01 g,0.23 g,141.0 mg
212.0,Soy Milk,44.0 kcal,7.5 g,1.07 g,6.55 g,1.43 g,0.22 g,1.89 g,0.43 g,121.0 mg
