Id,Product Name,Energy (kcal),Fat Content (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
84,Soy Milk,49,2.33,1.34,9.28,0.82,0.98,7.16,0.15,143
85,Almond Milk,78,7.37,2.27,3.75,1.19,0.29,6.58,0.9,125
86,Coconut Milk,43,4.45,3.53,9.74,7.29,0.08,2.53,0.35,81
87,Skim Milk,57,4.66,0.23,11.31,0.62,0.77,5.3,0.83,97
88,Coconut Milk,56,7.8,2.5,7.12,0.97,1.0,6.11,0.6,109
89,Cashew Milk,75,4.65,2.35,4.16,8.55,0.05,3.71,0.38,108
90,Cashew Milk,44,7.79,4.9,1.81,0.79,0.23,2.08,0.47,122
91,Skim Milk,76,0.91,1.14,7.8,1.18,0.13,7.69,0.28,94
92,Soy Milk,78,5.26,4.05,7.89,6.3,0.27,4.62,0.61,113
93,2% Milk,77,4.67,1.09,5.23,4.69,0.97,1.56,0.81,116
94,2% Milk,63,4.02,3.56,1.28,9.32,0.07,3.25,0.72,100
95,Whole Milk,74,6.32,3.38,1.96,5.28,0.53,5.93,0.41,114
96,Skim Milk,52,2.06,1.66,11.45,9.24,0.38,4.43,0.96,92
97,Skim Milk,43,7.55,3.32,4.52,1.2,0.13,1.31,0.58,92
98,Cashew Milk,60,5.66,4.07,8.86,7.45,0.12,3.86,0.68,142
99,2% Milk,41,4.86,4.37,1.93,1.32,0.46,5.7,0.54,145
100,2% Milk,64,5.08,4.05,9.98,4.3,0.91,2.77,0.03,87
101,Skim Milk,69,5.35,2.07,1.19,2.97,0.37,6.54,0.04,110
102,Coconut Milk,57,3.54,4.57,6.4,0.52,0.78,7.58,0.21,103
103,Whole Milk,60,3.21,2.21,5.47,3.95,0.56,4.7,0.46,144
104,Soy Milk,70,7.16,1.25,1.59,7.55,0.51,7.46,0.4,97
105,Cashew Milk,58,7.74,0.35,1.51,5.63,0.71,4.32,0.55,89
106,Oat Milk,76,4.87,1.48,6.53,2.69,0.17,6.51,0.51,81
107,Whole Milk,58,2.45,1.23,11.56,0.62,0.95,5.46,0.74,98
108,Almond Milk,72,4.63,4.08,8.84,4.75,0.51,1.95,0.49,104
109,Soy Milk,70,7.49,3.06,7.66,6.54,0.79,4.24,0.07,92
110,Whole Milk,40,1.84,2.7,4.43,5.79,0.5,6.57,0.01,93
111,Skim Milk,52,1.42,3.64,2.36,2.15,0.79,1.01,0.36,88
112,2% Milk,42,5.83,0.57,1.77,9.63,0.62,1.83,0.25,87
113,Oat Milk,68,3.77,1.65,2.68,7.67,0.12,3.65,0.48,91
114,Almond Milk,66,1.7,4.51,11.39,2.73,0.49,3.46,0.22,106
115,Skim Milk,47,4.03,0.59,3.64,8.37,0.88,1.81,0.88,121
116,Coconut Milk,74,5.76,2.04,7.58,8.85,0.53,7.4,0.16,145
117,2% Milk,46,6.82,0.68,2.36,4.47,0.99,7.86,0.25,101
118,2% Milk,73,5.3,4.76,5.26,4.88,0.79,5.91,0.23,118
119,Whole Milk,78,7.09,1.8,4.74,5.86,0.52,2.09,0.36,143
120,Oat Milk,74,5.62,0.17,2.64,4.14,0.46,4.85,0.71,143
121,Oat Milk,43,7.46,0.75,11.14,7.43,0.17,2.62,0.4,87
122,2% Milk,74,7.81,4.18,1.93,5.49,0.74,6.27,0.89,126
123,Almond Milk,67,4.16,4.52,11.13,1.02,0.39,1.74,0.24,144
124,Skim Milk,40,4.91,3.2,7.23,5.25,0.79,3.81,0.42,143
125,Almond Milk,66,6.97,4.37,3.82,9.34,0.54,1.29,0.52,87
126,Skim Milk,48,6.11,1.27,4.55,1.24,0.94,6.21,0.98,98
127,Soy Milk,80,4.3,0.6,7.81,4.27,0.15,7.12,0.7,115
128,Almond Milk,50,2.44,2.9,9.97,8.11,0.89,3.6,0.62,101
129,Oat Milk,56,7.66,3.18,11.53,2.94,0.97,2.61,0.85,133
130,Coconut Milk,62,0.96,1.69,10.86,1.05,0.14,7.24,1.0,150
131,Cashew Milk,79,1.05,1.12,3.39,9.45,0.3,2.38,0.7,148
132,Almond Milk,53,1.01,2.17,9.37,8.22,0.61,5.07,0.91,94
133,Whole Milk,40,7.99,1.36,7.28,8.06,0.66,7.81,0.86,134
134,Whole Milk,48,6.24,0.55,3.11,7.7,0.94,5.1,0.14,124
135,Whole Milk,63,5.85,1.68,3.51,1.35,0.88,5.74,0.27,86
136,Almond Milk,62,0.81,4.12,8.49,3.91,0.94,5.3,0.63,131
137,Coconut Milk,41,1.77,2.41,11.53,9.65,0.31,6.64,0.91,141
138,2% Milk,42,1.3,2.38,9.07,1.22,1.0,1.27,0.88,129
139,Whole Milk,53,4.56,4.38,3.36,3.96,0.87,6.57,0.9,125
140,Soy Milk,67,4.13,2.09,1.39,2.62,0.26,6.14,0.56,121
141,Cashew Milk,56,5.31,3.2,7.58,9.03,0.23,6.95,0.17,92
142,Soy Milk,73,6.52,3.77,6.3,3.58,0.95,3.55,0.99,116
143,2% Milk,65,3.31,2.0,3.61,2.17,0.14,2.04,0.15,114
144,Cashew Milk,44,6.72,0.33,5.17,8.31,0.44,7.43,0.99,109
145,2% Milk,51,0.85,4.78,2.03,4.82,0.05,1.57,0.27,91
146,Skim Milk,48,7.34,1.6,10.11,6.58,0.7,2.94,0.14,126
147,Soy Milk,73,6.47,2.27,5.05,8.48,0.63,3.28,0.11,132
148,2% Milk,63,6.55,0.58,2.48,5.9,0.41,3.87,0.14,129
149,2% Milk,64,7.05,4.18,11.72,9.51,0.55,7.33,0.03,111
150,Whole Milk,48,3.59,3.79,1.86,9.78,0.04,6.38,0.12,146
151,Cashew Milk,73,4.73,1.67,3.03,8.31,0.26,4.18,0.83,99
152,2% Milk,43,6.74,4.36,10.73,8.57,0.09,6.34,0.09,88
153,Oat Milk,80,6.49,4.16,6.73,6.82,0.25,2.7,0.62,149
154,Soy Milk,55,7.12,1.95,2.08,8.24,0.03,1.22,0.71,104
155,Skim Milk,62,6.59,4.25,2.12,0.86,0.15,2.11,0.75,82
156,2% Milk,72,2.28,0.37,1.76,9.4,0.83,4.65,0.43,117
157,Soy Milk,51,7.58,3.74,11.31,7.22,0.3,1.52,0.76,130
158,Whole Milk,74,7.54,3.63,5.38,5.62,0.81,6.29,0.19,119
159,Oat Milk,44,3.95,1.8,8.41,3.13,0.76,1.61,0.78,83
160,Coconut Milk,64,0.8,4.86,9.66,2.76,0.01,2.09,0.05,136
161,Skim Milk,78,6.41,2.37,10.37,3.05,0.75,7.07,0.82,101
162,Whole Milk,73,5.38,2.16,10.29,0.95,0.52,6.59,0.57,119
163,2% Milk,73,6.61,3.04,7.15,2.24,0.8,6.21,0.54,138
164,Almond Milk,74,2.98,2.38,2.96,8.98,0.29,3.41,0.16,100
165,Oat Milk,64,1.18,1.32,11.35,9.61,0.1,5.75,0.74,124
166,Soy Milk,50,2.11,1.83,9.53,9.2,0.89,6.95,0.91,100
167,Coconut Milk,57,6.22,2.1,10.47,7.4,0.36,6.8,0.13,148
168,Skim Milk,78,3.76,0.81,8.15,7.29,0.75,7.44,0.92,143
169,Whole Milk,50,5.38,0.95,6.38,7.55,0.24,6.4,0.34,148
170,Soy Milk,73,6.37,4.06,7.02,5.22,0.49,3.23,0.12,111
171,Almond Milk,53,1.99,0.36,7.93,3.56,0.76,2.99,0.48,102
172,Cashew Milk,56,7.02,1.74,5.61,9.8,0.5,2.37,0.77,115
173,Soy Milk,70,6.34,4.49,7.23,1.9,0.75,1.43,0.17,123
174,2% Milk,67,1.81,4.56,1.04,3.1,0.49,1.3,0.15,84
175,Soy Milk,63,0.85,2.05,2.42,9.12,0.81,1.17,0.89,144
176,Coconut Milk,44,4.8,2.67,8.62,1.39,0.13,3.42,0.99,130
177,Cashew Milk,63,1.28,4.65,11.02,2.23,0.95,6.36,0.98,145
178,Oat Milk,43,2.23,4.26,3.91,6.28,0.66,5.08,0.12,133
179,Oat Milk,76,4.26,3.36,9.96,5.55,0.27,4.67,0.34,103
180,Almond Milk,80,3.82,2.01,4.05,8.56,0.39,7.8,0.24,115
181,Coconut Milk,63,5.13,3.04,8.58,9.37,0.25,4.05,0.89,106
182,Cashew Milk,69,6.25,4.85,9.02,5.38,0.71,6.73,0.07,92
183,Coconut Milk,51,7.6,3.98,8.07,6.65,0.64,6.24,0.76,85
184,2% Milk,62,2.17,0.18,5.41,1.57,0.45,2.04,0.49,92
185,2% Milk,75,2.33,1.15,3.21,9.57,0.78,3.98,0.85,93
186,Cashew Milk,63,3.14,2.01,4.97,4.41,0.29,7.23,0.5,110
187,2% Milk,59,3.56,0.24,7.49,8.35,0.73,7.92,0.58,92
188,2% Milk,50,5.63,4.03,3.56,8.82,0.44,5.56,0.38,133
189,Soy Milk,49,6.28,1.03,2.4,4.03,0.57,4.94,0.55,96
190,2% Milk,42,4.61,1.69,5.33,2.39,0.51,5.88,0.71,127
191,Oat Milk,64,2.4,3.73,6.3,1.48,0.25,5.18,0.13,130
192,Whole Milk,52,5.84,3.48,6.12,5.06,0.08,5.39,0.62,127
193,Almond Milk,75,1.38,0.46,1.61,1.41,0.9,7.03,0.05,89
194,2% Milk,70,2.26,2.72,1.68,0.81,0.16,6.6,0.74,149
195,Skim Milk,56,3.16,1.91,3.8,3.33,0.41,7.2,0.34,146
196,Skim Milk,60,6.5,0.69,7.8,9.95,0.06,3.14,0.25,105
197,Soy Milk,58,4.6,0.62,2.17,2.96,0.49,2.15,0.33,89
198,2% Milk,60,7.5,0.96,6.79,4.1,0.83,6.32,0.06,144
199,Oat Milk,63,0.86,2.69,9.47,3.48,0.51,7.01,0.93,143
200,Oat Milk,43,6.51,3.39,6.12,3.81,0.89,1.25,0.52,138
201,Skim Milk,76,3.55,2.71,6.63,4.17,0.13,6.84,0.29,138
202,Skim Milk,77,3.02,2.82,7.38,5.59,0.35,6.88,0.24,92
203,Almond Milk,76,4.18,0.88,3.97,1.25,0.1,4.84,0.89,120
204,2% Milk,72,6.98,4.64,4.26,8.36,0.49,6.16,0.02,111
205,Cashew Milk,68,4.67,1.48,6.38,4.15,0.65,5.93,0.71,97
206,Whole Milk,46,5.49,0.35,5.12,7.89,0.85,5.82,0.54,133
207,Whole Milk,53,5.6,1.84,5.69,3.15,0.7,2.74,0.54,131
208,Soy Milk,53,4.64,1.02,3.39,1.27,0.41,4.11,0.91,136
209,Soy Milk,45,2.46,1.15,3.57,5.5,0.26,2.97,0.76,146
210,Almond Milk,70,1.54,0.73,9.8,8.21,0.39,3.01,0.97,102
211,Skim Milk,54,1.67,1.21,5.25,2.39,0.31,6.6,0.75,91
212,Soy Milk,43,0.79,2.63,2.34,1.2,0.67,7.5,0.04,145
213,Cashew Milk,74,5.89,4.94,11.35,3.13,0.63,2.35,0.94,144
214,Skim Milk,58,7.42,1.32,8.05,7.25,0.85,4.97,0.32,128
215,Skim Milk,77,7.85,2.18,9.68,3.29,0.86,7.3,0.36,138
216,Whole Milk,62,6.62,1.7,9.84,8.53,0.61,1.66,0.84,88
217,Oat Milk,62,1.57,4.88,4.27,0.6,0.41,1.87,0.81,148
218,Soy Milk,51,1.0,2.37,5.72,6.09,0.33,1.14,0.14,105
219,Skim Milk,71,5.78,4.17,4.03,2.75,0.55,7.87,0.28,133
220,Skim Milk,40,2.72,2.1,11.95,5.85,0.6,3.23,0.35,99
221,Coconut Milk,48,7.69,3.73,8.55,5.96,0.77,3.36,0.31,113
222,Whole Milk,69,4.61,4.17,3.18,9.14,0.28,2.37,0.14,97
223,Skim Milk,48,1.77,2.28,1.69,8.32,0.19,1.33,0.8,111
224,Coconut Milk,54,4.01,2.49,9.56,8.36,0.29,7.57,0.43,139
225,Coconut Milk,78,4.27,1.16,4.83,6.82,0.5,2.61,0.05,125
226,Soy Milk,45,4.0,2.24,5.42,8.68,0.02,5.17,0.19,87
227,2% Milk,51,5.62,3.86,3.56,0.8,0.82,6.88,0.37,112
228,Coconut Milk,70,3.97,0.18,2.2,3.33,0.7,5.28,0.8,147
229,Oat Milk,69,5.6,0.48,8.31,2.11,0.72,5.08,0.04,98
230,Whole Milk,45,2.07,3.47,5.56,3.25,0.94,6.38,0.5,119
231,Soy Milk,69,4.35,2.43,1.29,8.26,0.9,3.26,0.65,80
232,2% Milk,57,7.07,2.94,5.22,9.46,0.69,2.27,0.75,138
233,Skim Milk,59,4.36,3.22,1.15,9.79,0.47,5.37,0.18,112
234,Cashew Milk,79,6.17,2.51,5.39,9.23,0.74,5.77,0.44,133
235,Whole Milk,75,6.82,4.08,8.37,7.23,0.08,3.81,0.72,103
236,Oat Milk,59,6.8,4.92,4.3,5.33,0.19,2.46,0.23,82
237,Skim Milk,42,4.29,1.68,5.32,3.09,0.46,6.43,0.01,106
238,2% Milk,61,4.06,3.39,2.05,7.75,0.87,5.0,0.15,126
239,Coconut Milk,62,2.17,3.05,4.62,9.58,0.26,5.56,0.75,113
240,Whole Milk,65,7.87,0.88,4.42,4.23,0.21,5.55,0.55,142
241,Oat Milk,68,7.79,4.68,6.95,2.48,0.61,2.46,0.85,101
242,Oat Milk,56,1.76,4.17,10.65,6.28,0.33,7.27,0.49,143
243,Skim Milk,61,3.48,3.53,7.32,6.34,0.34,1.19,0.01,149
244,Oat Milk,52,2.92,1.65,2.98,1.58,0.23,1.94,0.66,136
245,Soy Milk,58,4.09,3.52,7.81,8.87,0.39,3.46,0.73,129
246,Oat Milk,79,7.1,2.29,9.68,5.74,0.68,3.75,0.77,102
247,Almond Milk,49,2.74,3.55,5.6,3.14,0.06,1.51,0.33,137
248,2% Milk,60,0.86,1.65,3.58,1.81,0.7,4.83,0.98,123
249,Coconut Milk,53,7.82,2.92,4.78,8.77,0.79,7.76,0.2,119
250,Skim Milk,67,6.1,4.54,7.32,3.23,0.77,3.33,0.37,103
251,2% Milk,65,3.16,0.31,5.79,6.03,0.08,3.33,0.88,136
252,Oat Milk,78,1.99,2.17,11.11,6.09,0.82,1.55,0.08,144
253,Almond Milk,60,5.93,0.56,4.05,3.94,0.37,7.72,0.2,80
254,2% Milk,68,2.28,4.89,5.17,6.09,0.28,5.8,0.25,126
255,Cashew Milk,61,6.46,2.06,2.32,6.76,0.46,1.38,0.7,145
256,Whole Milk,62,2.9,3.35,3.43,1.91,0.59,7.67,0.82,105
257,Soy Milk,44,3.84,0.44,5.16,2.89,0.66,1.21,0.14,117
258,Oat Milk,57,0.75,2.47,7.19,2.49,0.82,7.71,0.35,127
259,Coconut Milk,52,1.31,2.39,2.37,2.79,0.77,6.4,0.41,106
260,Cashew Milk,47,4.02,4.89,11.34,2.34,0.0,7.57,0.11,122
261,Skim Milk,51,7.13,0.49,8.25,1.18,0.06,3.4,0.54,107
262,Coconut Milk,68,2.73,3.25,10.6,8.81,0.45,4.61,0.73,99
263,2% Milk,53,1.71,2.38,8.44,9.28,0.24,4.44,0.09,137
264,Whole Milk,67,3.02,2.84,2.51,7.99,0.19,5.74,0.78,110
265,Cashew Milk,56,4.13,2.02,8.55,3.61,0.81,7.62,0.55,108
266,2% Milk,68,5.03,0.75,7.14,6.93,0.16,3.58,0.49,96
267,Almond Milk,45,7.89,3.08,10.78,5.05,0.39,5.28,0.3,143
268,Soy Milk,49,3.06,2.67,5.86,5.34,0.49,3.48,0.2,136
269,2% Milk,60,6.87,0.8,6.77,0.72,0.08,4.6,0.45,111
270,Soy Milk,77,2.55,4.28,11.24,3.42,0.12,4.05,0.49,138
271,Oat Milk,75,5.63,0.38,5.55,3.55,0.08,5.45,0.22,80
272,Skim Milk,67,4.11,0.98,5.78,0.51,0.35,7.86,0.14,114
273,Coconut Milk,62,2.79,2.4,9.24,6.48,0.56,1.56,0.36,126
274,Soy Milk,41,3.29,4.29,6.05,5.34,0.1,3.59,0.25,132
275,Coconut Milk,52,3.87,3.26,10.85,6.92,0.77,2.17,0.4,108
276,Whole Milk,50,5.56,1.48,2.03,8.3,0.2,3.41,0.69,93
277,Soy Milk,54,6.59,1.08,9.97,2.97,0.54,2.05,0.39,93
278,2% Milk,79,7.0,0.24,9.81,8.37,0.68,6.01,0.39,115
279,Skim Milk,70,5.67,4.76,1.63,5.93,0.69,2.26,0.55,103
280,Oat Milk,46,5.47,2.29,7.33,3.63,0.79,1.36,0.88,97
281,Soy Milk,70,6.52,1.21,3.77,1.29,0.16,6.62,0.66,117
282,Almond Milk,59,1.21,4.37,4.47,4.85,0.03,7.68,0.7,99
283,Coconut Milk,42,0.82,4.27,5.08,4.41,0.74,6.98,0.17,140
284,Almond Milk,48,1.4,0.49,4.22,6.9,0.8,4.85,0.87,111
285,Whole Milk,60,0.59,1.95,9.64,8.93,0.3,5.08,0.83,146
286,Skim Milk,54,6.34,0.71,2.29,3.55,0.78,7.63,0.55,127
287,Oat Milk,58,6.24,4.49,8.53,7.54,0.35,1.21,0.47,90
288,Skim Milk,57,0.93,4.65,1.36,1.66,0.72,2.19,0.21,119
289,2% Milk,75,0.94,4.5,7.9,0.75,0.73,1.84,0.56,101
290,Oat Milk,47,3.67,4.16,11.66,5.28,0.96,1.32,0.88,98
291,Skim Milk,79,1.8,1.65,4.47,7.11,0.25,7.76,0.67,146
292,Skim Milk,45,4.13,0.15,2.82,3.87,0.41,2.18,0.28,140
293,Almond Milk,57,3.99,0.1,10.12,0.9,0.13,4.12,0.95,82
294,Skim Milk,62,5.76,3.38,2.33,0.5,0.69,3.79,0.75,136
295,Cashew Milk,56,1.14,3.29,9.53,4.5,0.69,7.5,0.54,146
296,Oat Milk,55,6.4,2.54,12.0,1.37,0.51,6.85,0.89,94
297,Oat Milk,72,3.62,1.52,10.29,1.92,0.27,6.04,0.61,112
298,Cashew Milk,67,4.36,4.41,6.39,2.79,0.28,5.1,0.67,130
299,Oat Milk,59,5.3,4.76,4.29,4.24,0.62,4.48,0.8,90
300,Skim Milk,54,1.67,3.88,7.08,2.6,0.57,5.29,0.02,129
301,Oat Milk,55,5.38,3.49,9.12,0.95,0.23,4.88,0.07,88
302,2% Milk,71,5.88,4.13,4.06,7.0,0.65,2.61,0.33,99
303,Oat Milk,66,7.71,4.71,8.3,7.96,0.71,1.42,0.29,124
304,Soy Milk,65,5.03,0.11,8.62,4.32,0.35,4.09,0.46,107
305,Coconut Milk,56,1.58,1.38,1.56,0.95,0.56,7.61,0.31,106
306,Skim Milk,55,7.47,3.79,1.12,1.17,0.47,2.29,0.11,91
307,Whole Milk,68,1.32,0.64,1.6,6.2,0.66,2.76,0.95,88
308,Whole Milk,60,4.79,1.24,11.63,9.09,0.44,3.39,0.82,143
309,Coconut Milk,45,4.44,1.78,4.04,9.04,0.28,1.09,0.15,150
310,Whole Milk,59,4.5,0.23,4.85,6.95,0.02,7.23,0.41,139
311,Almond Milk,62,2.04,1.86,4.35,3.57,0.97,7.61,0.89,105
312,Oat Milk,43,2.3,2.38,4.77,7.92,0.01,3.98,0.93,85
313,Oat Milk,69,5.97,3.8,6.18,0.83,0.93,4.93,0.5,141
314,Oat Milk,65,4.44,1.51,5.26,7.83,0.99,3.7,0.88,120
315,Almond Milk,75,3.65,2.65,10.1,6.81,0.46,7.95,0.61,123
316,Coconut Milk,62,1.46,2.17,11.72,1.93,0.33,4.37,0.96,104
317,Skim Milk,76,0.58,1.95,5.69,7.22,0.25,5.06,0.18,124
318,Soy Milk,54,0.88,4.6,7.01,7.22,0.29,4.53,0.89,110
319,2% Milk,78,5.38,2.81,5.14,0.65,0.75,5.47,0.45,105
320,Cashew Milk,50,6.53,1.86,4.87,2.38,0.67,4.54,0.5,80
321,Skim Milk,60,2.63,0.7,1.26,4.79,0.63,5.28,0.68,146
322,Oat Milk,58,7.71,0.53,1.67,9.78,0.31,5.14,0.38,147
323,2% Milk,47,4.67,0.7,3.26,2.78,0.85,5.29,0.69,123
324,Skim Milk,53,2.27,0.16,8.88,3.0,0.12,5.22,0.51,97
325,Soy Milk,65,6.45,1.11,11.64,3.19,0.01,2.12,0.69,114
326,Skim Milk,53,7.92,3.02,8.94,1.45,0.3,7.13,0.52,87
327,Almond Milk,62,5.83,3.09,10.01,0.86,0.38,3.56,0.33,120
328,Skim Milk,40,5.38,2.89,5.86,6.62,0.7,1.04,0.43,130
329,2% Milk,40,1.67,2.5,10.82,4.28,0.26,2.26,0.65,120
330,Cashew Milk,63,7.63,1.55,3.47,9.85,0.95,6.47,0.68,93
331,Almond Milk,43,1.76,4.9,10.29,9.85,0.52,7.74,0.96,138
332,Soy Milk,62,2.46,2.82,2.81,5.74,0.7,4.76,0.17,124
333,Cashew Milk,80,3.14,2.3,7.44,5.42,0.82,6.35,0.05,144
334,Almond Milk,48,1.82,2.66,7.26,5.39,0.6,3.32,0.86,85
335,Skim Milk,66,2.5,2.67,11.7,5.77,0.84,1.53,0.72,139
336,Skim Milk,63,2.89,1.54,8.88,4.57,0.17,1.65,0.1,97
337,Whole Milk,54,3.19,4.24,9.39,2.94,0.26,7.71,0.57,94
