Id,Product Name,Energy (kcal),Fat Proportion (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
122,Cashew Milk,68,6.48,4.57,10.42,9.47,0.26,2.29,0.12,147
123,2% Milk,65,3.63,4.13,7.6,9.49,0.55,6.1,0.88,83
124,Whole Milk,66,4.16,4.09,5.91,3.54,0.02,5.26,0.2,120
125,Almond Milk,65,1.4,2.42,11.97,4.41,0.7,2.69,0.87,123
126,Skim Milk,67,2.64,4.84,11.77,6.25,0.64,1.84,0.5,107
127,2% Milk,44,4.3,3.9,3.64,6.43,0.86,6.6,0.3,106
128,Almond Milk,46,1.78,1.62,5.05,6.09,0.32,6.17,0.34,81
129,Oat Milk,57,7.51,2.61,11.79,1.74,0.0,4.39,0.37,86
130,Soy Milk,64,4.76,2.82,1.49,4.3,0.04,4.36,0.21,148
131,2% Milk,59,3.13,2.76,5.84,5.8,0.17,3.76,0.2,127
132,Whole Milk,73,7.79,2.98,5.82,9.61,0.59,7.37,0.22,115
133,2% Milk,63,6.18,1.68,4.49,4.67,0.16,1.03,0.77,129
134,Skim Milk,61,3.74,4.05,1.85,6.0,0.57,6.73,0.24,144
135,Cashew Milk,77,6.41,4.89,2.39,3.58,0.09,2.92,0.3,136
136,2% Milk,76,7.65,1.93,2.88,5.29,0.39,2.38,0.56,116
137,Whole Milk,63,2.52,2.63,1.76,8.52,0.08,6.81,0.69,139
138,Coconut Milk,60,6.41,1.19,1.13,4.38,0.35,7.87,0.48,89
139,Soy Milk,53,3.23,2.75,11.0,6.27,0.22,7.18,0.59,95
140,Almond Milk,76,2.2,2.61,4.37,5.51,0.43,4.13,0.28,137
141,Coconut Milk,53,2.76,1.43,2.44,3.07,0.37,7.94,0.66,84
142,Coconut Milk,80,1.12,3.4,11.78,9.69,0.02,1.27,0.88,134
143,Whole Milk,69,5.21,2.88,1.69,1.57,0.18,7.24,0.3,148
144,Coconut Milk,66,5.18,3.05,10.22,4.44,0.14,2.98,0.56,86
145,Skim Milk,51,1.16,4.57,7.7,4.31,0.54,6.9,0.77,141
146,Skim Milk,55,3.37,1.26,8.79,1.25,0.35,1.61,0.28,122
147,2% Milk,80,2.31,4.44,10.23,3.63,0.38,5.51,0.17,113
148,Cashew Milk,65,5.6,3.08,1.71,9.97,0.16,3.49,0.09,113
149,Skim Milk,41,1.27,4.29,8.71,1.29,0.61,1.8,0.56,129
150,Cashew Milk,53,3.0,0.2,2.63,9.9,0.51,3.88,0.58,143
151,Cashew Milk,62,7.66,3.69,4.18,8.25,0.26,4.08,0.53,150
152,Almond Milk,56,5.84,2.84,7.73,2.52,0.81,2.21,0.98,147
153,Soy Milk,64,7.38,1.06,9.06,7.43,0.04,7.6,0.3,128
154,Oat Milk,65,4.42,0.13,2.29,8.24,0.36,5.17,0.58,111
155,Cashew Milk,57,6.95,3.83,1.63,1.04,0.33,5.45,0.28,127
156,Coconut Milk,68,5.2,4.03,6.37,4.25,0.97,1.77,0.95,115
157,Oat Milk,43,3.69,3.89,11.82,3.82,0.59,3.99,0.66,106
158,Coconut Milk,42,3.06,4.13,3.61,2.79,0.08,2.81,0.45,91
159,2% Milk,51,4.02,0.67,2.22,9.1,0.85,2.58,0.47,137
160,Oat Milk,61,6.46,4.23,9.4,7.64,0.96,3.75,0.24,115
161,Coconut Milk,66,4.72,4.36,10.55,6.8,1.0,3.5,0.41,113
162,Oat Milk,77,1.87,0.3,10.18,8.89,0.31,1.81,0.62,102
163,2% Milk,42,0.94,0.51,9.4,4.45,0.19,5.15,0.22,99
164,Cashew Milk,60,0.62,4.07,7.53,5.85,0.96,6.08,0.85,125
165,Almond Milk,42,6.71,4.12,4.04,3.45,0.72,4.56,0.65,125
166,Almond Milk,62,4.11,4.34,10.9,2.99,0.21,7.36,0.37,98
167,2% Milk,48,7.71,0.68,11.5,9.2,0.28,5.93,0.62,99
168,Coconut Milk,59,4.87,2.79,5.57,3.54,0.47,6.75,0.88,131
169,Soy Milk,74,1.37,3.81,11.39,7.68,0.39,4.23,0.76,130
170,Coconut Milk,64,6.35,1.02,10.26,3.78,0.09,7.77,0.97,93
171,Whole Milk,74,4.18,2.71,11.45,9.89,0.34,3.81,0.26,139
172,Whole Milk,76,5.89,0.55,4.18,4.6,0.2,3.98,0.79,144
173,Soy Milk,42,7.26,1.85,8.03,7.65,0.53,5.69,0.39,89
174,Soy Milk,75,5.93,3.53,2.66,3.42,0.75,7.19,0.25,133
175,Coconut Milk,54,3.88,3.87,7.18,6.7,0.49,2.65,0.51,112
176,Whole Milk,45,7.04,3.46,6.21,9.73,0.72,6.27,0.82,92
177,Soy Milk,76,5.62,4.18,9.95,5.37,0.04,4.79,0.34,141
178,2% Milk,50,1.02,2.49,8.6,8.37,0.82,2.86,0.35,112
179,Skim Milk,60,7.25,0.22,9.86,6.14,0.17,5.35,0.73,128
180,Almond Milk,68,7.32,2.12,4.68,2.57,0.03,1.62,0.43,149
181,Soy Milk,71,3.9,3.32,6.33,7.3,0.25,5.96,0.48,110
182,Skim Milk,50,6.71,0.83,8.48,1.75,0.19,5.15,0.26,103
183,Skim Milk,45,5.65,2.18,3.83,1.29,0.38,3.3,0.24,120
184,Almond Milk,50,4.72,3.58,9.76,3.58,0.37,3.53,0.0,113
185,Whole Milk,63,1.12,4.96,9.81,8.26,0.12,3.74,0.8,83
186,Oat Milk,79,4.25,0.75,2.13,2.57,0.29,1.97,0.19,83
187,Coconut Milk,40,4.43,4.68,1.44,8.86,0.58,6.69,0.83,143
188,Whole Milk,52,3.82,0.65,3.65,2.35,0.91,2.35,0.1,134
189,Almond Milk,59,6.97,1.83,2.63,0.6,0.12,1.96,0.47,144
190,Skim Milk,50,7.37,4.26,7.17,1.59,0.58,3.12,0.69,104
191,2% Milk,44,6.2,1.83,11.01,1.75,0.49,6.92,0.52,81
192,Almond Milk,76,6.46,1.75,1.48,6.72,0.73,6.8,0.51,94
193,Cashew Milk,56,3.88,0.28,6.84,6.2,0.32,2.4,0.54,150
194,Oat Milk,72,7.79,1.34,11.59,2.09,0.09,7.31,0.73,136
195,Coconut Milk,54,6.67,4.97,8.99,1.88,0.69,4.26,0.61,126
196,2% Milk,57,3.53,3.0,6.96,8.52,0.33,5.02,0.54,112
197,Soy Milk,53,1.09,2.79,4.44,0.87,0.82,1.22,0.04,95
198,Almond Milk,72,5.52,0.72,10.25,1.33,0.96,2.14,0.37,131
199,Coconut Milk,66,5.13,4.91,1.3,2.51,0.74,1.35,0.9,124
200,Soy Milk,50,2.11,0.21,9.73,9.16,0.03,3.01,0.13,106
201,Whole Milk,67,6.88,3.0,5.75,9.53,0.21,5.67,0.48,92
202,Coconut Milk,74,3.45,2.93,1.58,2.18,0.37,2.66,0.67,103
203,Skim Milk,65,1.61,1.79,2.55,0.87,0.04,3.38,0.07,125
204,Cashew Milk,59,4.93,2.64,4.95,3.22,0.27,1.89,0.32,132
205,Oat Milk,53,2.78,0.87,5.51,6.52,0.24,7.56,0.93,135
206,Skim Milk,76,3.14,1.91,8.11,8.5,0.47,3.76,0.39,114
207,Soy Milk,69,3.43,4.92,7.99,4.26,0.03,2.81,0.71,113
208,2% Milk,64,5.77,2.89,7.99,5.62,0.68,4.05,0.7,129
209,Soy Milk,46,6.81,4.99,10.32,5.14,0.01,7.18,0.88,110
210,Skim Milk,54,1.83,3.22,8.65,1.22,0.15,4.36,0.75,91
211,Almond Milk,67,5.06,2.05,4.86,1.84,0.5,7.61,0.52,126
212,Almond Milk,78,5.37,4.85,9.97,7.76,0.62,3.17,0.97,143
213,Oat Milk,64,1.12,3.09,7.26,8.74,0.0,2.19,0.85,148
214,Whole Milk,60,2.78,2.73,7.26,7.99,0.12,2.7,0.82,125
215,Whole Milk,79,6.77,1.12,7.84,8.42,0.65,2.62,0.99,108
216,Soy Milk,53,7.77,0.2,10.99,4.08,0.64,2.25,0.5,111
217,Whole Milk,61,1.08,4.9,11.55,9.97,0.33,7.29,0.71,92
218,Soy Milk,61,3.96,3.14,4.56,8.1,0.06,6.13,0.97,87
219,Almond Milk,47,2.84,3.28,6.14,1.38,0.18,4.54,0.46,122
220,Skim Milk,51,6.38,1.41,7.3,8.25,0.55,2.79,0.83,95
221,Cashew Milk,42,1.16,3.29,2.72,5.08,0.78,4.58,0.78,137
222,Soy Milk,41,3.19,0.24,9.04,2.77,0.82,4.63,0.64,135
223,2% Milk,41,1.63,4.6,4.12,5.19,0.68,1.79,0.8,124
224,Skim Milk,52,6.82,1.61,5.75,6.76,0.34,7.15,0.15,130
225,Skim Milk,50,7.57,2.14,1.01,8.26,0.93,4.33,0.16,140
226,2% Milk,61,1.26,1.79,9.36,3.81,0.51,7.57,0.11,134
227,Skim Milk,76,4.83,2.72,6.38,6.07,0.53,2.15,0.59,146
228,Cashew Milk,78,4.23,0.27,4.74,4.32,0.22,1.35,0.47,133
229,Cashew Milk,48,7.9,2.28,3.31,3.43,0.09,5.42,0.48,136
230,Soy Milk,42,1.92,3.05,3.4,3.07,0.63,4.24,0.64,137
231,2% Milk,49,6.81,3.59,3.08,7.34,0.75,7.75,0.35,110
232,2% Milk,53,6.0,4.2,1.26,8.16,0.25,1.87,0.58,133
233,Soy Milk,48,6.9,2.64,1.5,1.84,0.68,5.07,0.52,126
234,Oat Milk,53,6.05,3.38,6.61,4.48,0.82,4.96,0.05,129
235,Whole Milk,78,3.5,3.65,3.58,5.25,0.18,1.5,0.52,106
236,Skim Milk,76,0.81,2.18,11.04,8.71,0.92,3.5,0.95,113
237,Oat Milk,45,6.48,2.31,11.29,6.51,0.42,3.2,0.68,131
238,Almond Milk,52,3.76,1.06,2.55,1.23,0.01,4.25,0.9,88
239,2% Milk,77,3.08,0.35,9.22,8.32,0.27,3.87,0.98,95
240,2% Milk,43,1.41,3.65,9.22,0.7,0.83,4.89,0.77,81
241,Almond Milk,41,3.74,0.76,5.22,4.38,0.93,4.62,0.56,82
242,Cashew Milk,66,4.27,2.79,2.08,3.49,0.57,3.92,0.21,101
243,2% Milk,66,7.84,1.01,9.53,5.56,0.07,4.42,0.44,141
244,Cashew Milk,59,0.73,3.2,11.45,7.4,0.79,3.87,0.68,105
245,2% Milk,43,2.28,4.72,3.03,2.65,0.07,3.69,0.56,90
246,Skim Milk,40,5.19,3.7,9.86,7.15,0.09,2.37,0.86,103
247,2% Milk,47,2.01,3.65,9.46,8.17,0.74,6.29,0.2,148
248,Cashew Milk,72,2.5,1.0,7.75,5.87,0.4,3.92,0.75,80
249,Whole Milk,75,3.52,3.54,6.78,1.01,0.42,1.24,0.14,84
250,Coconut Milk,48,0.99,0.45,9.16,8.36,0.49,3.23,0.0,114
251,Almond Milk,56,6.29,1.4,11.47,3.6,0.52,2.65,0.67,91
252,Oat Milk,64,5.97,4.52,1.17,4.44,0.21,1.69,0.41,129
253,Whole Milk,70,3.7,1.46,8.13,9.45,0.01,7.77,0.55,101
254,Coconut Milk,62,1.67,2.78,5.77,2.2,0.71,5.55,0.75,102
255,Coconut Milk,66,4.69,4.44,3.87,3.93,0.26,6.18,0.25,112
256,Cashew Milk,59,5.09,2.07,8.31,6.53,0.33,5.87,0.79,126
257,Cashew Milk,60,6.59,4.94,2.43,1.54,0.93,3.31,0.27,113
258,Coconut Milk,62,5.39,0.77,3.66,8.23,0.71,2.47,0.14,142
259,2% Milk,54,7.68,0.67,5.29,9.38,0.12,3.3,0.79,147
260,Oat Milk,79,0.8,2.52,7.56,1.97,0.74,1.5,0.45,116
261,Soy Milk,40,5.41,1.54,10.73,4.34,0.24,4.02,0.38,106
262,Almond Milk,62,1.82,5.0,8.81,7.84,0.53,1.3,0.77,123
263,Almond Milk,70,3.47,0.12,6.24,6.55,0.29,2.37,0.36,81
264,Coconut Milk,74,2.19,2.26,3.69,0.54,0.22,2.04,0.39,107
265,Oat Milk,78,3.15,4.3,3.35,1.87,0.31,5.27,0.66,104
266,Cashew Milk,40,4.08,4.8,4.57,8.13,0.13,5.4,0.22,129
267,2% Milk,43,7.45,1.64,8.99,3.99,0.13,6.67,0.22,103
268,Skim Milk,49,2.31,4.43,9.51,6.46,0.73,3.61,0.92,103
269,Skim Milk,40,2.86,0.69,2.5,8.31,0.74,7.91,0.97,134
270,Oat Milk,48,3.44,4.81,4.27,2.07,0.54,7.76,0.24,103
271,Skim Milk,40,2.62,0.76,9.95,5.0,0.89,7.27,0.56,86
272,Whole Milk,58,5.01,3.84,8.35,8.09,0.54,3.4,0.01,114
273,Cashew Milk,80,4.02,4.12,9.21,4.1,0.84,5.37,0.44,98
274,Coconut Milk,64,0.98,2.16,5.78,7.05,0.92,5.01,0.57,149
275,Cashew Milk,74,5.72,4.44,3.5,9.59,0.56,1.97,0.41,148
276,2% Milk,75,2.28,4.54,9.65,6.99,0.66,4.62,0.77,107
277,Oat Milk,67,2.0,4.83,9.39,8.35,0.53,4.48,0.28,145
278,Whole Milk,75,0.98,0.2,5.83,7.94,0.35,1.74,0.79,121
279,Soy Milk,64,3.0,4.25,11.12,1.96,0.35,7.57,0.67,121
280,Soy Milk,69,2.05,0.24,1.57,1.45,0.1,2.81,0.53,105
281,Skim Milk,60,7.08,4.51,7.45,4.94,0.75,6.61,0.23,120
282,Cashew Milk,79,4.76,2.7,7.62,1.4,0.86,3.85,0.3,114
283,Cashew Milk,64,6.93,0.33,2.06,7.15,0.1,3.01,0.57,142
284,2% Milk,57,1.05,1.25,5.21,5.02,0.4,6.61,0.41,91
285,Coconut Milk,71,2.59,1.72,3.78,4.1,0.17,4.73,0.56,133
286,2% Milk,70,4.2,2.15,1.83,2.65,0.02,6.64,0.11,148
287,Soy Milk,48,6.7,3.56,2.2,3.71,0.71,1.94,0.85,135
288,Soy Milk,41,1.1,1.89,6.37,4.32,0.69,1.55,0.07,100
289,Skim Milk,58,3.48,2.45,2.67,2.33,0.54,6.02,0.0,99
290,Coconut Milk,41,1.2,4.1,6.99,7.12,0.25,5.35,0.64,120
291,Skim Milk,72,4.56,2.65,11.84,5.13,0.97,5.58,0.21,127
292,Whole Milk,64,2.64,4.47,7.79,9.97,0.36,1.7,0.73,126
293,Soy Milk,48,3.04,4.41,7.19,3.24,0.93,6.27,0.07,115
294,Coconut Milk,40,1.03,1.53,1.61,5.95,0.71,2.85,0.94,143
295,Almond Milk,43,3.52,2.9,4.18,4.83,0.18,5.71,0.18,127
296,Cashew Milk,41,6.47,0.13,9.79,2.1,0.39,5.88,0.08,130
297,Whole Milk,68,1.52,4.62,11.33,6.33,0.02,1.72,0.91,93
298,Coconut Milk,79,1.61,1.91,2.88,1.83,0.37,3.46,0.33,101
299,Soy Milk,48,4.83,1.22,9.66,4.5,0.55,1.01,0.02,87
300,Coconut Milk,58,5.81,2.76,10.68,6.78,0.1,6.43,0.73,106
301,Cashew Milk,65,1.77,4.87,2.3,2.75,0.62,7.25,0.68,146
302,2% Milk,64,6.39,1.31,11.03,9.29,0.45,1.34,0.58,92
303,Whole Milk,70,0.66,2.48,9.38,6.61,0.68,6.33,0.36,135
304,Soy Milk,61,4.05,2.81,10.74,1.08,0.47,3.12,0.32,131
305,Almond Milk,44,6.98,1.05,11.48,0.52,0.67,5.58,0.47,149
306,Almond Milk,74,7.33,4.14,7.72,2.05,0.07,2.7,0.88,143
307,Skim Milk,78,4.24,1.39,10.16,6.51,0.31,4.01,1.0,131
308,Soy Milk,44,4.14,1.27,3.21,2.65,1.0,2.26,0.86,108
309,Whole Milk,65,4.93,3.1,11.24,6.93,0.26,4.06,0.47,89
310,Cashew Milk,63,3.48,2.07,5.8,4.75,0.56,4.41,0.45,143
311,Whole Milk,60,5.29,1.77,10.53,7.16,0.46,4.03,0.76,110
312,Skim Milk,54,6.22,4.54,1.41,4.23,0.22,4.51,0.32,124
313,Skim Milk,44,7.2,3.61,4.7,7.3,0.16,1.05,0.35,149
314,Skim Milk,67,6.32,2.07,11.89,5.69,0.4,4.86,0.5,116
315,Cashew Milk,49,3.04,2.4,8.92,0.89,0.02,7.02,0.22,121
316,Soy Milk,74,6.92,3.49,7.46,1.78,0.45,2.06,0.92,114
317,Cashew Milk,58,7.47,1.37,10.96,1.34,0.68,2.81,0.2,128
318,Soy Milk,71,6.8,0.93,7.09,5.82,0.63,6.96,0.65,140
319,Cashew Milk,46,7.73,0.25,2.36,8.78,0.8,3.64,0.77,150
320,Soy Milk,75,2.19,3.4,8.02,9.58,0.45,4.62,0.69,132
321,2% Milk,50,3.97,1.25,9.91,5.8,0.84,6.46,0.56,124
322,Oat Milk,53,5.78,2.9,2.23,2.01,0.27,7.55,0.95,125
323,Coconut Milk,59,3.93,2.84,2.99,4.25,0.92,1.69,0.35,142
324,Skim Milk,54,2.09,0.73,11.55,4.84,0.09,5.89,0.08,131
325,Soy Milk,70,7.49,1.92,4.44,9.6,0.75,4.42,0.3,113
326,Almond Milk,72,2.44,1.31,10.08,6.02,0.88,4.71,0.2,143
327,Skim Milk,43,1.02,4.82,9.26,7.79,0.9,1.43,0.08,89
328,2% Milk,74,4.11,0.12,9.38,7.49,0.42,1.74,0.58,95
329,2% Milk,58,5.79,4.27,3.72,1.58,0.4,4.45,0.98,132
330,2% Milk,64,5.02,4.04,10.11,5.7,0.93,2.02,0.53,81
331,Oat Milk,58,1.92,0.25,10.79,5.98,0.82,2.05,0.09,83
332,Coconut Milk,61,1.2,0.41,9.0,1.29,0.93,6.79,0.96,82
333,2% Milk,77,3.26,0.69,7.81,9.08,0.53,3.13,0.19,124
334,Soy Milk,48,7.33,4.38,8.89,6.07,0.98,3.18,0.18,88
335,Oat Milk,59,1.78,0.98,10.8,5.88,0.42,2.14,0.18,100
336,Soy Milk,58,5.66,2.91,2.39,5.07,0.04,7.31,0.08,93
