Id,Product Name,Energy (kcal),Fat Level (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
36,Oat Milk,44,3.49,2.44,4.89,0.82,0.65,7.39,0.99,143
37,Almond Milk,78,1.35,2.65,1.92,0.67,0.13,2.02,0.97,102
38,Skim Milk,73,6.82,1.09,7.48,6.38,0.83,8.0,0.81,145
39,Soy Milk,57,6.32,4.24,6.45,8.65,0.83,7.07,0.02,114
40,Soy Milk,69,0.66,3.47,11.27,5.66,0.53,5.99,0.9,98
41,Oat Milk,48,6.16,3.23,3.18,2.14,0.43,2.22,0.77,149
42,Almond Milk,47,4.94,4.47,10.42,4.26,0.02,4.63,0.76,108
43,2% Milk,47,4.12,0.22,1.77,0.56,0.97,4.28,0.18,97
44,Oat Milk,57,5.04,3.63,5.86,9.1,0.18,7.92,0.57,140
45,Cashew Milk,78,7.7,1.36,6.55,7.98,0.96,6.28,0.24,108
46,Oat Milk,72,3.54,4.98,3.37,9.86,0.24,2.73,0.6,134
47,Almond Milk,68,7.61,0.26,1.15,2.63,0.42,6.2,0.71,106
48,Oat Milk,65,1.33,2.71,4.29,4.2,0.51,3.36,0.76,142
49,Whole Milk,61,6.09,3.12,5.05,0.79,0.93,6.01,0.08,90
50,Almond Milk,79,7.79,1.19,2.55,8.9,0.54,2.04,0.53,94
51,Almond Milk,46,4.91,0.71,6.03,0.98,0.64,2.53,0.22,139
52,Coconut Milk,74,7.91,1.67,1.08,2.06,0.38,6.95,0.52,141
53,2% Milk,50,1.73,3.39,5.35,8.83,0.98,6.83,0.65,111
54,Soy Milk,67,2.82,4.96,2.05,7.43,0.37,4.57,0.28,133
55,Oat Milk,66,2.09,4.28,11.04,5.69,0.1,1.08,0.1,107
56,Skim Milk,65,3.25,1.33,7.3,0.75,0.46,2.2,0.3,145
57,Soy Milk,55,3.93,4.49,4.9,6.95,0.04,3.3,0.36,88
58,Coconut Milk,59,6.03,1.13,8.17,6.82,0.74,3.85,0.65,111
59,Skim Milk,41,1.82,1.4,8.64,6.92,0.4,1.78,0.55,115
60,Oat Milk,44,7.0,4.66,5.22,2.19,0.11,4.45,0.57,93
61,Coconut Milk,67,4.11,4.94,8.33,1.61,0.93,3.42,0.38,144
62,Whole Milk,68,5.07,3.44,10.89,9.0,0.32,7.89,0.53,82
63,Skim Milk,63,2.43,4.27,6.34,7.76,0.07,5.65,0.89,140
64,Soy Milk,71,2.16,0.76,11.62,2.11,0.8,6.26,0.57,150
65,Skim Milk,79,5.37,1.6,4.29,7.54,0.11,7.52,0.81,140
66,Oat Milk,42,6.11,3.29,1.07,5.09,0.64,2.18,0.43,105
67,Whole Milk,47,6.7,2.15,8.19,6.81,0.43,1.1,0.27,123
68,Almond Milk,76,7.99,3.64,11.79,6.78,0.25,7.94,0.38,139
69,Soy Milk,66,7.36,1.94,11.19,3.79,0.51,5.32,0.14,105
70,Soy Milk,67,4.99,1.25,2.34,1.51,0.43,5.29,0.69,146
71,Whole Milk,52,2.22,1.55,9.73,7.06,0.93,3.14,0.49,105
72,Almond Milk,52,2.15,4.65,9.74,2.76,0.27,4.28,0.4,81
73,Almond Milk,57,2.74,1.8,8.4,0.65,0.61,4.97,0.49,119
74,Whole Milk,58,2.41,1.43,7.44,9.76,0.63,2.55,0.79,134
75,2% Milk,70,1.77,2.8,11.45,4.79,0.27,7.21,0.15,87
76,Skim Milk,78,4.09,1.22,10.74,0.71,0.04,1.89,0.86,97
77,Oat Milk,44,6.3,4.98,2.65,7.69,0.01,4.16,0.68,92
78,Whole Milk,66,0.76,2.62,10.33,5.86,0.26,2.5,0.12,133
79,Cashew Milk,54,5.38,4.28,10.33,3.56,0.32,1.48,0.86,100
80,Skim Milk,73,4.9,2.25,8.39,7.32,0.53,1.8,0.13,137
81,Soy Milk,54,4.3,4.44,11.88,4.49,0.35,6.9,0.25,115
82,Whole Milk,47,3.02,3.69,9.27,7.72,0.77,7.21,0.21,98
83,Almond Milk,54,4.62,1.51,3.71,2.66,0.48,7.5,0.85,131
84,Coconut Milk,45,2.46,4.77,8.81,7.91,0.22,1.35,0.72,123
85,Oat Milk,42,4.4,3.66,3.63,5.74,0.39,7.16,0.33,104
86,Almond Milk,67,2.51,2.47,9.83,0.62,0.59,3.95,0.88,148
87,Cashew Milk,60,6.03,2.78,5.39,9.78,0.26,6.2,0.4,90
88,Oat Milk,62,0.78,4.55,3.38,9.88,0.2,3.93,0.84,111
89,Whole Milk,44,1.47,2.75,8.93,7.64,0.64,5.42,0.8,87
90,Oat Milk,53,7.49,1.53,7.42,7.43,0.3,6.24,0.24,89
91,2% Milk,57,7.03,1.92,9.38,2.3,0.34,1.47,0.94,100
92,Whole Milk,69,3.65,3.07,8.82,1.42,0.38,2.17,0.1,92
93,Coconut Milk,59,4.89,2.8,10.39,6.68,0.83,3.68,0.66,101
94,Skim Milk,76,3.39,3.04,6.95,7.76,0.47,2.25,0.96,101
95,Whole Milk,68,6.93,2.48,6.36,7.05,0.76,7.66,0.58,111
96,Coconut Milk,51,6.6,3.63,8.02,9.61,0.38,4.3,0.63,150
97,Cashew Milk,72,5.0,4.85,4.57,5.98,0.91,7.88,0.11,89
98,Skim Milk,46,4.49,3.14,7.21,0.7,0.49,3.55,0.73,92
99,Soy Milk,52,1.49,1.28,10.04,8.23,0.8,6.96,0.97,89
100,Oat Milk,49,7.86,4.06,3.99,1.78,0.68,6.95,0.58,95
101,Almond Milk,72,7.18,0.84,4.37,2.12,0.57,1.84,0.94,132
102,Skim Milk,68,7.98,0.18,4.99,0.91,0.45,6.21,0.51,120
103,Whole Milk,57,2.82,2.93,7.03,2.33,0.48,2.67,0.73,142
104,Whole Milk,77,4.4,0.99,1.23,7.93,0.43,2.26,0.52,150
105,Oat Milk,80,4.98,4.63,8.37,5.9,0.08,2.5,0.34,88
106,Whole Milk,55,3.35,3.85,8.54,3.34,0.25,5.04,0.2,123
107,Skim Milk,54,6.13,4.45,7.91,8.61,0.11,6.16,0.64,139
108,2% Milk,78,1.73,2.87,11.47,5.64,0.92,6.79,0.44,103
109,Oat Milk,53,1.34,0.26,3.37,9.16,0.99,6.32,0.68,99
110,Skim Milk,51,6.37,4.97,5.52,8.9,0.51,7.26,0.53,94
111,Skim Milk,43,6.02,1.47,4.2,4.37,0.19,3.68,0.83,90
112,Coconut Milk,65,5.6,1.47,7.27,4.9,0.02,5.22,0.14,117
113,Cashew Milk,67,3.76,3.5,2.19,2.19,0.57,1.95,0.65,136
114,Oat Milk,48,5.93,4.82,1.91,8.09,0.92,3.91,0.93,85
115,Coconut Milk,51,2.13,0.37,9.86,3.86,0.76,6.94,0.74,128
116,Coconut Milk,59,3.05,1.32,5.6,8.03,0.9,1.68,0.66,133
117,Cashew Milk,62,2.21,2.54,5.28,3.83,0.82,3.63,0.29,134
118,Cashew Milk,40,3.13,4.24,4.01,7.65,0.78,2.61,0.85,129
119,Cashew Milk,53,1.14,1.97,10.36,4.68,0.3,3.79,0.43,97
120,2% Milk,43,5.5,1.56,7.99,2.34,0.31,2.58,0.51,110
121,Cashew Milk,73,5.94,0.47,10.97,6.48,0.68,7.77,0.74,119
122,2% Milk,40,5.56,2.69,7.85,7.21,0.71,7.03,0.43,97
123,Coconut Milk,70,4.66,1.91,1.25,2.49,0.56,7.36,0.74,149
124,Almond Milk,48,0.66,1.06,9.14,8.71,0.82,2.87,0.19,148
125,Skim Milk,65,1.63,2.04,2.52,8.41,0.97,4.89,0.41,84
126,Oat Milk,50,2.66,2.76,1.08,6.35,0.69,1.57,0.33,105
127,Almond Milk,57,7.09,2.55,4.32,4.87,0.17,3.68,0.48,101
128,Cashew Milk,67,3.12,3.04,10.44,8.87,0.62,7.63,0.87,144
129,2% Milk,45,7.36,4.7,6.8,5.01,0.79,2.48,1.0,83
130,Soy Milk,61,7.69,0.46,2.37,8.64,0.83,1.07,0.26,92
131,Coconut Milk,63,7.96,4.32,7.94,2.07,0.0,2.01,0.27,88
132,Oat Milk,42,7.84,2.43,9.23,3.3,0.21,5.57,0.3,125
133,2% Milk,76,6.1,0.82,10.97,3.18,0.04,3.66,0.64,83
134,Almond Milk,53,6.4,0.84,6.9,3.17,0.68,7.86,0.87,146
135,Skim Milk,75,4.75,3.39,4.94,4.07,0.95,5.4,0.81,102
136,Whole Milk,45,3.72,4.15,2.9,1.15,0.7,2.88,0.41,83
137,Skim Milk,42,0.51,0.86,10.93,1.29,0.31,3.65,0.17,127
138,Soy Milk,67,6.07,1.77,7.29,9.13,0.28,1.83,0.9,118
139,2% Milk,61,7.46,4.64,8.3,5.12,0.09,6.65,0.75,148
140,Oat Milk,71,3.71,2.74,1.41,9.37,0.27,4.31,0.65,150
141,Skim Milk,66,0.66,0.33,5.34,7.44,0.61,3.94,0.03,90
142,Oat Milk,78,1.29,0.89,4.25,6.94,0.28,3.39,0.49,86
143,Almond Milk,72,6.6,4.42,11.18,7.87,0.6,5.32,0.43,150
144,2% Milk,76,1.78,2.65,2.13,1.44,0.13,7.55,0.78,95
145,Soy Milk,46,2.37,4.69,2.29,7.21,0.83,2.35,0.07,93
146,Whole Milk,63,7.89,4.53,6.9,8.61,0.81,4.89,0.95,86
147,Whole Milk,47,2.53,2.01,10.61,1.32,0.62,2.77,0.79,142
148,Almond Milk,52,1.27,3.14,8.47,0.66,0.43,6.38,0.13,107
149,Whole Milk,43,7.36,2.45,11.39,2.7,0.45,4.51,0.6,149
150,Almond Milk,75,5.1,1.69,4.14,7.33,0.34,7.45,0.78,129
151,2% Milk,64,1.46,1.86,7.89,4.68,0.78,5.22,0.35,106
152,Cashew Milk,49,5.54,3.95,7.47,8.17,0.22,7.98,0.83,134
153,Coconut Milk,43,5.19,0.43,4.65,9.2,0.75,5.0,0.54,125
154,2% Milk,79,6.04,2.55,5.02,1.02,0.97,5.78,0.62,124
155,2% Milk,79,3.06,0.27,8.18,4.76,0.55,6.52,0.06,139
156,Oat Milk,40,5.94,4.75,11.38,8.53,0.57,4.16,0.3,87
157,Coconut Milk,75,4.01,2.47,9.4,0.6,0.7,7.09,0.81,123
158,Cashew Milk,53,4.21,1.5,4.73,1.93,0.6,7.61,0.51,80
159,Cashew Milk,61,7.49,2.91,2.71,8.76,0.98,2.72,0.15,149
160,Almond Milk,48,7.1,0.94,4.34,7.99,0.58,7.33,0.39,98
161,Oat Milk,67,1.39,0.27,10.09,3.77,0.56,7.14,0.79,143
162,Cashew Milk,70,6.36,2.34,2.94,2.03,0.64,7.24,0.67,100
163,Almond Milk,79,4.89,0.52,10.49,7.94,0.08,1.03,0.74,133
164,Cashew Milk,56,1.95,2.27,11.66,8.83,0.48,5.76,0.71,141
165,Whole Milk,74,6.88,3.6,7.77,9.63,0.18,6.32,0.37,141
166,2% Milk,61,4.66,1.83,1.27,5.93,0.21,2.79,0.67,119
167,Cashew Milk,65,5.13,2.25,9.27,5.19,0.21,3.84,0.54,98
168,Almond Milk,76,6.79,3.29,4.69,3.67,0.77,4.66,0.44,131
169,Soy Milk,79,3.05,3.94,7.66,7.36,0.63,2.31,0.63,110
170,2% Milk,58,3.85,4.5,6.27,7.24,0.23,5.63,0.06,93
171,Almond Milk,43,5.96,1.22,1.19,6.68,0.7,1.4,0.15,127
172,Oat Milk,71,4.46,4.1,11.92,4.53,0.2,3.88,0.32,142
173,Whole Milk,45,6.91,3.72,5.34,5.99,0.03,4.57,0.23,120
174,Oat Milk,70,5.24,3.03,6.08,5.6,0.26,4.95,0.51,106
175,2% Milk,40,0.64,1.77,10.46,1.72,0.68,1.61,0.96,135
176,Cashew Milk,68,3.96,3.2,8.23,5.27,0.15,2.73,0.73,142
177,Whole Milk,50,3.61,4.45,6.49,3.67,0.75,6.95,0.41,114
178,Soy Milk,78,5.99,0.91,3.71,6.14,0.96,6.93,0.36,108
179,Skim Milk,43,6.84,4.41,7.95,3.43,0.92,3.86,0.76,114
180,Oat Milk,53,1.26,1.03,10.57,4.7,0.53,7.28,0.96,146
181,Almond Milk,56,6.95,3.32,3.79,0.82,0.26,7.95,0.15,147
182,Oat Milk,74,6.97,0.74,5.85,8.46,0.69,7.16,0.75,94
183,Almond Milk,75,7.49,3.3,1.85,8.09,0.72,3.05,0.63,111
184,Skim Milk,46,6.79,4.78,7.53,7.13,0.0,4.2,0.17,115
185,2% Milk,56,7.72,0.15,8.59,5.92,0.37,5.65,0.13,92
186,Soy Milk,46,0.63,0.11,9.95,3.65,0.93,1.35,0.89,125
187,Almond Milk,59,3.74,1.54,7.0,2.36,0.14,5.75,0.57,89
188,Skim Milk,49,2.7,3.41,8.01,6.85,0.38,1.16,0.85,108
189,Almond Milk,76,4.62,0.88,9.47,4.27,0.53,7.06,0.19,110
190,Oat Milk,45,3.13,2.45,3.89,4.22,0.99,1.25,0.65,85
191,Almond Milk,76,6.18,2.54,3.24,4.71,0.47,4.83,0.81,86
192,Skim Milk,73,3.34,4.86,7.29,1.19,0.0,3.13,0.5,106
193,Whole Milk,77,5.21,3.92,8.31,7.54,0.27,7.49,0.43,127
194,Coconut Milk,64,1.26,1.03,2.57,8.68,0.05,1.77,0.75,132
195,2% Milk,44,6.93,4.51,7.81,7.61,0.45,2.46,0.56,112
196,Soy Milk,68,1.79,3.85,5.62,3.01,0.65,4.72,0.84,117
197,Skim Milk,65,5.04,0.51,8.48,7.19,0.85,7.54,0.53,132
198,Almond Milk,48,5.22,4.67,10.0,5.32,0.98,3.73,0.63,100
199,2% Milk,78,2.03,0.15,10.47,7.78,0.63,7.6,0.85,137
200,Coconut Milk,76,2.96,4.45,2.24,2.67,0.63,5.09,0.26,145
201,Almond Milk,55,1.38,4.68,11.46,4.26,0.82,3.44,0.92,130
202,Almond Milk,69,4.75,3.34,10.82,1.22,0.28,2.56,0.82,123
203,Whole Milk,48,5.71,4.79,6.26,6.35,0.02,5.28,0.94,142
204,Whole Milk,68,3.87,4.53,5.93,2.78,0.97,4.01,0.63,117
205,Whole Milk,59,3.74,2.8,10.49,7.74,0.83,6.27,0.89,114
206,Cashew Milk,46,5.94,4.58,9.11,3.77,0.58,1.49,0.13,133
207,Skim Milk,69,3.31,2.76,8.16,8.29,0.76,5.45,1.0,132
208,Soy Milk,48,1.43,1.27,7.92,0.55,0.49,3.93,0.52,125
209,Whole Milk,58,2.98,3.31,6.54,8.23,0.57,6.56,0.94,150
210,Coconut Milk,67,4.14,0.87,7.94,0.67,0.25,6.36,0.95,93
211,Whole Milk,69,4.29,3.78,5.06,2.51,0.27,1.44,0.64,126
212,Oat Milk,46,7.85,4.16,7.13,5.62,0.86,1.58,0.43,114
213,Skim Milk,54,6.68,4.97,7.51,3.82,0.44,2.73,0.83,109
214,2% Milk,40,5.94,2.79,11.13,6.67,0.85,1.3,0.85,117
215,Skim Milk,65,7.24,2.81,7.25,2.66,0.26,2.4,0.68,82
216,Coconut Milk,80,2.01,4.79,3.18,7.81,0.49,3.02,0.16,135
217,2% Milk,55,2.46,2.59,9.43,4.96,0.75,4.52,0.53,99
218,Whole Milk,45,4.6,1.0,11.18,4.73,0.07,2.14,0.87,134
219,2% Milk,69,6.14,3.4,3.18,1.07,0.1,4.43,0.94,91
220,2% Milk,45,5.07,2.59,7.86,1.65,0.32,3.96,0.65,92
221,2% Milk,52,3.25,2.43,3.87,7.93,0.02,7.54,0.13,145
222,Cashew Milk,44,4.55,4.77,9.05,9.54,0.57,3.29,0.36,88
223,Cashew Milk,58,0.71,1.61,6.74,1.92,0.39,2.26,0.22,146
224,Almond Milk,45,2.99,4.57,3.68,8.32,0.68,3.49,0.96,115
225,Whole Milk,41,4.37,2.23,11.66,7.17,0.73,3.68,0.8,102
226,Cashew Milk,73,7.81,0.51,9.58,7.78,0.25,1.22,0.42,114
227,Coconut Milk,62,7.74,0.31,7.08,9.95,0.05,2.19,0.81,125
228,Skim Milk,46,5.63,3.17,1.87,7.95,0.6,5.11,0.61,127
229,Skim Milk,73,3.94,0.16,4.92,3.46,0.36,2.37,0.65,115
230,Almond Milk,73,7.03,0.87,1.05,6.63,0.09,3.28,0.14,146
231,Oat Milk,71,0.55,2.6,7.31,6.56,0.17,7.19,0.84,99
232,Oat Milk,58,4.74,2.83,5.2,6.79,0.74,3.83,0.82,90
233,2% Milk,65,3.81,2.23,6.52,2.77,0.36,5.63,0.88,96
234,Almond Milk,59,1.39,4.09,5.53,8.62,0.61,4.61,0.01,104
235,Skim Milk,72,5.67,0.29,8.6,9.38,0.82,5.76,0.56,116
236,2% Milk,51,2.98,3.65,3.09,1.14,0.27,6.51,0.01,145
237,2% Milk,62,6.09,3.89,5.41,3.45,0.77,3.76,0.04,138
238,Cashew Milk,58,1.1,2.71,9.05,7.95,0.19,4.43,0.68,101
239,2% Milk,47,1.52,2.12,4.98,4.88,0.26,4.45,0.12,92
240,Cashew Milk,80,3.74,2.42,2.08,1.9,0.05,4.48,0.62,82
241,Coconut Milk,80,7.84,0.63,11.53,4.16,0.42,3.74,0.45,135
242,Almond Milk,72,4.27,1.3,5.62,9.35,0.08,2.75,0.53,109
243,Almond Milk,69,1.52,3.45,5.5,6.62,0.71,7.57,0.2,142
244,Skim Milk,53,7.6,4.91,4.33,6.23,0.49,3.87,0.12,87
245,2% Milk,60,5.79,0.94,3.06,3.06,0.99,1.95,0.99,96
246,Skim Milk,44,6.62,0.74,11.2,4.24,0.4,1.98,0.18,127
247,Skim Milk,53,0.55,1.03,5.91,0.54,0.87,5.47,0.77,121
248,Soy Milk,62,5.38,1.08,10.34,2.63,0.8,3.24,0.38,147
249,Whole Milk,75,1.03,2.15,7.01,6.64,0.93,1.01,0.28,102
250,Almond Milk,50,4.16,2.63,8.41,9.58,0.58,1.6,0.01,87
251,Skim Milk,67,4.4,2.03,7.68,8.75,0.05,2.56,0.97,91
252,Soy Milk,79,3.39,4.1,1.55,0.87,0.38,3.79,0.82,138
253,Cashew Milk,48,1.35,2.88,1.22,6.42,0.26,2.26,0.14,95
254,Almond Milk,72,0.69,3.07,3.93,7.82,0.53,6.08,0.65,127
255,Cashew Milk,48,4.75,4.21,4.85,3.14,0.63,1.65,0.7,106
256,Cashew Milk,53,5.21,3.15,1.05,2.88,0.28,1.62,0.17,98
257,Oat Milk,44,6.04,1.47,4.82,1.38,0.28,7.97,0.78,95
258,Oat Milk,42,5.97,1.17,4.18,9.67,0.65,7.46,0.24,87
259,Cashew Milk,72,4.78,3.35,2.68,0.93,0.8,3.38,0.69,113
260,Coconut Milk,59,5.13,1.02,9.68,4.12,0.75,1.42,0.68,133
261,Coconut Milk,57,2.32,0.37,7.48,6.6,0.09,1.01,0.57,109
262,Almond Milk,64,3.33,4.52,10.79,7.86,0.59,7.43,0.34,112
263,Oat Milk,57,0.98,2.77,5.72,2.32,0.07,6.9,0.37,137
264,Cashew Milk,56,2.8,3.25,11.54,5.37,0.4,7.44,0.79,83
265,Whole Milk,46,4.74,2.2,3.55,4.49,0.95,4.84,0.94,110
266,Whole Milk,63,1.76,3.22,10.13,1.79,0.77,5.88,0.83,87
267,Cashew Milk,71,0.54,4.93,6.24,1.78,0.42,3.16,0.57,123
268,Almond Milk,43,4.08,4.28,9.22,3.6,0.43,3.27,0.93,143
269,2% Milk,51,5.17,3.12,9.47,9.8,0.65,1.14,0.99,123
270,2% Milk,66,1.04,1.59,4.62,9.69,0.25,7.04,0.07,127
271,Almond Milk,78,1.84,2.36,2.05,6.09,0.12,4.95,0.26,134
272,Almond Milk,59,2.76,1.62,8.06,9.92,0.33,2.5,0.48,80
273,Skim Milk,80,1.44,4.88,6.72,3.74,0.79,2.46,0.31,144
274,Whole Milk,40,6.02,1.4,9.79,1.92,0.18,3.9,0.25,121
275,Skim Milk,53,3.69,0.33,7.42,8.88,0.73,3.9,0.33,99
276,Cashew Milk,73,7.92,3.13,11.61,3.23,0.26,2.02,0.56,142
277,Coconut Milk,72,3.43,4.26,11.33,1.28,0.72,6.62,0.41,92
278,Soy Milk,60,7.88,3.21,8.3,2.22,0.62,7.93,0.86,126
279,Oat Milk,69,5.56,4.44,1.39,7.9,0.92,5.54,0.2,114
280,Skim Milk,79,5.36,3.37,6.04,7.28,0.03,4.02,0.58,100
281,Cashew Milk,54,5.64,2.61,4.01,7.46,0.38,5.06,0.16,144
282,Soy Milk,52,2.85,3.62,4.55,6.3,0.44,7.4,0.79,150
283,Whole Milk,74,1.78,0.29,11.54,1.69,0.16,5.61,0.04,119
284,2% Milk,58,7.11,4.64,6.18,9.82,0.92,5.28,0.21,135
285,Whole Milk,70,2.93,3.37,1.4,6.36,0.4,3.91,0.47,141
286,Soy Milk,60,5.03,1.63,10.98,7.98,0.63,7.31,0.05,109
287,Oat Milk,75,6.81,3.53,8.23,6.06,0.51,4.46,0.54,138
288,Almond Milk,57,2.65,4.19,1.81,4.04,0.27,3.59,0.85,149
289,Cashew Milk,62,4.84,3.13,8.57,8.52,0.31,2.11,0.17,133
290,Soy Milk,45,1.57,4.7,10.86,4.25,0.05,1.11,0.66,105
291,2% Milk,72,5.49,4.49,6.41,3.99,0.96,3.21,0.48,107
292,Almond Milk,77,0.87,0.81,2.2,4.53,0.03,3.43,0.36,93
293,2% Milk,63,4.9,1.35,7.37,8.33,0.55,6.61,0.26,95
294,Soy Milk,69,2.65,2.23,11.71,5.07,0.27,5.61,0.41,111
295,2% Milk,45,4.72,3.87,3.07,7.23,0.2,1.76,0.84,134
296,Coconut Milk,62,4.64,3.08,6.17,1.41,0.15,1.08,0.51,130
297,Cashew Milk,64,7.61,2.61,10.55,2.93,0.6,5.65,0.36,124
298,Soy Milk,72,6.37,1.42,2.0,8.14,0.03,4.78,0.63,113
299,Almond Milk,46,4.4,3.2,3.68,0.6,0.96,5.06,0.46,119
300,Skim Milk,78,3.73,2.92,9.94,0.84,0.67,1.48,0.05,112
301,Skim Milk,67,3.41,0.11,2.08,8.49,0.56,7.82,0.58,88
302,Skim Milk,44,3.58,2.4,7.38,1.36,0.54,7.59,0.91,133
303,Coconut Milk,46,5.63,1.46,8.54,7.82,0.5,1.68,0.27,134
304,Soy Milk,74,6.1,1.79,9.21,3.59,0.44,4.42,0.41,138
305,2% Milk,58,6.19,0.91,10.23,2.7,0.33,4.76,0.59,125
306,Whole Milk,59,1.85,3.98,1.53,1.61,0.75,7.4,0.59,104
307,Oat Milk,71,6.94,2.82,3.85,4.61,0.04,3.85,0.33,124
308,Soy Milk,80,5.65,4.67,5.25,6.9,0.35,1.16,0.89,142
309,Cashew Milk,61,2.91,4.18,4.4,0.9,0.99,1.01,0.94,104
310,Soy Milk,52,0.93,0.86,7.48,6.75,0.75,4.77,0.45,100
311,Oat Milk,47,2.81,4.37,6.14,4.05,0.0,5.4,0.05,86
312,Skim Milk,55,0.66,1.23,8.47,5.95,0.09,4.31,0.2,87
313,2% Milk,69,6.48,3.13,3.52,9.43,0.96,7.35,0.3,95
314,Oat Milk,80,1.99,3.26,8.59,6.39,0.24,7.59,0.64,123
315,Soy Milk,73,2.67,1.85,9.05,0.64,0.15,4.18,0.83,103
316,Cashew Milk,63,7.72,0.77,8.65,0.53,0.2,4.27,0.75,100
317,2% Milk,53,3.68,4.19,1.43,3.63,0.46,5.99,0.24,143
318,Almond Milk,77,1.33,4.77,12.0,9.38,0.99,4.24,0.24,91
319,Coconut Milk,58,5.05,4.36,11.13,0.72,0.04,1.92,0.92,82
320,Coconut Milk,54,2.86,3.25,8.13,3.33,0.19,7.01,0.61,94
321,Soy Milk,73,1.27,0.76,3.17,7.1,0.1,4.11,0.59,107
322,Cashew Milk,45,7.69,2.28,3.85,9.06,0.59,2.52,0.87,103
323,Cashew Milk,69,4.67,4.02,11.54,4.39,0.78,5.38,0.32,148
324,Almond Milk,61,3.37,3.82,9.46,9.45,0.95,5.1,0.83,133
325,Almond Milk,51,4.55,4.21,4.26,0.83,0.85,5.67,0.67,100
326,Coconut Milk,57,6.99,3.61,2.12,5.08,0.19,4.97,0.44,100
327,Oat Milk,65,7.32,0.77,11.71,5.24,0.62,1.5,0.43,120
328,Skim Milk,51,6.99,0.23,7.21,4.41,0.71,4.06,0.99,136
329,2% Milk,60,1.48,0.76,6.13,7.36,0.33,5.91,0.15,84
330,Coconut Milk,62,5.63,4.31,10.99,3.12,0.67,1.47,0.14,81
331,2% Milk,40,6.75,4.83,1.1,9.31,0.22,5.33,0.24,139
332,Whole Milk,42,6.67,1.83,3.95,9.7,0.59,5.78,0.31,114
333,2% Milk,62,1.66,1.74,2.15,3.22,0.77,6.6,0.3,131
334,Skim Milk,71,6.16,4.11,5.28,9.84,0.32,6.86,0.16,125
335,2% Milk,77,3.71,3.93,6.06,6.03,0.35,5.7,0.38,117
336,Soy Milk,54,2.81,2.67,8.07,2.33,0.7,3.26,0.88,140
