Id,Product Name,Energy (kcal),Fat Proportion (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
50.0,Soy Milk,58.0,6.3,4.66,7.42,,0.39,7.6,0.49,136.0
51.0,Almond Milk,71.0,3.05,2.87,8.98,6.1,0.82,5.03,0.12,86.0
52.0,Oat Milk,57.0,1.79,0.28,8.54,,0.33,7.13,0.49,129.0
53.0,,60.0,4.23,3.94,1.97,0.79,0.6,7.56,0.4,118.0
54.0,Soy Milk,71.0,5.08,,10.4,9.48,0.66,1.1,0.04,125.0
55.0,Cashew Milk,61.0,,3.91,1.41,,0.7,3.27,0.25,88.0
56.0,Whole Milk,68.0,6.73,3.68,9.45,8.32,0.64,6.35,0.38,91.0
57.0,Almond Milk,59.0,3.79,0.34,4.46,1.33,0.13,2.75,1.0,90.0
58.0,Cashew Milk,41.0,0.7,3.43,9.24,3.45,0.92,5.96,0.78,112.0
59.0,Coconut Milk,53.0,2.2,4.16,9.38,9.21,0.74,6.95,0.51,93.0
60.0,Whole Milk,43.0,5.49,0.24,8.58,9.54,0.48,4.0,,134.0
61.0,Skim Milk,59.0,7.62,2.2,1.33,6.69,0.79,6.22,0.78,105.0
62.0,Oat Milk,44.0,,1.31,10.47,4.13,0.87,3.34,0.87,123.0
63.0,Oat Milk,40.0,1.07,3.18,8.28,0.68,0.27,4.79,0.29,138.0
64.0,2% Milk,47.0,1.35,1.13,3.9,5.62,0.81,5.68,0.37,112.0
,Coconut Milk,70.0,4.58,0.29,10.35,8.72,0.69,3.9,0.26,107.0
66.0,Oat Milk,41.0,1.29,1.77,4.75,9.71,0.27,1.98,0.62,
67.0,2% Milk,61.0,4.08,2.23,3.64,6.08,0.59,5.94,0.33,136.0
68.0,Cashew Milk,43.0,,,3.55,,0.61,6.19,0.18,125.0
69.0,Cashew Milk,62.0,6.04,1.49,2.57,8.71,,5.53,,127.0
70.0,Soy Milk,56.0,3.75,1.83,1.79,9.43,0.8,5.2,,140.0
71.0,,78.0,6.59,,10.03,4.43,,7.79,0.48,143.0
72.0,Almond Milk,60.0,0.9,1.5,8.55,1.1,0.77,6.65,0.78,83.0
73.0,Oat Milk,76.0,1.01,,9.28,8.49,0.49,2.48,0.12,138.0
74.0,Cashew Milk,43.0,6.84,4.04,1.04,1.08,0.16,5.65,0.35,83.0
75.0,Whole Milk,78.0,6.12,,,3.73,0.68,5.93,0.9,116.0
76.0,,,7.99,0.81,3.96,2.39,,7.93,0.06,96.0
77.0,Cashew Milk,,1.34,0.78,3.2,3.09,0.54,6.93,,101.0
78.0,Cashew Milk,46.0,1.98,4.02,5.84,4.33,0.86,2.73,0.41,86.0
79.0,2% Milk,53.0,4.18,3.52,5.62,5.66,,5.42,0.99,124.0
80.0,Oat Milk,79.0,6.41,1.48,4.43,5.45,0.22,2.85,0.78,95.0
81.0,Whole Milk,73.0,4.41,2.8,5.84,4.07,0.94,3.12,0.41,
82.0,Oat Milk,68.0,0.56,,,6.56,0.02,4.0,0.01,94.0
83.0,Skim Milk,58.0,4.55,3.44,5.54,,0.6,4.93,0.01,116.0
84.0,Soy Milk,47.0,7.78,,10.2,,0.43,6.69,0.64,145.0
85.0,Whole Milk,80.0,3.57,,6.84,3.15,0.97,2.05,0.68,140.0
86.0,Almond Milk,46.0,5.93,0.17,11.09,4.86,0.31,7.73,0.29,80.0
87.0,Skim Milk,79.0,5.17,2.41,9.29,0.54,0.97,5.97,0.6,115.0
,Cashew Milk,77.0,4.46,2.81,7.9,1.99,0.42,7.99,0.62,111.0
89.0,Almond Milk,,2.43,4.35,8.47,8.2,,1.4,0.69,125.0
90.0,Oat Milk,50.0,4.43,0.48,8.91,8.66,0.15,,0.37,129.0
91.0,Almond Milk,77.0,4.28,0.92,6.63,0.66,0.6,3.8,0.65,94.0
92.0,2% Milk,64.0,4.7,1.05,9.84,1.64,0.58,2.82,0.69,139.0
93.0,Soy Milk,45.0,3.4,3.12,11.97,9.12,0.64,2.05,0.28,133.0
94.0,Whole Milk,45.0,5.57,0.52,11.64,9.9,0.15,5.46,1.0,99.0
95.0,Skim Milk,65.0,,,10.71,2.67,0.75,3.47,0.28,149.0
96.0,Almond Milk,79.0,4.31,1.28,10.01,,0.7,7.62,0.14,139.0
97.0,Whole Milk,80.0,4.54,0.77,,2.74,0.78,4.55,0.85,92.0
98.0,Whole Milk,54.0,1.25,3.71,4.2,3.42,0.6,7.72,0.8,107.0
,Soy Milk,56.0,2.13,1.26,3.74,9.39,0.87,1.12,,105.0
100.0,Skim Milk,45.0,2.05,3.3,10.57,7.16,0.84,4.61,0.45,148.0
101.0,Oat Milk,72.0,3.82,2.17,7.41,6.53,0.21,1.61,0.79,149.0
102.0,Coconut Milk,63.0,1.36,3.88,10.95,8.57,0.1,2.15,0.94,108.0
,Cashew Milk,47.0,,0.93,5.0,5.73,0.88,5.02,0.04,93.0
104.0,Whole Milk,51.0,1.9,0.71,9.61,,,3.52,0.71,113.0
105.0,,56.0,6.36,0.27,6.88,8.41,0.07,6.99,,148.0
106.0,,57.0,,1.32,7.21,6.16,0.92,2.53,0.97,93.0
,Cashew Milk,57.0,6.44,3.65,6.89,4.88,0.79,1.88,0.54,92.0
108.0,2% Milk,76.0,2.35,4.85,9.33,5.66,0.72,2.98,0.54,134.0
,2% Milk,57.0,3.3,2.39,11.34,4.14,0.3,4.94,,150.0
110.0,Skim Milk,71.0,1.33,0.34,10.55,6.82,0.21,5.77,0.19,139.0
,,46.0,5.15,2.83,4.17,8.36,0.34,2.45,0.17,109.0
112.0,Soy Milk,43.0,2.75,4.33,5.66,6.87,0.8,5.39,0.25,96.0
113.0,Skim Milk,70.0,0.89,2.34,5.0,7.2,,1.81,0.48,96.0
114.0,Skim Milk,73.0,3.1,1.32,10.32,9.99,0.36,1.19,0.11,148.0
115.0,Skim Milk,77.0,6.69,2.92,10.88,5.27,0.7,6.98,0.32,
116.0,Cashew Milk,62.0,5.48,4.73,11.02,4.92,0.68,3.28,,114.0
117.0,Skim Milk,76.0,1.5,0.74,6.69,0.57,0.69,7.65,0.05,110.0
118.0,Whole Milk,66.0,6.44,1.36,2.23,0.7,0.12,,0.96,113.0
119.0,Whole Milk,68.0,5.69,1.61,2.73,7.92,,2.13,0.25,146.0
120.0,Cashew Milk,55.0,,3.36,2.37,1.41,0.61,5.58,0.08,117.0
121.0,Cashew Milk,47.0,7.52,1.24,4.47,2.05,0.33,1.79,0.33,81.0
122.0,Cashew Milk,68.0,6.48,4.57,10.42,9.47,0.26,2.29,0.12,147.0
123.0,2% Milk,65.0,,4.13,7.6,9.49,0.55,,0.88,83.0
124.0,Whole Milk,66.0,4.16,4.09,5.91,3.54,0.02,5.26,0.2,120.0
125.0,Almond Milk,65.0,1.4,2.42,11.97,4.41,0.7,2.69,0.87,123.0
,Skim Milk,67.0,,4.84,11.77,6.25,,1.84,0.5,107.0
127.0,2% Milk,44.0,4.3,3.9,3.64,6.43,0.86,6.6,,106.0
128.0,Almond Milk,46.0,1.78,1.62,5.05,6.09,0.32,6.17,0.34,81.0
129.0,Oat Milk,57.0,7.51,2.61,11.79,1.74,0.0,4.39,0.37,86.0
130.0,Soy Milk,64.0,4.76,2.82,1.49,4.3,0.04,4.36,,148.0
,2% Milk,59.0,3.13,,,5.8,0.17,3.76,0.2,127.0
132.0,Whole Milk,73.0,,2.98,5.82,9.61,0.59,7.37,0.22,
133.0,2% Milk,63.0,6.18,,4.49,4.67,0.16,1.03,0.77,129.0
,Skim Milk,,3.74,4.05,1.85,,0.57,6.73,,144.0
135.0,Cashew Milk,,6.41,4.89,2.39,3.58,0.09,2.92,0.3,136.0
136.0,,76.0,7.65,1.93,2.88,,0.39,2.38,0.56,116.0
137.0,Whole Milk,63.0,2.52,2.63,1.76,8.52,0.08,6.81,0.69,139.0
138.0,Coconut Milk,60.0,6.41,1.19,1.13,4.38,0.35,7.87,0.48,89.0
139.0,Soy Milk,53.0,3.23,,11.0,6.27,0.22,7.18,,95.0
140.0,,76.0,2.2,2.61,4.37,5.51,0.43,4.13,0.28,137.0
141.0,Coconut Milk,53.0,2.76,,2.44,3.07,0.37,7.94,0.66,84.0
142.0,Coconut Milk,80.0,1.12,3.4,11.78,9.69,0.02,1.27,0.88,134.0
143.0,Whole Milk,69.0,5.21,2.88,1.69,1.57,0.18,,0.3,148.0
144.0,Coconut Milk,66.0,5.18,3.05,10.22,4.44,0.14,2.98,0.56,
145.0,Skim Milk,51.0,1.16,4.57,7.7,4.31,0.54,6.9,0.77,141.0
146.0,Skim Milk,55.0,3.37,1.26,8.79,1.25,0.35,1.61,,122.0
147.0,2% Milk,80.0,2.31,4.44,,3.63,,5.51,,113.0
148.0,Cashew Milk,65.0,5.6,3.08,1.71,9.97,0.16,3.49,0.09,113.0
149.0,,41.0,,4.29,8.71,1.29,0.61,1.8,0.56,129.0
150.0,Cashew Milk,53.0,3.0,0.2,2.63,9.9,0.51,3.88,0.58,143.0
,Cashew Milk,62.0,7.66,3.69,4.18,,0.26,4.08,0.53,150.0
152.0,Almond Milk,56.0,5.84,2.84,7.73,2.52,0.81,2.21,0.98,147.0
153.0,Soy Milk,64.0,7.38,,9.06,7.43,0.04,7.6,,128.0
154.0,Oat Milk,65.0,4.42,0.13,2.29,8.24,,5.17,0.58,111.0
155.0,Cashew Milk,57.0,6.95,3.83,1.63,1.04,0.33,5.45,0.28,127.0
156.0,,68.0,5.2,,,4.25,0.97,1.77,,115.0
157.0,Oat Milk,,3.69,3.89,11.82,3.82,,3.99,0.66,106.0
158.0,Coconut Milk,42.0,3.06,4.13,3.61,2.79,0.08,2.81,,91.0
159.0,2% Milk,51.0,4.02,0.67,2.22,9.1,0.85,2.58,0.47,
160.0,Oat Milk,61.0,6.46,4.23,9.4,7.64,0.96,,0.24,115.0
161.0,Coconut Milk,66.0,4.72,,10.55,6.8,1.0,3.5,0.41,113.0
162.0,,77.0,,0.3,10.18,8.89,0.31,1.81,0.62,102.0
163.0,2% Milk,42.0,0.94,,9.4,,0.19,5.15,0.22,99.0
164.0,,,0.62,4.07,7.53,5.85,0.96,6.08,0.85,125.0
,Almond Milk,42.0,6.71,4.12,,3.45,0.72,4.56,0.65,125.0
166.0,Almond Milk,,4.11,4.34,10.9,2.99,0.21,7.36,0.37,
,2% Milk,48.0,7.71,0.68,11.5,,0.28,5.93,0.62,
168.0,Coconut Milk,59.0,4.87,2.79,5.57,3.54,0.47,6.75,0.88,131.0
,Soy Milk,74.0,1.37,3.81,11.39,,0.39,4.23,0.76,
170.0,,64.0,6.35,,10.26,3.78,0.09,7.77,0.97,93.0
171.0,Whole Milk,74.0,4.18,2.71,11.45,9.89,0.34,3.81,0.26,139.0
172.0,Whole Milk,76.0,5.89,,4.18,,0.2,3.98,0.79,144.0
173.0,Soy Milk,42.0,7.26,1.85,,7.65,0.53,5.69,,89.0
174.0,Soy Milk,75.0,,,2.66,3.42,0.75,7.19,0.25,133.0
175.0,Coconut Milk,54.0,,3.87,7.18,6.7,0.49,2.65,0.51,112.0
176.0,Whole Milk,45.0,7.04,3.46,6.21,9.73,0.72,6.27,0.82,92.0
177.0,Soy Milk,,5.62,4.18,9.95,5.37,0.04,4.79,0.34,141.0
178.0,2% Milk,,1.02,2.49,8.6,,0.82,2.86,0.35,
179.0,Skim Milk,60.0,7.25,0.22,9.86,6.14,0.17,5.35,0.73,128.0
180.0,Almond Milk,68.0,7.32,2.12,4.68,2.57,0.03,1.62,0.43,149.0
181.0,Soy Milk,,3.9,3.32,6.33,7.3,0.25,5.96,0.48,110.0
,Skim Milk,,,0.83,8.48,1.75,0.19,5.15,0.26,103.0
183.0,Skim Milk,45.0,,2.18,,1.29,0.38,3.3,0.24,120.0
184.0,Almond Milk,50.0,4.72,3.58,9.76,,0.37,,0.0,113.0
185.0,,63.0,1.12,4.96,9.81,8.26,0.12,3.74,0.8,83.0
186.0,,79.0,4.25,0.75,2.13,2.57,0.29,1.97,0.19,83.0
187.0,Coconut Milk,40.0,4.43,4.68,1.44,8.86,0.58,6.69,,143.0
188.0,Whole Milk,52.0,3.82,0.65,3.65,2.35,0.91,2.35,0.1,134.0
189.0,Almond Milk,59.0,6.97,1.83,2.63,0.6,0.12,1.96,0.47,144.0
190.0,Skim Milk,50.0,7.37,4.26,7.17,,0.58,3.12,0.69,104.0
,2% Milk,44.0,6.2,1.83,11.01,1.75,,6.92,0.52,81.0
192.0,Almond Milk,76.0,6.46,1.75,,6.72,0.73,6.8,0.51,94.0
193.0,Cashew Milk,56.0,3.88,0.28,6.84,6.2,0.32,2.4,0.54,150.0
194.0,Oat Milk,72.0,7.79,1.34,11.59,2.09,,7.31,0.73,136.0
195.0,Coconut Milk,54.0,6.67,4.97,8.99,1.88,0.69,4.26,0.61,126.0
196.0,,57.0,3.53,3.0,6.96,8.52,0.33,5.02,0.54,112.0
197.0,Soy Milk,53.0,1.09,2.79,4.44,0.87,0.82,,0.04,95.0
198.0,Almond Milk,72.0,5.52,0.72,,1.33,0.96,2.14,0.37,131.0
199.0,Coconut Milk,66.0,5.13,4.91,1.3,2.51,0.74,,0.9,124.0
200.0,Soy Milk,50.0,2.11,0.21,9.73,9.16,0.03,3.01,0.13,106.0
201.0,Whole Milk,67.0,6.88,3.0,5.75,9.53,0.21,5.67,0.48,92.0
202.0,Coconut Milk,74.0,3.45,2.93,1.58,2.18,0.37,2.66,0.67,
203.0,,65.0,1.61,1.79,2.55,0.87,0.04,3.38,0.07,
204.0,Cashew Milk,59.0,4.93,2.64,4.95,3.22,0.27,1.89,,132.0
,,53.0,2.78,,5.51,6.52,0.24,7.56,0.93,135.0
,,76.0,3.14,1.91,8.11,8.5,0.47,3.76,0.39,114.0
207.0,,69.0,3.43,4.92,7.99,4.26,0.03,2.81,0.71,113.0
208.0,2% Milk,64.0,5.77,2.89,7.99,,0.68,4.05,0.7,129.0
209.0,,46.0,6.81,4.99,,,0.01,7.18,0.88,110.0
210.0,Skim Milk,54.0,1.83,3.22,8.65,1.22,0.15,4.36,0.75,91.0
211.0,Almond Milk,,5.06,2.05,4.86,1.84,0.5,7.61,0.52,126.0
,Almond Milk,78.0,5.37,4.85,9.97,7.76,0.62,3.17,,143.0
213.0,Oat Milk,64.0,1.12,3.09,7.26,8.74,0.0,2.19,0.85,148.0
214.0,Whole Milk,60.0,2.78,,7.26,7.99,0.12,2.7,0.82,125.0
215.0,Whole Milk,79.0,,1.12,7.84,,0.65,2.62,0.99,108.0
216.0,Soy Milk,53.0,7.77,0.2,10.99,4.08,0.64,,0.5,111.0
217.0,Whole Milk,61.0,1.08,4.9,11.55,9.97,0.33,7.29,0.71,92.0
218.0,Soy Milk,61.0,3.96,3.14,4.56,8.1,0.06,6.13,0.97,87.0
219.0,Almond Milk,47.0,2.84,3.28,6.14,1.38,0.18,4.54,0.46,122.0
220.0,Skim Milk,51.0,6.38,1.41,7.3,8.25,0.55,2.79,0.83,95.0
221.0,Cashew Milk,42.0,1.16,3.29,2.72,5.08,0.78,4.58,0.78,137.0
222.0,Soy Milk,41.0,3.19,0.24,,2.77,0.82,4.63,0.64,135.0
223.0,,,1.63,4.6,4.12,5.19,0.68,1.79,0.8,124.0
224.0,Skim Milk,52.0,6.82,1.61,5.75,6.76,0.34,7.15,0.15,130.0
225.0,Skim Milk,50.0,7.57,2.14,1.01,,0.93,4.33,0.16,140.0
226.0,,61.0,1.26,1.79,9.36,3.81,0.51,7.57,0.11,134.0
227.0,Skim Milk,76.0,4.83,2.72,6.38,,0.53,2.15,0.59,146.0
228.0,Cashew Milk,78.0,4.23,0.27,,4.32,0.22,1.35,0.47,133.0
,Cashew Milk,48.0,,2.28,3.31,3.43,0.09,5.42,0.48,136.0
230.0,Soy Milk,42.0,1.92,3.05,3.4,3.07,0.63,4.24,,
231.0,2% Milk,49.0,6.81,3.59,3.08,7.34,0.75,7.75,0.35,110.0
232.0,2% Milk,53.0,6.0,4.2,1.26,8.16,0.25,1.87,0.58,133.0
233.0,Soy Milk,48.0,6.9,2.64,1.5,1.84,0.68,5.07,0.52,126.0
234.0,Oat Milk,53.0,6.05,,6.61,4.48,,4.96,0.05,129.0
235.0,Whole Milk,78.0,3.5,3.65,3.58,5.25,0.18,1.5,0.52,106.0
236.0,Skim Milk,76.0,0.81,2.18,11.04,8.71,,3.5,0.95,113.0
237.0,Oat Milk,45.0,6.48,2.31,11.29,6.51,0.42,3.2,0.68,131.0
238.0,Almond Milk,52.0,3.76,1.06,2.55,1.23,0.01,4.25,0.9,88.0
239.0,2% Milk,77.0,3.08,0.35,9.22,8.32,0.27,3.87,,95.0
,,43.0,1.41,3.65,,,0.83,4.89,0.77,81.0
241.0,Almond Milk,41.0,3.74,0.76,5.22,4.38,0.93,4.62,0.56,82.0
242.0,Cashew Milk,66.0,,2.79,2.08,3.49,,3.92,0.21,101.0
243.0,2% Milk,66.0,7.84,1.01,,5.56,0.07,4.42,0.44,141.0
244.0,Cashew Milk,59.0,0.73,3.2,11.45,7.4,0.79,3.87,,105.0
245.0,2% Milk,43.0,2.28,4.72,3.03,2.65,0.07,3.69,0.56,90.0
246.0,Skim Milk,40.0,5.19,3.7,9.86,7.15,0.09,2.37,0.86,103.0
247.0,2% Milk,47.0,2.01,3.65,9.46,8.17,0.74,,0.2,148.0
248.0,Cashew Milk,72.0,,1.0,7.75,5.87,,3.92,0.75,80.0
249.0,Whole Milk,75.0,3.52,3.54,6.78,,0.42,1.24,0.14,84.0
250.0,Coconut Milk,48.0,0.99,0.45,9.16,8.36,0.49,3.23,0.0,114.0
251.0,Almond Milk,,6.29,1.4,11.47,3.6,0.52,2.65,,91.0
252.0,Oat Milk,64.0,5.97,4.52,1.17,4.44,0.21,,0.41,129.0
253.0,Whole Milk,70.0,3.7,1.46,8.13,9.45,0.01,7.77,0.55,101.0
254.0,Coconut Milk,62.0,1.67,2.78,5.77,2.2,,5.55,0.75,102.0
255.0,Coconut Milk,66.0,4.69,4.44,3.87,3.93,0.26,6.18,0.25,112.0
256.0,Cashew Milk,59.0,,,,,0.33,5.87,0.79,126.0
257.0,Cashew Milk,60.0,6.59,4.94,2.43,1.54,0.93,3.31,0.27,113.0
,Coconut Milk,62.0,5.39,0.77,3.66,8.23,,2.47,0.14,142.0
259.0,2% Milk,54.0,7.68,0.67,5.29,9.38,,3.3,0.79,147.0
,Oat Milk,79.0,,,7.56,1.97,0.74,1.5,0.45,116.0
,Soy Milk,40.0,5.41,1.54,10.73,4.34,0.24,4.02,0.38,106.0
262.0,,62.0,1.82,5.0,,7.84,0.53,1.3,,123.0
263.0,Almond Milk,70.0,3.47,0.12,6.24,6.55,0.29,2.37,0.36,
264.0,,74.0,2.19,2.26,3.69,0.54,0.22,2.04,0.39,107.0
265.0,,78.0,3.15,4.3,3.35,1.87,0.31,5.27,0.66,104.0
266.0,,40.0,4.08,4.8,4.57,8.13,0.13,5.4,0.22,129.0
267.0,2% Milk,43.0,7.45,1.64,8.99,,0.13,6.67,,103.0
268.0,Skim Milk,49.0,2.31,4.43,9.51,6.46,0.73,,0.92,
269.0,Skim Milk,40.0,2.86,0.69,2.5,8.31,0.74,7.91,0.97,134.0
270.0,Oat Milk,48.0,3.44,4.81,4.27,2.07,0.54,7.76,0.24,103.0
271.0,Skim Milk,40.0,2.62,,9.95,5.0,0.89,7.27,0.56,86.0
272.0,Whole Milk,58.0,5.01,3.84,8.35,8.09,0.54,3.4,0.01,114.0
273.0,Cashew Milk,80.0,4.02,,,4.1,0.84,5.37,0.44,98.0
274.0,Coconut Milk,64.0,0.98,2.16,5.78,7.05,0.92,5.01,0.57,
,Cashew Milk,,5.72,4.44,3.5,9.59,0.56,1.97,0.41,148.0
276.0,2% Milk,75.0,2.28,4.54,9.65,6.99,0.66,4.62,0.77,107.0
277.0,Oat Milk,67.0,2.0,4.83,9.39,8.35,0.53,4.48,0.28,145.0
278.0,Whole Milk,75.0,0.98,0.2,5.83,7.94,0.35,1.74,0.79,121.0
279.0,Soy Milk,64.0,3.0,4.25,,,0.35,7.57,0.67,121.0
280.0,Soy Milk,69.0,2.05,0.24,1.57,,0.1,2.81,,105.0
281.0,Skim Milk,60.0,7.08,4.51,7.45,4.94,0.75,6.61,0.23,120.0
282.0,Cashew Milk,79.0,4.76,2.7,7.62,1.4,0.86,3.85,0.3,114.0
283.0,Cashew Milk,64.0,6.93,0.33,2.06,7.15,0.1,3.01,0.57,142.0
284.0,2% Milk,57.0,1.05,1.25,5.21,5.02,0.4,6.61,0.41,91.0
285.0,Coconut Milk,,2.59,1.72,3.78,,0.17,4.73,0.56,133.0
286.0,2% Milk,70.0,4.2,2.15,1.83,2.65,0.02,6.64,0.11,148.0
287.0,Soy Milk,48.0,6.7,3.56,2.2,,0.71,1.94,,135.0
288.0,Soy Milk,41.0,1.1,1.89,6.37,4.32,0.69,1.55,,100.0
289.0,Skim Milk,58.0,3.48,2.45,2.67,2.33,0.54,6.02,0.0,99.0
290.0,Coconut Milk,41.0,1.2,4.1,6.99,7.12,0.25,5.35,,120.0
291.0,Skim Milk,72.0,4.56,2.65,11.84,5.13,0.97,5.58,0.21,127.0
292.0,Whole Milk,64.0,2.64,4.47,7.79,9.97,0.36,1.7,0.73,126.0
293.0,,48.0,3.04,,7.19,3.24,0.93,6.27,0.07,115.0
294.0,Coconut Milk,40.0,1.03,1.53,1.61,5.95,0.71,2.85,0.94,143.0
295.0,Almond Milk,43.0,3.52,2.9,4.18,4.83,,5.71,0.18,127.0
296.0,Cashew Milk,41.0,6.47,0.13,9.79,2.1,0.39,5.88,0.08,130.0
297.0,Whole Milk,68.0,,4.62,11.33,6.33,0.02,1.72,0.91,93.0
298.0,,79.0,1.61,,2.88,1.83,0.37,3.46,,101.0
299.0,Soy Milk,48.0,4.83,1.22,9.66,4.5,0.55,1.01,0.02,87.0
,Coconut Milk,58.0,5.81,2.76,10.68,6.78,0.1,6.43,0.73,
301.0,Cashew Milk,65.0,1.77,4.87,2.3,2.75,0.62,7.25,0.68,146.0
302.0,2% Milk,64.0,6.39,1.31,11.03,,0.45,1.34,0.58,92.0
303.0,Whole Milk,,0.66,2.48,9.38,,0.68,6.33,0.36,135.0
304.0,Soy Milk,61.0,4.05,2.81,10.74,1.08,0.47,3.12,0.32,131.0
305.0,Almond Milk,44.0,6.98,1.05,11.48,0.52,0.67,5.58,0.47,149.0
306.0,,74.0,7.33,4.14,7.72,2.05,0.07,2.7,0.88,143.0
307.0,Skim Milk,,4.24,1.39,10.16,6.51,0.31,4.01,1.0,131.0
308.0,Soy Milk,44.0,4.14,1.27,3.21,,1.0,2.26,0.86,108.0
309.0,Whole Milk,65.0,,3.1,,6.93,0.26,4.06,0.47,89.0
310.0,,63.0,3.48,2.07,5.8,4.75,0.56,4.41,0.45,143.0
311.0,Whole Milk,60.0,5.29,1.77,10.53,7.16,0.46,4.03,0.76,110.0
312.0,,54.0,6.22,4.54,1.41,4.23,0.22,4.51,0.32,124.0
313.0,Skim Milk,44.0,7.2,3.61,4.7,7.3,,1.05,,149.0
314.0,Skim Milk,67.0,6.32,2.07,11.89,5.69,0.4,4.86,0.5,116.0
315.0,Cashew Milk,49.0,3.04,2.4,8.92,0.89,0.02,7.02,0.22,121.0
,Soy Milk,74.0,6.92,3.49,7.46,1.78,0.45,2.06,0.92,114.0
