Id,Product Name,Energy (kcal),Fat Content (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
71.0,Almond Milk,51.0,5.66,2.47,6.3,1.1,0.44,3.67,0.8,126.0
72.0,Cashew Milk,44.0,3.51,4.38,6.38,6.16,0.92,2.65,0.09,98.0
,Whole Milk,63.0,6.68,1.32,2.02,1.77,0.19,4.58,,104.0
74.0,Almond Milk,41.0,0.67,4.84,3.59,7.82,0.6,1.34,0.39,85.0
75.0,Whole Milk,70.0,,1.1,11.19,8.71,0.2,1.56,0.26,111.0
76.0,Soy Milk,79.0,3.54,2.27,11.54,,0.09,7.75,0.07,133.0
77.0,2% Milk,80.0,0.92,,6.51,,0.02,,0.98,101.0
78.0,Soy Milk,48.0,2.15,4.44,5.71,7.25,0.49,2.32,0.88,
79.0,Oat Milk,76.0,5.99,0.98,5.84,4.7,0.46,7.64,0.55,91.0
80.0,Coconut Milk,59.0,7.34,1.7,4.9,9.15,0.98,4.39,0.17,81.0
,Whole Milk,40.0,,0.65,9.89,4.99,0.97,6.74,0.04,129.0
,Whole Milk,68.0,1.45,2.82,9.07,1.14,0.79,1.81,0.12,
83.0,Skim Milk,61.0,5.03,3.33,3.47,5.01,0.11,1.07,0.5,91.0
84.0,Soy Milk,49.0,2.33,1.34,9.28,0.82,0.98,7.16,0.15,143.0
85.0,Almond Milk,78.0,7.37,2.27,3.75,1.19,0.29,6.58,0.9,
86.0,Coconut Milk,,4.45,3.53,9.74,,0.08,2.53,0.35,81.0
87.0,Skim Milk,57.0,4.66,0.23,11.31,0.62,0.77,5.3,0.83,97.0
88.0,Coconut Milk,56.0,7.8,2.5,,0.97,1.0,6.11,0.6,109.0
89.0,Cashew Milk,75.0,4.65,2.35,4.16,8.55,,3.71,0.38,108.0
90.0,Cashew Milk,,7.79,4.9,1.81,0.79,0.23,2.08,0.47,122.0
91.0,,76.0,0.91,1.14,7.8,1.18,0.13,7.69,0.28,94.0
92.0,Soy Milk,78.0,5.26,4.05,,6.3,0.27,4.62,0.61,
93.0,2% Milk,77.0,4.67,1.09,5.23,4.69,0.97,1.56,0.81,116.0
94.0,2% Milk,63.0,4.02,3.56,1.28,9.32,0.07,3.25,0.72,
95.0,Whole Milk,74.0,6.32,3.38,1.96,5.28,,5.93,0.41,114.0
,Skim Milk,52.0,,1.66,11.45,9.24,0.38,4.43,0.96,92.0
97.0,Skim Milk,43.0,7.55,3.32,4.52,1.2,0.13,1.31,0.58,92.0
98.0,Cashew Milk,60.0,5.66,,8.86,7.45,0.12,3.86,0.68,142.0
99.0,2% Milk,41.0,4.86,4.37,1.93,1.32,0.46,5.7,0.54,
100.0,,64.0,5.08,4.05,9.98,4.3,0.91,2.77,0.03,87.0
101.0,Skim Milk,69.0,5.35,2.07,1.19,2.97,0.37,6.54,0.04,
102.0,Coconut Milk,57.0,,4.57,6.4,0.52,0.78,7.58,0.21,103.0
103.0,Whole Milk,60.0,3.21,2.21,5.47,3.95,0.56,4.7,0.46,144.0
104.0,Soy Milk,70.0,7.16,1.25,1.59,7.55,0.51,7.46,0.4,97.0
105.0,Cashew Milk,58.0,7.74,0.35,1.51,5.63,0.71,4.32,0.55,89.0
106.0,,76.0,4.87,1.48,6.53,2.69,0.17,,0.51,81.0
,Whole Milk,58.0,2.45,1.23,11.56,,,5.46,0.74,98.0
108.0,Almond Milk,72.0,4.63,4.08,8.84,4.75,,1.95,0.49,104.0
109.0,Soy Milk,70.0,7.49,3.06,7.66,6.54,0.79,4.24,0.07,92.0
110.0,Whole Milk,40.0,1.84,,4.43,5.79,0.5,6.57,0.01,93.0
111.0,Skim Milk,52.0,1.42,3.64,2.36,2.15,0.79,,0.36,88.0
112.0,2% Milk,42.0,5.83,,1.77,9.63,0.62,1.83,0.25,87.0
113.0,Oat Milk,68.0,3.77,1.65,2.68,7.67,,3.65,0.48,91.0
114.0,Almond Milk,66.0,1.7,4.51,11.39,2.73,0.49,3.46,0.22,106.0
115.0,,47.0,4.03,0.59,3.64,8.37,0.88,1.81,0.88,121.0
116.0,Coconut Milk,74.0,5.76,2.04,7.58,8.85,0.53,7.4,0.16,145.0
117.0,2% Milk,46.0,6.82,0.68,2.36,4.47,0.99,7.86,0.25,101.0
118.0,2% Milk,73.0,5.3,4.76,5.26,4.88,0.79,5.91,0.23,118.0
119.0,Whole Milk,78.0,,1.8,,5.86,0.52,2.09,0.36,143.0
120.0,Oat Milk,74.0,5.62,0.17,2.64,,,4.85,0.71,143.0
121.0,Oat Milk,43.0,7.46,0.75,11.14,7.43,0.17,2.62,0.4,87.0
122.0,2% Milk,,7.81,4.18,1.93,5.49,0.74,6.27,0.89,126.0
123.0,Almond Milk,67.0,4.16,4.52,11.13,1.02,0.39,1.74,0.24,144.0
124.0,Skim Milk,40.0,4.91,3.2,7.23,5.25,0.79,3.81,0.42,143.0
125.0,Almond Milk,66.0,6.97,4.37,3.82,9.34,0.54,1.29,,87.0
126.0,Skim Milk,48.0,6.11,1.27,4.55,1.24,0.94,6.21,0.98,98.0
127.0,,,4.3,0.6,,4.27,0.15,7.12,0.7,115.0
128.0,Almond Milk,50.0,2.44,,9.97,8.11,0.89,3.6,0.62,101.0
129.0,Oat Milk,56.0,7.66,3.18,11.53,2.94,0.97,2.61,0.85,133.0
130.0,Coconut Milk,62.0,0.96,1.69,10.86,1.05,0.14,7.24,1.0,150.0
131.0,Cashew Milk,79.0,1.05,1.12,3.39,9.45,0.3,2.38,0.7,148.0
132.0,Almond Milk,53.0,1.01,2.17,,8.22,0.61,5.07,0.91,94.0
133.0,Whole Milk,40.0,7.99,1.36,7.28,,0.66,7.81,0.86,134.0
134.0,Whole Milk,48.0,6.24,0.55,3.11,7.7,0.94,5.1,0.14,124.0
135.0,Whole Milk,63.0,5.85,1.68,3.51,1.35,0.88,5.74,0.27,86.0
136.0,Almond Milk,62.0,0.81,,8.49,3.91,0.94,5.3,0.63,
137.0,Coconut Milk,41.0,1.77,2.41,11.53,9.65,0.31,6.64,,141.0
138.0,2% Milk,,1.3,,9.07,,1.0,1.27,0.88,129.0
139.0,Whole Milk,53.0,4.56,4.38,3.36,3.96,0.87,6.57,0.9,125.0
,Soy Milk,67.0,4.13,2.09,1.39,2.62,,6.14,0.56,121.0
141.0,Cashew Milk,,5.31,3.2,7.58,9.03,0.23,6.95,0.17,92.0
142.0,,73.0,6.52,3.77,6.3,3.58,,,0.99,116.0
143.0,2% Milk,65.0,3.31,2.0,,,0.14,2.04,0.15,114.0
144.0,Cashew Milk,44.0,6.72,0.33,5.17,8.31,0.44,7.43,0.99,109.0
145.0,2% Milk,51.0,,4.78,,4.82,0.05,1.57,0.27,91.0
146.0,Skim Milk,48.0,7.34,1.6,10.11,6.58,0.7,2.94,0.14,
147.0,Soy Milk,73.0,6.47,2.27,5.05,8.48,,3.28,,
148.0,2% Milk,63.0,6.55,0.58,2.48,5.9,0.41,3.87,0.14,129.0
149.0,2% Milk,,7.05,4.18,11.72,9.51,0.55,7.33,0.03,
150.0,Whole Milk,48.0,3.59,3.79,1.86,9.78,0.04,6.38,,146.0
151.0,Cashew Milk,73.0,4.73,1.67,3.03,8.31,0.26,4.18,0.83,99.0
152.0,2% Milk,43.0,6.74,4.36,10.73,,,6.34,0.09,88.0
153.0,Oat Milk,80.0,6.49,4.16,6.73,6.82,0.25,2.7,0.62,149.0
154.0,,55.0,7.12,1.95,2.08,,0.03,1.22,0.71,104.0
155.0,Skim Milk,62.0,6.59,4.25,,0.86,0.15,2.11,,82.0
156.0,2% Milk,72.0,2.28,0.37,,9.4,0.83,4.65,0.43,117.0
157.0,Soy Milk,51.0,7.58,3.74,11.31,7.22,0.3,1.52,0.76,130.0
158.0,,74.0,7.54,3.63,,5.62,0.81,6.29,0.19,119.0
159.0,Oat Milk,44.0,3.95,1.8,8.41,3.13,0.76,1.61,0.78,83.0
160.0,Coconut Milk,,0.8,4.86,9.66,2.76,0.01,2.09,0.05,136.0
,Skim Milk,78.0,6.41,2.37,,3.05,0.75,7.07,,101.0
162.0,Whole Milk,73.0,5.38,2.16,10.29,0.95,0.52,6.59,0.57,119.0
163.0,,73.0,6.61,3.04,7.15,2.24,0.8,6.21,0.54,138.0
,Almond Milk,74.0,2.98,2.38,2.96,8.98,0.29,3.41,0.16,100.0
165.0,Oat Milk,64.0,1.18,,11.35,9.61,,5.75,,124.0
166.0,Soy Milk,50.0,2.11,1.83,9.53,9.2,0.89,6.95,0.91,100.0
167.0,Coconut Milk,57.0,6.22,2.1,10.47,7.4,0.36,6.8,0.13,148.0
168.0,Skim Milk,78.0,3.76,0.81,8.15,7.29,0.75,7.44,0.92,143.0
,Whole Milk,50.0,5.38,0.95,6.38,,0.24,6.4,0.34,148.0
170.0,Soy Milk,,6.37,,7.02,5.22,0.49,3.23,0.12,111.0
171.0,Almond Milk,53.0,1.99,,,3.56,0.76,2.99,0.48,102.0
,Cashew Milk,56.0,7.02,1.74,5.61,9.8,0.5,2.37,0.77,
173.0,Soy Milk,70.0,,4.49,7.23,1.9,0.75,1.43,0.17,123.0
174.0,2% Milk,67.0,1.81,4.56,1.04,3.1,0.49,,0.15,84.0
175.0,Soy Milk,63.0,0.85,2.05,2.42,9.12,0.81,1.17,0.89,144.0
176.0,Coconut Milk,44.0,4.8,2.67,8.62,1.39,0.13,3.42,0.99,130.0
177.0,Cashew Milk,63.0,1.28,4.65,11.02,2.23,0.95,6.36,0.98,145.0
178.0,Oat Milk,43.0,2.23,4.26,3.91,6.28,0.66,5.08,0.12,133.0
179.0,Oat Milk,76.0,4.26,3.36,9.96,5.55,0.27,4.67,0.34,103.0
180.0,Almond Milk,80.0,3.82,2.01,4.05,8.56,,7.8,0.24,115.0
181.0,Coconut Milk,63.0,5.13,3.04,8.58,9.37,0.25,4.05,,106.0
182.0,Cashew Milk,69.0,6.25,4.85,9.02,5.38,0.71,6.73,0.07,92.0
183.0,Coconut Milk,51.0,7.6,3.98,8.07,6.65,0.64,6.24,0.76,85.0
,2% Milk,62.0,2.17,0.18,5.41,1.57,0.45,2.04,0.49,92.0
185.0,2% Milk,75.0,2.33,1.15,3.21,9.57,0.78,3.98,0.85,93.0
186.0,Cashew Milk,63.0,3.14,2.01,4.97,4.41,0.29,7.23,0.5,110.0
187.0,2% Milk,59.0,3.56,0.24,7.49,8.35,0.73,7.92,0.58,92.0
188.0,,50.0,5.63,,3.56,8.82,0.44,5.56,0.38,133.0
,Soy Milk,49.0,6.28,1.03,2.4,4.03,,4.94,0.55,96.0
190.0,2% Milk,42.0,4.61,1.69,5.33,2.39,0.51,5.88,0.71,127.0
191.0,Oat Milk,64.0,2.4,3.73,6.3,1.48,0.25,5.18,0.13,130.0
192.0,Whole Milk,52.0,5.84,3.48,6.12,,0.08,5.39,0.62,127.0
193.0,,75.0,1.38,0.46,1.61,1.41,0.9,7.03,0.05,89.0
194.0,2% Milk,70.0,,2.72,1.68,,,6.6,0.74,149.0
,Skim Milk,56.0,3.16,1.91,3.8,3.33,0.41,7.2,0.34,146.0
196.0,,60.0,6.5,0.69,7.8,9.95,0.06,3.14,,105.0
197.0,Soy Milk,58.0,4.6,0.62,2.17,2.96,0.49,2.15,0.33,
198.0,2% Milk,60.0,7.5,0.96,6.79,4.1,0.83,6.32,0.06,144.0
199.0,Oat Milk,63.0,,2.69,9.47,,0.51,7.01,0.93,143.0
200.0,Oat Milk,43.0,6.51,,6.12,3.81,0.89,1.25,0.52,138.0
201.0,Skim Milk,76.0,3.55,2.71,6.63,4.17,0.13,6.84,0.29,138.0
,Skim Milk,77.0,3.02,2.82,7.38,5.59,0.35,6.88,0.24,92.0
,Almond Milk,76.0,4.18,,3.97,1.25,0.1,4.84,0.89,120.0
204.0,2% Milk,72.0,6.98,,4.26,8.36,0.49,6.16,0.02,111.0
205.0,Cashew Milk,68.0,4.67,1.48,6.38,4.15,0.65,5.93,0.71,97.0
206.0,Whole Milk,46.0,5.49,0.35,5.12,7.89,0.85,5.82,0.54,133.0
207.0,Whole Milk,53.0,5.6,1.84,5.69,3.15,0.7,2.74,0.54,131.0
,Soy Milk,53.0,,1.02,3.39,1.27,0.41,4.11,0.91,136.0
209.0,,45.0,,1.15,3.57,5.5,0.26,2.97,,146.0
210.0,Almond Milk,70.0,1.54,0.73,9.8,8.21,0.39,3.01,0.97,102.0
211.0,Skim Milk,54.0,1.67,1.21,5.25,2.39,0.31,6.6,0.75,91.0
212.0,Soy Milk,43.0,,2.63,2.34,,0.67,7.5,,145.0
213.0,Cashew Milk,74.0,5.89,,11.35,3.13,0.63,2.35,0.94,144.0
214.0,Skim Milk,58.0,7.42,1.32,8.05,7.25,0.85,4.97,0.32,128.0
215.0,Skim Milk,77.0,7.85,2.18,9.68,3.29,0.86,7.3,0.36,138.0
216.0,Whole Milk,62.0,,1.7,9.84,8.53,0.61,1.66,0.84,88.0
217.0,Oat Milk,62.0,1.57,4.88,,0.6,0.41,1.87,0.81,148.0
218.0,Soy Milk,,,,5.72,6.09,0.33,1.14,0.14,105.0
219.0,Skim Milk,,5.78,4.17,4.03,2.75,0.55,7.87,0.28,133.0
220.0,,,2.72,2.1,11.95,5.85,0.6,3.23,0.35,99.0
221.0,Coconut Milk,48.0,,3.73,8.55,5.96,0.77,3.36,0.31,113.0
222.0,Whole Milk,69.0,4.61,4.17,3.18,9.14,0.28,2.37,0.14,97.0
223.0,Skim Milk,48.0,1.77,2.28,1.69,8.32,0.19,1.33,0.8,111.0
224.0,Coconut Milk,54.0,,2.49,9.56,8.36,0.29,7.57,0.43,
225.0,Coconut Milk,78.0,4.27,1.16,4.83,6.82,0.5,2.61,0.05,125.0
226.0,Soy Milk,45.0,4.0,2.24,5.42,8.68,0.02,5.17,0.19,87.0
227.0,2% Milk,51.0,5.62,3.86,3.56,0.8,0.82,6.88,0.37,
228.0,Coconut Milk,70.0,3.97,,2.2,3.33,,5.28,0.8,
229.0,Oat Milk,,5.6,0.48,8.31,2.11,0.72,5.08,0.04,98.0
230.0,Whole Milk,45.0,2.07,,5.56,3.25,0.94,6.38,0.5,119.0
231.0,Soy Milk,69.0,4.35,2.43,1.29,8.26,0.9,3.26,0.65,80.0
232.0,2% Milk,57.0,7.07,2.94,5.22,9.46,0.69,,0.75,
233.0,Skim Milk,59.0,4.36,3.22,1.15,9.79,0.47,,0.18,112.0
234.0,,79.0,6.17,2.51,5.39,9.23,0.74,5.77,0.44,133.0
235.0,Whole Milk,75.0,6.82,4.08,8.37,7.23,0.08,3.81,0.72,103.0
236.0,Oat Milk,59.0,6.8,4.92,4.3,5.33,0.19,,0.23,82.0
237.0,Skim Milk,,4.29,1.68,,3.09,0.46,6.43,0.01,106.0
238.0,2% Milk,61.0,4.06,3.39,2.05,7.75,,5.0,0.15,126.0
239.0,Coconut Milk,62.0,,3.05,4.62,9.58,0.26,5.56,0.75,113.0
240.0,Whole Milk,,7.87,0.88,4.42,4.23,0.21,5.55,,142.0
241.0,Oat Milk,68.0,7.79,4.68,6.95,2.48,0.61,2.46,0.85,101.0
242.0,Oat Milk,56.0,1.76,4.17,10.65,6.28,0.33,7.27,0.49,143.0
243.0,Skim Milk,61.0,3.48,3.53,7.32,6.34,0.34,1.19,0.01,149.0
244.0,Oat Milk,52.0,2.92,1.65,2.98,1.58,0.23,1.94,,136.0
245.0,Soy Milk,58.0,4.09,3.52,7.81,8.87,0.39,3.46,,129.0
246.0,Oat Milk,79.0,7.1,,9.68,5.74,0.68,3.75,0.77,102.0
247.0,Almond Milk,49.0,2.74,3.55,5.6,3.14,0.06,1.51,0.33,137.0
248.0,2% Milk,,0.86,1.65,3.58,1.81,0.7,,0.98,123.0
249.0,,53.0,7.82,,4.78,8.77,0.79,7.76,0.2,119.0
,Skim Milk,67.0,6.1,4.54,7.32,3.23,0.77,3.33,0.37,103.0
251.0,2% Milk,65.0,3.16,0.31,5.79,6.03,,3.33,0.88,136.0
,Oat Milk,78.0,1.99,2.17,11.11,6.09,0.82,1.55,0.08,144.0
253.0,Almond Milk,60.0,5.93,0.56,4.05,3.94,0.37,7.72,0.2,80.0
254.0,2% Milk,68.0,2.28,4.89,5.17,6.09,0.28,5.8,0.25,126.0
255.0,,61.0,6.46,2.06,2.32,6.76,0.46,1.38,0.7,145.0
256.0,Whole Milk,62.0,2.9,3.35,3.43,1.91,0.59,7.67,0.82,105.0
257.0,Soy Milk,44.0,3.84,0.44,5.16,2.89,0.66,1.21,0.14,
258.0,Oat Milk,57.0,0.75,2.47,7.19,2.49,0.82,7.71,0.35,127.0
259.0,Coconut Milk,52.0,1.31,2.39,,2.79,0.77,6.4,0.41,106.0
,Cashew Milk,47.0,4.02,4.89,11.34,2.34,0.0,7.57,0.11,122.0
261.0,,,7.13,0.49,8.25,1.18,0.06,,0.54,107.0
262.0,Coconut Milk,68.0,,3.25,10.6,,0.45,4.61,0.73,99.0
263.0,2% Milk,53.0,1.71,2.38,8.44,9.28,0.24,4.44,0.09,137.0
,,67.0,3.02,2.84,,7.99,,5.74,0.78,
265.0,Cashew Milk,56.0,4.13,2.02,8.55,3.61,0.81,,0.55,108.0
266.0,,68.0,5.03,0.75,7.14,6.93,0.16,3.58,0.49,96.0
267.0,,45.0,7.89,3.08,10.78,5.05,0.39,5.28,0.3,143.0
268.0,Soy Milk,49.0,3.06,2.67,5.86,5.34,0.49,3.48,0.2,136.0
269.0,2% Milk,60.0,6.87,0.8,6.77,0.72,0.08,4.6,0.45,111.0
270.0,Soy Milk,77.0,2.55,4.28,11.24,3.42,0.12,4.05,0.49,138.0
271.0,Oat Milk,75.0,5.63,0.38,,,0.08,5.45,0.22,80.0
272.0,Skim Milk,67.0,4.11,0.98,5.78,0.51,0.35,7.86,,114.0
273.0,Coconut Milk,62.0,2.79,,9.24,6.48,0.56,1.56,0.36,126.0
274.0,Soy Milk,41.0,3.29,,6.05,5.34,0.1,3.59,0.25,132.0
275.0,Coconut Milk,52.0,3.87,3.26,10.85,6.92,0.77,,0.4,108.0
,Whole Milk,50.0,5.56,1.48,2.03,8.3,,3.41,0.69,93.0
,Soy Milk,54.0,6.59,1.08,9.97,2.97,0.54,2.05,0.39,93.0
278.0,2% Milk,79.0,7.0,0.24,9.81,8.37,0.68,6.01,0.39,115.0
279.0,Skim Milk,70.0,5.67,4.76,,5.93,0.69,2.26,0.55,
280.0,Oat Milk,46.0,,2.29,7.33,3.63,0.79,1.36,0.88,97.0
281.0,Soy Milk,70.0,6.52,1.21,3.77,,0.16,6.62,0.66,117.0
282.0,Almond Milk,59.0,1.21,4.37,4.47,4.85,0.03,7.68,0.7,99.0
283.0,Coconut Milk,42.0,0.82,4.27,,4.41,0.74,6.98,0.17,140.0
284.0,Almond Milk,48.0,1.4,0.49,,6.9,0.8,4.85,0.87,111.0
285.0,Whole Milk,60.0,0.59,1.95,9.64,8.93,0.3,5.08,0.83,146.0
286.0,Skim Milk,54.0,6.34,0.71,,3.55,0.78,7.63,0.55,127.0
287.0,Oat Milk,58.0,6.24,,8.53,7.54,0.35,1.21,0.47,90.0
288.0,Skim Milk,57.0,0.93,4.65,1.36,1.66,0.72,2.19,0.21,119.0
289.0,2% Milk,75.0,0.94,4.5,7.9,0.75,0.73,1.84,0.56,101.0
290.0,Oat Milk,47.0,3.67,4.16,11.66,5.28,0.96,1.32,0.88,98.0
291.0,Skim Milk,79.0,1.8,1.65,,7.11,0.25,7.76,0.67,146.0
292.0,Skim Milk,45.0,4.13,,2.82,3.87,0.41,2.18,0.28,140.0
293.0,Almond Milk,57.0,3.99,0.1,10.12,0.9,0.13,4.12,0.95,82.0
,Skim Milk,62.0,5.76,3.38,2.33,0.5,0.69,3.79,0.75,
295.0,Cashew Milk,56.0,1.14,3.29,9.53,4.5,0.69,7.5,0.54,146.0
296.0,Oat Milk,55.0,6.4,,12.0,1.37,0.51,6.85,0.89,94.0
297.0,Oat Milk,72.0,3.62,1.52,10.29,1.92,0.27,,0.61,112.0
298.0,Cashew Milk,67.0,4.36,4.41,6.39,2.79,0.28,5.1,0.67,130.0
299.0,Oat Milk,59.0,5.3,4.76,4.29,4.24,0.62,4.48,0.8,90.0
300.0,Skim Milk,,1.67,3.88,7.08,2.6,0.57,5.29,0.02,129.0
301.0,Oat Milk,55.0,5.38,3.49,9.12,0.95,0.23,4.88,0.07,88.0
302.0,2% Milk,71.0,5.88,4.13,4.06,7.0,0.65,2.61,,99.0
303.0,Oat Milk,66.0,7.71,,8.3,7.96,0.71,1.42,0.29,124.0
304.0,,65.0,5.03,0.11,8.62,4.32,0.35,4.09,0.46,107.0
305.0,Coconut Milk,56.0,1.58,1.38,1.56,0.95,0.56,7.61,0.31,106.0
306.0,Skim Milk,55.0,7.47,3.79,1.12,1.17,0.47,2.29,0.11,91.0
307.0,Whole Milk,,1.32,0.64,1.6,6.2,0.66,2.76,0.95,
308.0,Whole Milk,60.0,4.79,1.24,11.63,9.09,,3.39,0.82,143.0
309.0,Coconut Milk,45.0,4.44,1.78,4.04,9.04,0.28,1.09,0.15,150.0
310.0,Whole Milk,59.0,,,4.85,,,7.23,0.41,139.0
311.0,Almond Milk,62.0,,1.86,4.35,3.57,,7.61,0.89,105.0
312.0,Oat Milk,43.0,2.3,2.38,4.77,7.92,0.01,3.98,0.93,85.0
313.0,Oat Milk,69.0,5.97,3.8,6.18,,0.93,,0.5,141.0
314.0,Oat Milk,65.0,4.44,1.51,5.26,7.83,0.99,3.7,0.88,
315.0,Almond Milk,75.0,3.65,2.65,10.1,,0.46,7.95,0.61,123.0
