Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
82,2% Milk,67,3.23,2.62,2.1,7.99,0.6,7.24,0.45,85
83,Whole Milk,65,1.77,0.26,7.4,9.44,0.1,3.26,0.63,118
84,Cashew Milk,52,4.01,3.86,11.07,2.07,0.55,1.47,0.49,127
85,Almond Milk,59,4.6,3.34,2.18,9.89,0.98,7.21,0.27,98
86,Whole Milk,77,7.75,1.78,11.61,8.17,0.95,6.03,0.14,144
87,2% Milk,47,1.41,0.37,1.16,8.8,0.77,7.25,0.86,117
88,Whole Milk,78,1.79,1.5,5.15,4.97,0.73,6.54,0.93,128
89,2% Milk,74,7.69,3.86,6.15,9.13,0.12,5.49,0.31,115
90,Soy Milk,72,1.89,3.0,3.88,7.4,0.38,6.81,0.42,89
91,Skim Milk,58,5.67,2.78,4.34,4.65,0.85,7.56,0.49,121
92,Soy Milk,51,3.18,1.82,10.05,7.98,0.61,7.92,0.74,95
93,Almond Milk,64,3.97,2.79,3.6,9.89,0.95,7.73,0.31,138
94,Almond Milk,62,7.5,4.59,10.88,1.91,0.68,3.12,0.8,142
95,Skim Milk,54,4.82,3.51,11.59,2.36,0.53,1.4,0.07,88
96,Almond Milk,78,6.27,1.91,3.95,3.48,0.32,4.72,0.02,128
97,Coconut Milk,76,5.48,2.32,10.29,5.73,0.01,7.16,0.18,105
98,Cashew Milk,71,0.74,3.77,10.17,5.52,0.46,7.53,0.74,145
99,Whole Milk,53,2.54,0.59,5.76,7.93,0.42,1.27,0.61,148
100,Whole Milk,69,4.07,3.2,6.4,9.89,0.53,7.16,0.2,104
101,Skim Milk,52,1.5,2.29,11.52,3.18,0.94,6.45,0.86,85
102,Whole Milk,51,3.94,3.02,10.53,0.99,0.96,1.51,0.14,117
103,Skim Milk,56,5.17,2.04,4.58,7.63,0.19,5.74,0.19,118
104,2% Milk,43,7.44,0.24,5.46,1.85,0.56,4.56,0.62,126
105,Skim Milk,40,1.58,4.33,5.9,9.21,1.0,2.86,0.82,128
106,Skim Milk,45,2.43,4.53,10.64,6.31,0.31,1.65,0.84,83
107,Skim Milk,67,6.86,0.47,10.03,2.12,0.4,4.68,0.61,111
108,Almond Milk,56,7.79,4.24,1.67,7.73,0.02,5.45,0.02,89
109,Coconut Milk,67,2.62,1.1,2.11,3.7,0.36,3.45,0.4,143
110,Almond Milk,47,6.99,1.82,9.6,5.92,0.51,6.74,0.12,85
111,2% Milk,49,6.15,2.9,2.56,0.57,0.84,4.15,0.04,103
112,Coconut Milk,69,4.59,3.08,1.7,8.33,0.31,4.92,0.54,127
113,Skim Milk,78,6.78,2.55,9.84,3.02,0.41,4.12,0.41,139
114,2% Milk,43,1.69,2.7,3.47,2.91,0.69,1.32,0.04,119
115,Coconut Milk,75,2.95,2.56,7.19,1.13,0.23,1.12,0.82,137
116,2% Milk,65,7.28,2.64,8.0,0.97,0.23,6.8,0.92,98
117,Whole Milk,79,5.01,3.35,10.06,2.35,0.07,1.67,0.71,125
118,Soy Milk,53,4.32,2.78,6.7,4.98,0.04,4.33,0.38,94
119,Coconut Milk,66,6.03,2.82,6.52,6.09,0.46,1.59,0.03,99
120,2% Milk,64,0.58,3.12,5.43,3.71,0.14,6.17,0.75,95
121,Almond Milk,52,0.6,4.57,1.51,1.98,0.4,4.72,0.59,92
122,Cashew Milk,41,3.09,2.15,10.73,9.74,0.62,6.74,0.87,81
123,Coconut Milk,45,0.67,0.82,4.81,4.36,0.21,7.31,0.52,118
124,Soy Milk,44,1.25,0.54,8.86,5.79,0.08,2.28,0.74,84
125,Coconut Milk,62,5.23,2.04,1.54,8.5,0.72,6.86,0.25,101
126,Whole Milk,60,3.71,4.92,7.04,8.1,0.17,6.97,0.87,103
127,Oat Milk,52,3.58,1.2,9.02,2.02,0.96,6.92,0.96,148
128,Coconut Milk,77,6.63,4.7,9.37,8.6,0.1,1.06,0.52,133
129,Whole Milk,65,5.94,0.92,8.38,7.32,0.49,5.17,0.77,81
130,Cashew Milk,42,7.1,1.28,11.4,5.37,0.14,5.38,0.78,145
131,Soy Milk,40,0.99,3.25,2.94,2.14,0.03,2.56,0.35,103
132,Coconut Milk,57,3.0,4.72,10.31,9.27,0.7,1.83,0.05,128
133,Oat Milk,72,2.79,2.18,5.95,2.48,0.58,5.91,0.32,149
134,Oat Milk,50,7.82,2.92,3.02,4.66,0.16,7.6,0.64,106
135,Skim Milk,76,6.86,0.82,8.81,4.67,0.69,1.97,0.3,100
136,Cashew Milk,44,6.46,2.33,5.15,0.89,0.13,7.14,0.94,85
137,Soy Milk,70,7.39,0.48,10.36,9.49,0.93,4.95,0.53,136
138,Cashew Milk,74,0.75,4.16,8.11,6.06,0.01,1.51,0.09,98
139,2% Milk,50,6.26,4.95,10.99,9.88,0.32,5.99,0.14,101
140,Cashew Milk,66,3.33,2.6,9.07,1.92,0.12,5.16,0.47,114
141,2% Milk,78,0.62,3.68,1.17,9.46,0.96,4.47,0.45,115
142,2% Milk,71,6.18,3.39,8.4,9.65,0.7,3.89,0.14,143
143,Oat Milk,74,0.53,3.91,2.22,7.99,0.81,4.22,0.9,88
144,2% Milk,49,6.74,0.17,3.98,9.63,0.08,3.11,0.12,85
145,2% Milk,78,3.95,1.46,12.0,4.82,0.81,1.75,0.36,108
146,Soy Milk,54,4.3,4.96,6.58,6.07,0.33,2.71,0.45,97
147,Cashew Milk,56,4.75,1.49,9.8,7.94,0.23,3.53,0.46,149
148,Cashew Milk,48,5.17,0.55,5.59,1.57,0.71,7.38,0.65,91
149,Coconut Milk,70,4.19,2.36,9.61,6.66,0.06,5.35,0.49,147
150,Coconut Milk,56,5.6,1.74,9.02,4.09,0.09,5.47,0.25,89
151,Oat Milk,78,2.01,3.23,3.91,7.49,0.01,2.8,0.48,87
152,Soy Milk,73,6.31,4.36,3.94,7.32,0.71,1.11,0.77,117
153,Whole Milk,54,2.95,0.36,11.14,6.26,0.25,6.26,0.36,145
154,Cashew Milk,49,3.23,1.52,5.29,5.14,0.37,6.32,0.72,87
155,Skim Milk,44,3.51,4.8,2.27,9.49,0.43,4.36,0.74,114
156,2% Milk,64,1.54,2.73,2.04,8.7,0.97,5.49,0.61,118
157,Oat Milk,67,4.9,1.71,8.8,1.61,0.57,1.75,0.92,141
158,Almond Milk,79,2.74,3.86,2.37,7.3,0.54,6.99,0.89,113
159,Cashew Milk,73,6.62,2.63,1.81,6.31,0.83,4.94,0.13,150
160,Whole Milk,60,6.82,0.22,7.46,1.01,0.35,7.78,0.83,111
161,Almond Milk,44,3.15,0.74,7.16,2.19,0.58,6.31,0.68,116
162,Soy Milk,56,5.79,3.61,10.21,7.79,0.51,6.09,0.88,90
163,Cashew Milk,80,0.52,4.94,3.06,2.77,0.13,2.78,0.01,90
164,Cashew Milk,71,5.24,1.32,3.53,4.04,0.37,6.59,0.11,109
165,2% Milk,61,1.62,1.31,5.45,7.33,0.74,2.15,0.5,103
166,Cashew Milk,72,3.49,3.71,7.88,4.84,0.6,2.94,1.0,138
167,Soy Milk,53,7.91,3.27,5.59,8.48,0.04,1.32,0.56,80
168,Cashew Milk,40,6.17,0.47,7.96,0.84,0.58,1.01,0.24,131
169,Cashew Milk,74,5.25,3.11,4.27,8.65,0.0,3.87,0.2,92
170,Coconut Milk,73,5.5,0.21,1.18,3.77,0.42,6.52,0.62,140
171,Oat Milk,75,4.05,3.08,10.53,5.53,0.07,2.82,0.97,80
172,2% Milk,66,6.02,3.59,9.41,8.4,0.08,6.96,0.47,134
173,Whole Milk,71,7.44,3.36,10.59,5.53,0.33,7.99,0.15,130
174,Cashew Milk,42,5.65,0.16,1.17,2.51,0.45,7.72,0.13,89
175,2% Milk,58,2.8,1.56,2.87,2.4,0.09,3.52,0.91,101
176,Cashew Milk,66,6.75,4.93,10.43,7.84,0.27,2.44,0.79,102
177,Oat Milk,78,5.59,4.08,11.0,7.08,0.31,4.19,0.74,104
178,2% Milk,69,5.28,0.79,10.8,0.76,0.39,1.21,0.46,124
179,Oat Milk,41,3.05,4.7,9.79,5.23,0.5,4.72,0.75,113
180,Almond Milk,68,2.49,2.75,3.81,8.57,0.31,7.33,0.26,116
181,Skim Milk,59,7.57,2.89,5.69,5.32,0.25,5.39,0.65,122
182,Whole Milk,77,6.51,1.04,5.31,3.91,0.71,6.84,0.59,114
183,Almond Milk,53,5.53,4.83,1.55,6.31,0.84,5.12,0.47,95
184,Skim Milk,72,7.2,0.8,1.22,2.79,0.54,7.72,0.77,147
185,Oat Milk,67,5.79,0.91,5.06,1.55,0.4,4.84,0.71,141
186,Whole Milk,53,7.06,4.27,6.08,9.83,0.33,6.26,0.53,103
187,Oat Milk,43,5.99,0.26,4.14,1.51,0.34,2.93,0.41,146
188,Almond Milk,56,5.74,0.32,1.23,4.07,0.33,4.21,0.67,115
189,Soy Milk,68,1.37,0.27,7.74,3.99,0.05,1.11,0.96,135
190,Soy Milk,72,3.18,3.19,10.59,7.23,0.07,3.24,0.64,141
191,Coconut Milk,78,4.31,4.77,5.24,0.99,0.74,1.46,0.54,117
192,Almond Milk,52,6.02,2.94,6.82,1.91,0.77,5.2,0.22,84
193,Soy Milk,55,6.92,0.81,8.12,2.93,0.28,5.25,0.78,130
194,Skim Milk,48,7.51,2.86,8.48,0.61,0.45,5.66,0.29,131
195,Whole Milk,79,3.67,1.94,6.13,4.55,0.9,7.95,0.95,144
196,Whole Milk,70,7.96,4.28,1.27,8.7,0.75,4.72,0.66,92
197,Skim Milk,46,5.6,0.54,5.78,7.22,0.92,7.27,0.46,143
198,2% Milk,57,3.34,4.16,7.71,5.09,0.48,3.96,0.91,116
199,Cashew Milk,54,1.87,0.32,8.51,4.15,0.76,5.33,0.31,102
200,Oat Milk,41,2.3,1.89,9.74,9.54,0.25,2.39,0.42,111
201,Almond Milk,74,6.34,1.91,1.43,2.21,0.63,2.39,0.25,109
202,Skim Milk,53,5.29,1.71,10.56,9.6,0.21,2.1,0.05,129
203,Almond Milk,67,6.69,3.46,9.29,4.6,0.64,4.68,0.68,128
204,Cashew Milk,62,7.02,3.26,7.06,4.77,0.87,2.98,0.19,113
205,Whole Milk,77,5.44,2.33,1.44,8.7,0.1,6.88,0.52,122
206,Whole Milk,79,4.74,3.94,5.18,2.42,0.08,4.2,0.93,95
207,Skim Milk,72,6.58,1.82,2.52,4.9,0.67,2.24,0.02,110
208,Soy Milk,65,0.93,1.06,9.09,4.96,0.62,1.41,0.6,99
209,Soy Milk,48,0.8,3.28,2.85,1.36,0.66,6.12,0.22,100
210,Almond Milk,70,5.29,4.87,5.73,9.83,0.8,2.38,0.96,109
211,Whole Milk,61,4.22,0.62,7.43,0.67,0.93,1.77,0.16,111
212,Oat Milk,58,6.42,0.3,4.76,8.5,0.83,1.32,0.79,101
213,Skim Milk,56,3.84,4.29,4.9,2.01,0.44,6.21,0.38,139
214,Whole Milk,67,0.73,3.15,5.74,6.56,0.7,6.88,0.25,149
215,Oat Milk,69,1.0,2.39,6.65,7.65,0.53,1.01,0.16,107
216,Whole Milk,50,4.54,3.09,2.33,6.09,0.05,4.8,0.76,125
217,Soy Milk,47,3.73,3.07,2.68,3.07,0.4,2.42,0.95,137
218,Coconut Milk,41,4.87,3.44,10.42,5.11,0.98,7.46,0.15,92
219,Whole Milk,80,2.25,3.54,8.7,1.24,0.89,2.6,0.51,117
220,Skim Milk,79,3.54,1.86,7.57,8.51,0.81,2.43,0.25,89
221,Oat Milk,55,7.87,3.15,2.7,6.44,0.38,7.79,0.61,139
222,Oat Milk,69,2.27,0.62,4.93,3.53,0.67,4.67,0.82,94
223,Coconut Milk,49,7.53,0.94,10.77,2.91,0.25,7.15,0.2,98
224,Whole Milk,75,4.7,3.97,1.63,2.95,0.55,4.14,0.64,136
225,Soy Milk,57,3.3,4.24,1.7,0.56,0.08,7.15,0.68,110
226,Whole Milk,76,3.32,3.16,11.17,2.98,0.48,4.88,0.58,136
227,Soy Milk,43,7.66,1.77,7.27,6.19,0.25,5.84,0.94,111
228,2% Milk,67,7.18,2.06,5.31,0.6,0.47,2.73,1.0,103
229,2% Milk,49,4.73,1.63,7.68,9.88,0.43,1.65,0.97,117
230,Cashew Milk,66,1.35,4.86,6.14,2.86,0.14,2.29,0.94,107
231,2% Milk,40,7.78,1.01,9.48,8.16,0.47,4.11,0.66,125
232,2% Milk,70,3.76,3.93,11.58,5.32,0.98,7.26,0.3,82
233,Whole Milk,45,4.03,0.54,5.0,6.14,0.56,2.7,0.94,83
234,Whole Milk,65,1.56,2.04,5.94,4.02,0.26,7.4,0.25,94
235,Coconut Milk,76,6.4,4.69,4.28,7.73,0.66,7.33,0.11,134
236,Soy Milk,76,5.97,3.31,5.44,3.06,0.24,3.66,0.35,143
237,Cashew Milk,65,7.04,2.37,8.77,4.39,0.88,3.06,0.4,136
238,Oat Milk,67,2.71,1.62,11.98,9.87,0.37,5.99,0.68,140
239,2% Milk,65,7.83,0.95,11.87,5.95,0.08,5.11,0.01,106
240,Oat Milk,50,2.56,2.16,11.54,4.15,0.7,2.11,0.69,137
241,Whole Milk,80,6.21,0.71,1.63,6.84,0.3,5.12,0.19,103
242,Soy Milk,70,1.06,0.66,8.89,6.18,0.16,4.54,0.87,92
243,2% Milk,79,3.61,2.31,11.74,6.52,0.88,2.62,0.15,124
244,Coconut Milk,76,6.16,1.82,9.35,7.45,0.13,4.56,0.71,89
245,Whole Milk,69,2.93,1.69,10.49,1.87,0.45,4.83,0.06,125
246,Skim Milk,46,5.62,3.9,10.52,2.62,0.63,4.71,0.17,105
247,Almond Milk,44,6.7,4.54,5.24,9.38,0.89,6.71,0.96,128
248,Skim Milk,58,7.17,2.17,5.96,1.01,0.97,6.88,0.41,136
249,Cashew Milk,58,2.55,2.35,10.01,9.55,0.41,5.3,0.07,84
250,Almond Milk,42,7.73,3.11,6.09,6.38,0.67,7.68,0.29,147
251,Skim Milk,78,6.31,3.35,2.99,2.87,0.04,3.29,0.57,106
252,Skim Milk,76,5.89,2.83,6.82,6.95,0.89,3.5,0.1,103
253,Oat Milk,67,4.74,4.03,3.39,6.51,0.74,5.06,0.69,136
254,2% Milk,77,5.94,0.43,7.32,1.94,0.93,3.97,0.99,85
255,2% Milk,64,6.4,4.07,1.93,2.78,0.83,4.1,0.33,116
256,Almond Milk,77,0.84,2.32,2.72,2.82,0.34,1.65,0.03,144
257,2% Milk,51,7.58,3.96,8.26,5.3,0.6,7.99,0.05,136
258,Oat Milk,61,6.66,4.04,8.03,8.61,0.08,5.23,0.75,114
259,Coconut Milk,63,6.03,3.76,3.94,2.95,0.16,2.65,0.52,109
260,Oat Milk,72,3.02,1.71,10.66,9.98,0.33,2.62,0.32,113
261,Soy Milk,66,5.08,2.91,9.89,6.65,0.22,2.93,0.92,150
262,Cashew Milk,76,2.85,1.43,3.29,0.71,0.06,7.35,0.01,96
263,Cashew Milk,51,3.09,3.88,10.36,1.16,0.56,1.33,0.61,147
264,Cashew Milk,67,6.99,0.61,6.38,3.91,0.82,6.02,0.48,143
265,Coconut Milk,48,1.12,2.5,2.85,7.63,0.16,4.82,0.29,94
266,Coconut Milk,76,0.74,2.0,3.54,7.79,0.31,7.29,0.33,99
267,Almond Milk,73,2.91,3.18,9.87,7.12,0.93,2.96,0.24,128
268,Skim Milk,69,5.82,0.46,4.49,3.76,0.94,4.76,0.16,101
269,Almond Milk,77,3.3,3.62,7.57,8.33,0.55,1.17,0.7,101
270,Skim Milk,80,4.82,4.37,3.17,1.04,0.96,5.06,0.57,130
271,Almond Milk,46,3.25,4.24,3.23,1.43,0.46,6.69,0.03,118
272,Oat Milk,52,3.15,4.25,3.48,8.08,0.58,6.95,0.55,136
273,Whole Milk,69,0.52,3.12,3.82,2.37,0.2,7.09,0.8,135
274,Cashew Milk,48,1.77,4.55,9.93,1.79,0.44,7.43,0.14,107
275,Skim Milk,57,4.31,0.66,9.6,1.58,0.66,5.09,0.81,95
276,Coconut Milk,73,7.33,3.53,7.94,4.14,0.35,2.0,0.32,150
277,Cashew Milk,59,3.47,0.25,7.83,9.27,0.79,6.8,0.34,110
278,Almond Milk,74,1.5,0.35,1.78,8.32,0.66,5.8,0.22,142
279,2% Milk,50,3.24,4.04,4.92,8.19,0.1,1.08,0.69,95
280,2% Milk,73,6.06,2.06,10.33,8.13,1.0,3.98,0.04,135
281,Cashew Milk,72,4.7,0.14,5.71,1.98,0.92,6.08,0.79,110
282,2% Milk,80,6.15,1.58,4.83,9.64,0.73,6.44,0.52,130
283,Almond Milk,70,5.78,2.84,10.77,0.65,0.75,5.14,0.22,114
284,Almond Milk,71,4.63,4.09,6.21,1.64,0.4,2.34,0.26,114
285,Oat Milk,69,2.23,3.75,3.11,2.2,0.48,6.06,0.52,144
286,Oat Milk,69,6.07,4.52,1.04,4.35,0.96,5.36,0.18,140
287,2% Milk,78,5.76,3.99,10.86,1.92,0.42,1.17,0.65,138
288,Soy Milk,72,1.34,3.02,3.12,9.26,0.92,1.86,0.78,134
289,Skim Milk,60,6.4,0.93,10.5,7.71,0.81,3.56,0.1,84
290,Cashew Milk,63,3.34,1.76,4.76,5.55,0.65,7.7,0.63,85
291,Oat Milk,41,5.2,2.94,5.0,1.63,0.33,4.42,0.28,82
292,Almond Milk,68,0.81,3.81,3.51,2.08,0.06,2.27,0.71,96
293,Whole Milk,50,3.53,1.22,8.06,4.27,0.79,2.69,0.57,101
294,2% Milk,73,5.87,1.45,1.14,8.95,0.18,5.14,0.09,138
295,2% Milk,43,5.34,0.1,8.52,3.24,0.75,5.67,0.79,136
296,Coconut Milk,78,6.85,3.68,1.31,9.94,0.11,1.02,0.73,123
297,Skim Milk,77,2.78,2.52,1.16,9.31,0.18,5.13,0.7,110
298,Whole Milk,63,0.82,4.26,3.77,1.25,0.4,3.96,0.43,111
299,Soy Milk,43,4.73,2.49,11.25,0.95,0.46,1.95,0.03,101
300,Coconut Milk,80,7.43,1.46,1.76,4.31,0.31,5.01,0.88,104
301,Whole Milk,41,3.56,3.87,6.09,1.07,0.18,5.53,0.37,144
302,Coconut Milk,50,3.32,3.01,2.43,5.24,0.48,2.36,0.59,125
303,Skim Milk,59,5.56,2.19,8.26,8.48,0.36,3.38,0.64,127
304,Almond Milk,68,3.59,2.0,1.78,2.92,0.83,1.16,0.71,80
305,Cashew Milk,53,5.58,2.65,4.73,7.05,0.64,1.44,0.37,138
306,Cashew Milk,60,6.28,0.93,3.54,1.06,0.61,6.36,0.94,121
307,Coconut Milk,45,7.45,1.76,11.44,5.55,0.77,1.17,0.79,148
308,Coconut Milk,44,2.03,4.19,9.5,2.91,0.48,7.66,0.73,149
309,2% Milk,62,6.29,1.78,2.0,5.4,0.54,2.76,0.42,98
310,Cashew Milk,41,4.34,4.14,2.68,9.24,0.06,2.95,0.35,101
311,Coconut Milk,60,2.35,2.91,2.94,7.81,0.35,4.42,0.64,123
312,Whole Milk,79,4.71,0.16,2.17,8.7,0.76,2.93,0.37,86
313,Coconut Milk,53,5.39,4.62,1.08,9.6,0.77,4.48,0.48,85
314,Almond Milk,59,5.36,3.68,8.11,7.69,0.52,1.26,0.89,86
315,Cashew Milk,42,1.86,1.42,5.43,1.84,0.53,7.4,0.84,82
316,Skim Milk,63,5.47,1.48,4.89,0.61,1.0,3.0,1.0,81
317,Soy Milk,79,1.95,3.55,4.95,9.11,0.77,2.12,0.17,107
318,Oat Milk,47,7.83,3.31,9.17,3.8,0.88,6.98,0.42,118
319,Cashew Milk,60,5.96,2.17,7.13,4.47,0.85,4.28,0.52,141
320,2% Milk,55,3.65,4.61,9.56,1.22,0.91,1.1,0.54,139
321,2% Milk,75,4.86,4.64,1.04,8.77,0.25,3.11,0.82,99
322,Skim Milk,47,1.16,0.76,6.75,6.62,0.06,5.32,0.67,111
323,Soy Milk,59,0.85,0.81,9.82,7.84,0.32,6.57,0.35,106
324,Coconut Milk,52,3.26,0.14,12.0,4.7,0.01,3.53,0.83,92
325,Oat Milk,61,6.0,1.2,7.29,7.89,0.85,4.85,0.27,119
326,Oat Milk,57,5.6,3.34,7.1,3.46,0.97,6.24,0.1,135
327,Whole Milk,56,0.89,2.7,10.34,8.64,0.91,2.47,0.89,96
328,Oat Milk,77,7.02,3.97,2.86,0.99,0.51,7.57,0.83,101
329,Skim Milk,69,5.86,0.14,9.73,7.68,0.96,4.38,0.93,125
330,Soy Milk,42,5.81,2.96,7.65,5.55,0.28,7.9,0.74,116
331,Almond Milk,43,5.33,3.8,2.99,1.99,0.36,1.27,0.08,125
332,Soy Milk,70,7.8,4.91,7.9,7.29,0.67,3.57,0.27,86
333,Soy Milk,52,2.76,1.04,9.6,6.7,0.48,2.52,0.55,104
334,Skim Milk,76,2.14,2.86,8.46,7.93,0.77,4.76,0.21,122
335,Whole Milk,67,4.25,2.29,1.24,3.28,0.44,6.7,0.02,127
336,Soy Milk,44,5.73,4.61,4.45,9.11,0.13,4.75,0.36,83
