Id,Product Name,Energy (kcal),Fat Percentage (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
79,Soy Milk,70,6.48,2.14,11.23,4.49,0.52,1.51,0.37,146
80,Whole Milk,76,1.87,1.04,6.7,1.87,0.06,4.15,0.09,114
81,Soy Milk,77,5.95,3.11,10.94,2.15,0.28,7.46,0.47,119
82,Skim Milk,40,4.44,1.06,4.98,2.57,0.75,7.31,0.86,129
83,2% Milk,43,3.38,3.39,3.48,3.57,0.18,2.16,0.56,142
84,Whole Milk,48,3.22,4.67,5.42,4.88,0.85,7.08,0.35,119
85,Almond Milk,57,2.21,1.44,8.37,6.46,0.1,2.57,0.96,114
86,Coconut Milk,53,0.57,4.77,11.22,9.36,0.58,3.4,0.37,139
87,Skim Milk,51,7.86,4.36,11.24,7.18,0.76,7.89,0.48,121
88,Soy Milk,73,3.19,0.19,6.14,4.22,0.17,3.03,0.62,129
89,2% Milk,77,4.88,0.25,6.68,1.48,0.68,2.12,0.19,88
90,2% Milk,74,2.31,2.14,5.38,6.0,0.0,2.79,0.62,104
91,Soy Milk,54,4.85,2.7,4.77,2.65,0.51,2.37,0.97,125
92,Coconut Milk,63,3.88,0.6,9.04,4.12,0.75,1.28,0.1,123
93,Cashew Milk,79,2.94,4.29,11.76,5.15,0.62,2.51,0.49,121
94,2% Milk,77,5.68,4.09,7.57,9.73,0.47,7.09,0.23,107
95,Whole Milk,44,5.23,1.42,11.05,5.15,0.03,4.92,0.66,150
96,Skim Milk,50,2.26,3.92,2.94,3.89,0.92,4.18,0.54,117
97,Soy Milk,59,3.27,0.15,5.88,0.87,0.7,3.97,0.49,83
98,2% Milk,46,0.64,2.45,5.55,7.93,0.0,1.35,0.22,145
99,2% Milk,74,7.17,4.19,8.19,3.71,0.56,1.62,0.76,121
100,Oat Milk,43,3.35,2.23,9.79,3.5,0.59,4.05,0.0,83
101,Oat Milk,41,5.81,3.34,2.82,2.79,0.01,5.37,0.21,91
102,Cashew Milk,45,6.21,1.61,11.61,5.34,0.11,5.9,0.53,90
103,Coconut Milk,58,6.77,4.12,4.68,3.96,0.54,5.19,0.1,92
104,Cashew Milk,77,0.51,1.29,3.43,9.22,0.12,4.76,0.68,82
105,Cashew Milk,58,2.86,0.55,7.38,5.82,0.69,7.55,0.2,144
106,2% Milk,55,7.98,2.12,9.52,8.58,0.53,1.14,0.57,144
107,Whole Milk,67,3.24,3.02,2.58,9.06,0.25,7.6,0.7,123
108,Oat Milk,54,3.35,0.46,11.01,3.87,0.63,3.76,0.55,138
109,Whole Milk,74,6.73,4.38,9.56,2.42,0.22,4.66,0.7,139
110,Almond Milk,74,7.8,4.21,2.82,4.07,0.48,7.13,0.67,130
111,Skim Milk,58,2.91,1.06,9.51,7.39,0.64,4.38,0.09,89
112,Skim Milk,42,1.56,4.63,1.45,4.53,0.02,1.01,0.82,82
113,Soy Milk,54,7.24,0.46,11.1,2.0,0.39,2.3,0.57,87
114,Oat Milk,62,7.11,3.47,8.53,4.23,0.99,3.27,0.03,116
115,Almond Milk,71,2.85,1.09,3.0,5.62,0.98,5.33,0.27,80
116,Coconut Milk,62,1.27,3.47,1.44,9.28,0.08,6.67,0.84,119
117,Cashew Milk,68,3.23,1.22,9.21,1.22,0.73,7.14,0.17,95
118,Cashew Milk,61,3.27,3.77,5.47,3.83,0.4,4.25,0.75,110
119,2% Milk,40,7.03,3.83,8.41,8.2,0.98,4.61,0.07,117
120,Coconut Milk,42,7.21,3.23,10.36,4.95,0.79,5.58,0.74,135
121,Soy Milk,62,6.03,2.42,7.81,8.54,0.3,4.74,0.05,146
122,Skim Milk,78,6.94,1.46,11.94,0.58,0.94,5.48,0.66,95
123,2% Milk,62,1.55,2.6,4.17,7.46,0.68,2.1,0.12,106
124,Oat Milk,64,2.78,4.33,9.11,3.93,0.45,2.72,0.66,86
125,Skim Milk,45,0.72,0.42,11.59,5.88,0.68,5.1,0.22,85
126,Cashew Milk,41,3.64,1.74,10.35,6.76,0.94,1.85,0.65,110
127,Skim Milk,60,7.59,1.71,3.86,6.01,0.71,6.53,0.62,107
128,Oat Milk,76,6.21,2.89,5.65,0.67,0.51,6.12,0.99,86
129,Soy Milk,57,5.19,4.77,9.38,3.61,0.16,3.02,0.36,93
130,2% Milk,76,5.36,3.37,2.5,7.18,0.05,7.56,0.04,138
131,2% Milk,55,3.82,4.42,4.49,6.29,0.28,5.62,0.24,115
132,Cashew Milk,49,2.93,4.73,7.56,2.65,0.16,7.87,0.37,83
133,2% Milk,41,6.97,2.12,2.17,5.07,0.25,6.48,0.59,139
134,Skim Milk,53,6.14,0.61,11.84,5.37,0.72,6.79,0.34,134
135,Soy Milk,64,3.1,1.0,8.72,2.85,0.93,2.2,0.54,99
136,Almond Milk,59,5.36,0.59,4.42,2.02,0.24,5.56,0.96,131
137,Almond Milk,56,1.1,4.84,3.47,4.04,0.85,3.42,0.14,128
138,Coconut Milk,58,5.85,0.76,10.86,1.66,0.96,3.5,0.74,105
139,Coconut Milk,54,2.23,1.78,4.59,4.54,0.82,2.34,0.91,96
140,Cashew Milk,55,7.03,3.87,6.72,5.51,0.75,7.61,0.11,142
141,Skim Milk,69,3.76,1.75,3.92,5.19,0.01,5.08,0.36,101
142,2% Milk,57,4.05,4.3,4.16,5.57,0.56,2.62,0.59,114
143,Coconut Milk,63,6.3,3.61,5.74,9.74,0.36,7.89,0.65,82
144,Cashew Milk,57,0.67,3.79,6.63,4.99,0.56,1.18,0.12,144
145,Soy Milk,58,3.75,4.09,6.01,3.99,0.99,4.44,0.13,110
146,Skim Milk,62,7.15,3.52,10.74,5.08,0.11,3.38,0.9,89
147,Soy Milk,80,3.36,0.93,8.16,9.2,0.47,5.75,0.25,136
148,2% Milk,60,1.51,4.99,3.75,4.89,0.87,2.37,0.52,103
149,Cashew Milk,75,6.77,0.91,6.92,6.66,0.55,1.29,0.1,123
150,Oat Milk,48,3.89,0.35,8.61,4.65,0.85,1.58,0.03,121
151,Coconut Milk,44,2.15,3.98,7.16,5.59,0.32,2.19,0.87,128
152,Cashew Milk,55,3.83,1.69,9.74,6.46,0.19,4.49,0.61,138
153,Coconut Milk,46,4.01,0.66,3.76,3.58,0.59,7.46,0.68,120
154,Cashew Milk,80,7.08,2.9,4.65,3.72,0.35,1.15,0.73,94
155,2% Milk,47,6.01,4.51,11.59,9.35,0.33,7.01,0.22,91
156,Soy Milk,67,6.27,4.94,1.82,7.22,0.34,6.36,0.47,108
157,Almond Milk,43,5.54,2.3,10.82,3.4,1.0,3.42,0.29,142
158,Almond Milk,52,7.41,2.46,9.88,7.63,0.14,1.46,0.41,147
159,Soy Milk,70,6.81,2.5,1.02,7.8,0.58,1.18,0.51,80
160,2% Milk,43,5.88,2.34,6.98,8.29,0.98,3.51,0.83,129
161,Whole Milk,67,1.63,0.42,10.22,4.83,0.62,7.63,0.59,105
162,Skim Milk,53,7.43,1.54,6.22,8.87,0.35,3.34,0.84,139
163,2% Milk,61,6.62,3.99,4.54,4.6,0.2,2.1,0.94,149
164,Oat Milk,51,4.01,0.69,9.05,2.23,0.42,2.28,0.24,125
165,Coconut Milk,44,5.05,2.49,9.69,6.26,0.11,1.9,0.35,137
166,Almond Milk,80,2.42,2.0,2.03,4.01,0.08,1.09,0.91,89
167,Cashew Milk,45,6.09,0.3,8.05,1.2,0.81,2.44,0.37,137
168,Almond Milk,40,1.92,4.88,3.23,8.38,0.16,1.05,0.76,90
169,Soy Milk,78,0.8,4.3,1.8,6.41,0.37,5.93,0.0,138
170,Skim Milk,46,5.58,3.88,2.13,3.63,0.06,7.93,0.0,100
171,Whole Milk,72,2.66,1.52,5.69,1.64,0.94,3.09,0.02,138
172,Coconut Milk,60,5.36,2.31,1.34,7.79,0.97,2.95,0.01,143
173,Soy Milk,63,2.85,4.48,11.72,2.91,0.53,7.74,0.94,130
174,Coconut Milk,68,1.66,2.58,3.67,7.59,0.98,5.26,0.56,128
175,Oat Milk,74,1.94,1.8,2.54,3.43,0.8,3.55,0.29,96
176,Soy Milk,48,3.08,2.58,10.32,6.22,0.24,6.94,0.48,90
177,Skim Milk,78,5.5,0.45,3.79,5.4,0.95,1.68,0.11,93
178,Coconut Milk,54,6.98,2.03,7.63,2.14,0.87,4.92,0.79,85
179,Coconut Milk,60,5.15,0.9,9.44,6.89,0.62,1.04,0.03,135
180,Whole Milk,76,6.54,4.74,8.07,2.97,0.98,1.75,0.62,91
181,Cashew Milk,47,6.19,1.37,7.18,9.75,0.7,6.8,0.71,93
182,Cashew Milk,61,3.1,0.3,8.68,9.87,0.81,1.71,0.64,134
183,Soy Milk,41,1.47,3.31,8.75,8.29,0.85,3.58,0.39,82
184,2% Milk,42,7.25,1.72,7.04,8.56,0.83,7.77,0.38,91
185,Almond Milk,67,1.66,0.75,2.48,7.11,0.39,1.29,0.09,135
186,Cashew Milk,59,1.37,3.94,7.71,0.5,0.11,5.01,0.37,90
187,Almond Milk,79,5.49,3.32,7.09,4.06,0.38,4.99,0.79,144
188,Soy Milk,61,7.19,1.61,8.75,9.08,0.55,7.45,0.09,93
189,Almond Milk,76,2.95,0.67,10.71,0.8,0.47,2.92,0.2,85
190,Skim Milk,56,0.68,3.01,3.5,7.62,0.98,4.87,0.25,131
191,2% Milk,74,1.32,1.98,5.59,6.57,0.54,3.43,0.9,145
192,Almond Milk,68,0.82,4.42,10.55,3.75,0.41,1.35,0.62,108
193,Skim Milk,64,0.63,1.44,3.41,2.64,0.08,1.32,0.31,128
194,Cashew Milk,71,4.01,0.88,6.83,2.99,0.82,3.89,0.49,91
195,2% Milk,52,2.35,1.41,4.59,2.7,0.49,4.5,0.99,115
196,Oat Milk,44,1.23,0.83,10.4,8.61,0.45,4.66,0.64,121
197,2% Milk,45,4.9,0.75,7.32,9.37,0.97,2.31,0.74,94
198,Oat Milk,47,5.58,2.41,8.13,1.2,0.1,6.26,0.66,83
199,Cashew Milk,76,3.24,1.75,6.01,4.99,0.14,1.73,0.17,145
200,Coconut Milk,68,4.2,0.26,8.67,4.57,0.25,3.75,0.86,110
201,Coconut Milk,68,0.81,1.33,1.63,4.13,0.85,3.72,0.17,129
202,Soy Milk,52,2.23,3.0,9.47,7.48,0.83,3.15,0.28,145
203,Soy Milk,69,5.07,0.67,5.38,7.77,0.4,4.83,0.19,107
204,Skim Milk,55,1.87,3.84,9.4,0.55,0.09,3.12,0.97,113
205,Almond Milk,54,3.49,4.96,11.9,2.33,0.05,4.66,0.47,112
206,Soy Milk,77,3.72,1.97,10.95,8.05,0.05,3.89,0.68,108
207,Whole Milk,62,7.62,4.74,4.63,9.55,0.38,7.75,0.18,106
208,Coconut Milk,64,2.6,3.13,7.74,3.16,0.54,2.12,0.82,106
209,Cashew Milk,46,4.45,4.68,6.54,2.71,0.31,2.22,0.85,108
210,Soy Milk,55,3.37,1.49,11.54,7.4,0.96,7.5,0.72,109
211,Cashew Milk,42,6.84,0.9,2.94,1.61,0.82,2.01,0.23,141
212,Soy Milk,44,7.5,1.07,6.55,1.43,0.22,1.89,0.43,121
213,Skim Milk,59,5.98,0.13,5.63,4.48,0.6,3.63,0.52,101
214,Soy Milk,52,6.91,1.05,11.01,7.93,0.94,7.86,0.35,81
215,Skim Milk,79,6.21,2.27,7.14,3.1,0.62,6.4,0.94,100
216,2% Milk,40,5.94,2.64,3.44,4.35,0.96,6.39,0.02,81
217,Skim Milk,68,1.42,0.2,8.41,1.77,0.71,2.9,0.38,80
218,Whole Milk,52,4.8,0.79,1.45,1.2,0.21,7.05,0.56,131
219,Oat Milk,70,7.65,4.48,2.54,4.91,0.49,5.01,0.67,142
220,2% Milk,48,4.27,2.66,6.6,3.39,0.79,7.15,0.37,111
221,Soy Milk,69,2.96,4.45,5.4,5.34,0.43,3.51,0.5,86
222,Coconut Milk,44,4.86,4.37,10.61,7.59,0.35,4.46,0.48,115
223,Cashew Milk,45,0.87,2.45,5.71,6.89,0.06,4.97,0.25,107
224,Soy Milk,48,1.78,0.2,5.78,1.84,0.5,2.04,0.39,128
225,Coconut Milk,70,4.32,3.35,5.1,4.56,0.06,6.12,0.07,90
226,Coconut Milk,54,2.31,2.76,8.66,9.24,0.59,5.73,0.02,141
227,Almond Milk,53,1.25,0.99,9.23,7.33,0.12,3.28,0.53,108
228,Coconut Milk,80,2.69,2.62,5.62,5.66,0.57,7.94,0.71,142
229,Almond Milk,74,1.43,0.33,3.81,7.46,0.05,3.35,0.83,98
230,Skim Milk,76,2.08,2.93,4.11,0.68,0.17,5.13,0.66,123
231,Cashew Milk,54,4.88,4.7,10.58,3.27,0.06,4.07,0.0,133
232,Oat Milk,72,4.49,4.46,1.14,9.72,0.12,2.43,0.06,96
233,Skim Milk,68,5.94,1.22,9.99,8.32,0.45,6.12,0.05,135
234,Oat Milk,48,3.99,2.47,2.99,8.2,0.83,1.28,0.1,134
235,Skim Milk,77,2.31,3.06,11.56,6.14,0.77,2.45,0.62,129
236,Oat Milk,49,1.6,0.99,6.8,8.12,0.74,4.52,0.19,99
237,Soy Milk,66,2.19,3.32,8.51,7.61,0.34,4.8,0.79,104
238,2% Milk,76,5.89,4.25,6.88,9.22,0.74,1.83,0.75,110
239,Whole Milk,62,7.18,2.41,5.47,9.88,0.72,5.55,0.0,101
240,Whole Milk,75,1.18,2.12,3.38,3.59,0.47,3.5,0.43,143
241,Whole Milk,42,6.18,4.24,4.29,4.33,0.17,5.36,0.97,133
242,Whole Milk,55,3.71,4.81,6.48,0.73,0.91,4.51,0.96,130
243,Cashew Milk,58,4.62,2.48,8.9,2.47,0.42,4.08,0.6,114
244,Coconut Milk,60,4.19,1.62,2.55,0.66,0.31,1.01,0.02,86
245,Coconut Milk,77,0.98,0.15,1.44,5.38,0.62,7.19,0.04,83
246,Cashew Milk,52,3.41,0.81,1.8,8.58,0.79,4.92,0.53,144
247,Almond Milk,40,6.27,2.15,6.83,7.12,0.94,1.28,0.61,91
248,Cashew Milk,54,6.7,0.16,4.11,4.8,0.89,2.72,0.86,130
249,Almond Milk,57,5.04,1.73,10.5,3.42,0.03,1.22,0.91,126
250,Soy Milk,51,7.84,4.47,8.98,6.88,0.96,2.9,0.97,85
251,Almond Milk,59,6.69,1.25,11.03,8.59,0.81,5.55,0.77,111
252,Skim Milk,40,5.35,0.19,1.55,9.58,0.47,4.44,0.4,149
253,2% Milk,79,1.92,2.89,10.57,6.08,0.04,3.18,0.81,104
254,Almond Milk,69,3.73,4.7,1.78,3.61,0.1,5.53,0.1,133
255,Skim Milk,79,3.02,0.86,10.6,3.91,0.01,1.22,0.23,123
256,Coconut Milk,62,1.22,1.09,11.82,2.98,0.8,6.0,0.95,139
257,Coconut Milk,48,1.12,1.5,2.57,9.83,0.01,2.08,0.31,104
258,Soy Milk,72,6.33,0.73,8.93,3.21,0.84,4.66,0.5,150
259,Skim Milk,67,3.99,3.31,6.62,4.53,0.03,2.71,0.11,99
260,Oat Milk,70,3.73,0.44,7.46,5.22,0.22,1.58,0.73,104
261,Cashew Milk,60,4.2,2.63,3.96,1.09,0.98,2.89,0.74,116
262,Skim Milk,48,2.73,1.28,11.13,9.09,0.77,1.71,0.92,137
263,Skim Milk,76,1.4,4.97,9.15,7.73,0.75,6.03,0.59,127
264,Skim Milk,62,4.7,3.89,11.89,7.96,0.36,6.93,0.99,93
265,Skim Milk,74,7.77,0.9,6.98,9.94,0.69,3.06,0.15,102
266,Skim Milk,46,1.8,1.81,9.02,6.1,0.45,7.85,0.79,117
267,Cashew Milk,61,2.56,2.73,2.55,3.96,0.31,7.52,0.56,100
268,2% Milk,47,3.01,0.74,3.71,2.07,0.15,3.95,0.58,150
269,Oat Milk,49,6.55,0.31,4.23,8.25,0.85,7.35,0.78,109
270,Coconut Milk,75,6.47,3.21,3.67,2.04,0.2,4.78,0.47,125
271,Whole Milk,66,5.09,4.26,3.93,8.37,0.78,7.2,0.2,104
272,Almond Milk,68,4.94,1.15,7.74,9.64,0.11,4.76,0.01,105
273,Cashew Milk,70,7.2,3.05,2.87,4.55,0.17,2.52,0.43,121
274,Coconut Milk,47,4.02,1.68,6.41,8.29,1.0,5.8,0.4,141
275,Almond Milk,74,3.41,3.07,1.56,0.63,0.17,6.32,0.75,140
276,Almond Milk,69,1.28,3.79,5.83,5.47,0.99,4.43,0.97,88
277,Cashew Milk,45,5.67,2.22,9.7,0.82,0.93,3.79,0.26,91
278,2% Milk,45,6.42,4.54,4.89,1.23,0.11,1.61,0.73,128
279,Cashew Milk,58,2.11,2.99,9.42,0.8,0.13,7.28,0.75,110
280,Cashew Milk,69,4.29,1.77,7.44,8.88,0.14,3.94,0.61,80
281,Soy Milk,43,5.44,2.23,10.39,5.29,0.0,6.97,0.05,110
282,Coconut Milk,60,0.59,0.34,11.6,8.07,0.2,1.99,0.87,88
283,Coconut Milk,49,6.97,1.85,3.9,2.94,0.14,7.26,0.67,146
284,Soy Milk,70,5.81,1.14,3.04,0.68,0.14,4.87,0.61,99
285,Soy Milk,50,5.16,0.44,1.45,8.06,0.13,6.17,0.47,142
286,Oat Milk,47,1.4,0.26,4.21,5.77,0.71,3.09,0.99,115
287,Whole Milk,77,6.87,1.79,8.75,2.11,0.58,3.09,0.19,91
288,Oat Milk,51,6.51,3.16,11.19,2.68,0.34,7.34,0.59,108
289,2% Milk,70,3.35,3.05,1.18,1.38,0.93,1.11,0.38,105
290,2% Milk,70,0.77,4.83,8.52,2.18,0.7,6.57,0.99,146
291,2% Milk,64,6.24,2.68,2.77,2.15,0.03,1.98,0.04,129
292,Whole Milk,67,2.24,0.8,2.43,7.79,0.17,7.35,0.3,88
293,Whole Milk,45,2.13,2.17,6.99,0.64,0.13,7.4,0.72,83
294,Cashew Milk,77,2.34,1.15,5.69,5.96,0.22,5.67,0.21,96
295,Cashew Milk,72,3.31,2.78,1.17,9.64,0.87,1.4,0.2,150
296,Cashew Milk,71,1.18,3.44,2.97,5.44,0.09,4.55,0.21,141
297,2% Milk,59,5.42,3.72,2.64,9.21,0.79,4.72,0.2,107
298,Whole Milk,54,3.16,1.96,9.54,3.03,0.74,7.57,0.05,110
299,Cashew Milk,72,1.67,0.78,6.32,4.92,0.88,1.86,0.37,116
300,Oat Milk,51,2.92,0.48,1.27,5.82,0.66,7.5,0.27,103
301,Almond Milk,46,2.06,2.21,1.05,1.0,0.57,7.97,0.51,149
302,Skim Milk,70,3.71,3.68,8.28,2.17,0.16,2.32,0.74,139
303,Cashew Milk,75,5.19,3.21,10.21,7.39,0.71,1.83,0.04,129
304,Soy Milk,73,1.0,0.4,11.95,6.13,0.42,1.72,0.36,110
305,Whole Milk,42,1.83,1.29,8.59,1.1,0.1,4.27,0.94,100
306,Whole Milk,68,7.36,2.93,9.13,3.31,0.24,5.8,0.1,104
307,Skim Milk,59,3.98,3.75,6.32,1.81,0.69,2.22,0.96,109
308,Whole Milk,62,7.77,2.43,10.07,9.35,0.43,7.89,0.65,104
309,Coconut Milk,60,5.84,0.46,8.12,1.15,0.56,7.3,0.67,141
310,Skim Milk,54,4.15,3.58,8.74,7.65,0.48,5.63,0.25,144
311,Cashew Milk,44,7.28,1.31,4.85,6.85,0.12,5.73,0.05,128
312,2% Milk,49,3.58,3.89,6.87,0.67,0.66,7.71,0.01,80
313,Skim Milk,76,0.54,0.3,3.83,5.52,0.19,5.68,0.59,94
314,Whole Milk,74,4.22,0.56,10.36,5.8,0.86,3.5,0.16,88
315,Almond Milk,43,0.64,0.11,2.56,3.49,0.86,4.48,0.11,119
316,Oat Milk,50,4.78,3.99,3.39,6.83,0.23,1.22,0.5,112
317,Whole Milk,50,3.32,2.73,1.32,2.9,0.82,1.87,0.73,119
318,Coconut Milk,63,4.74,2.52,6.52,3.68,0.89,4.06,0.67,98
319,Skim Milk,51,3.37,2.89,8.15,6.52,0.57,7.19,0.95,115
320,Almond Milk,46,1.12,4.94,6.06,6.51,0.26,1.83,0.82,138
321,Cashew Milk,54,4.2,2.47,2.63,7.61,0.54,7.54,0.73,145
322,Coconut Milk,72,0.95,4.06,3.79,5.58,0.16,7.2,0.19,107
323,Coconut Milk,55,3.77,1.72,3.14,2.46,0.21,3.56,0.05,109
324,Almond Milk,58,6.0,3.8,4.66,3.24,0.74,4.89,0.03,97
325,Oat Milk,50,7.49,0.42,3.93,8.44,0.68,3.05,0.47,81
326,Whole Milk,56,7.49,0.83,6.4,6.46,0.93,1.47,0.78,101
327,Coconut Milk,51,0.93,2.25,10.46,7.2,0.32,2.7,0.87,115
328,2% Milk,52,1.43,0.8,10.4,1.1,0.56,6.94,0.12,122
329,Cashew Milk,72,1.73,3.46,9.41,8.61,0.99,7.35,0.04,137
330,Coconut Milk,64,3.11,0.83,5.12,8.62,0.22,1.95,0.36,126
331,Whole Milk,56,3.66,0.61,5.08,2.85,0.55,7.04,0.68,120
332,Whole Milk,61,7.41,3.24,10.86,0.5,0.59,5.89,0.68,143
333,Almond Milk,62,5.96,3.41,10.04,6.6,0.19,5.8,0.92,92
334,Whole Milk,47,0.93,1.48,7.04,9.77,0.75,3.99,0.6,115
335,Oat Milk,52,1.15,4.42,11.6,4.26,0.73,1.32,0.17,91
336,Coconut Milk,71,6.85,4.34,9.55,0.79,0.37,1.38,0.18,120
